FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-09 00:00:00.000000,0.00702057,0.01203357,0.02323234,119,204,395,44,96,176,0.00262300,0.00564962,0.01039686,0.60122672,0.75187216,0.98012233
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-10 00:00:00.000000,0.00858002,0.01406125,0.02654540,145,239,451,51,102,207,0.00301799,0.00601527,0.01221693,0.60122669,0.75187145,0.97981854
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-11 00:00:00.000000,0.01022177,0.01621071,0.03026663,173,275,515,61,116,238,0.00359576,0.00686265,0.01401442,0.60122662,0.75186961,0.97909532
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-12 00:00:00.000000,0.01192098,0.01891171,0.03431534,202,321,583,73,136,269,0.00430026,0.00803672,0.01581486,0.60122644,0.75186476,0.97739231
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-13 00:00:00.000000,0.01379438,0.02190180,0.03886097,234,372,661,86,155,305,0.00510832,0.00916324,0.01797227,0.60122593,0.75185176,0.97348306
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-14 00:00:00.000000,0.01587401,0.02538935,0.04397299,270,432,748,102,178,348,0.00601436,0.01049716,0.02049229,0.60122457,0.75181634,0.96614314
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-15 00:00:00.000000,0.01819143,0.02945982,0.04972714,309,501,846,119,202,398,0.00702243,0.01188019,0.02339977,0.60122091,0.74616366,0.96605331
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-16 00:00:00.000000,0.02057205,0.03354503,0.05605732,350,570,953,138,230,454,0.00814213,0.01352251,0.02673324,0.59395229,0.74113210,0.96582011
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-17 00:00:00.000000,0.02325886,0.03829150,0.06326720,395,651,1076,160,264,519,0.00943653,0.01555543,0.03053496,0.57807868,0.74048253,0.96515496
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-18 00:00:00.000000,0.02627235,0.04350310,0.07228119,447,740,1229,181,306,592,0.01069521,0.01799579,0.03484744,0.55689735,0.73683996,0.94935378
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-19 00:00:00.000000,0.02964779,0.04850168,0.08243799,504,825,1402,205,350,675,0.01209559,0.02057184,0.03968691,0.54367500,0.72456122,0.91432844
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-20 00:00:00.000000,0.03341528,0.05526453,0.09376983,568,940,1595,233,398,765,0.01369706,0.02343075,0.04500917,0.53872302,0.71013639,0.91453288
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-21 00:00:00.000000,0.03759178,0.06237054,0.10624250,639,1061,1807,263,453,863,0.01547886,0.02666454,0.05073378,0.53644424,0.68682056,0.91438958
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-22 00:00:00.000000,0.04216257,0.06990624,0.11983287,717,1189,2039,297,516,967,0.01745825,0.03036806,0.05683405,0.52694554,0.66845769,0.89928626
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-23 00:00:00.000000,0.04701076,0.08019036,0.13683669,799,1364,2328,334,580,1078,0.01964243,0.03414012,0.06335615,0.51816043,0.64800137,0.86550732
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-24 00:00:00.000000,0.05230446,0.08959211,0.15587726,890,1524,2652,374,654,1197,0.02201113,0.03844492,0.07040490,0.48089093,0.63860969,0.84157757
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-25 00:00:00.000000,0.05814488,0.09989114,0.17167714,989,1699,2921,418,750,1360,0.02458631,0.04411027,0.07997419,0.46005504,0.62810209,0.82937294
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-26 00:00:00.000000,0.06477379,0.11203717,0.19392385,1102,1906,3299,466,848,1554,0.02740418,0.04984677,0.09137190,0.45681099,0.60691818,0.81841884
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-27 00:00:00.000000,0.07182727,0.12505090,0.21954933,1222,2127,3735,519,948,1767,0.03050569,0.05573879,0.10385777,0.45413600,0.58882450,0.80201636
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-28 00:00:00.000000,0.07973420,0.13755910,0.24509389,1356,2340,4170,577,1054,2000,0.03393217,0.06195342,0.11754509,0.44774841,0.56801544,0.75288354
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-29 00:00:00.000000,0.08873347,0.15227826,0.26863968,1509,2591,4571,641,1181,2213,0.03772552,0.06945600,0.13010015,0.43711202,0.56559005,0.72267622
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-30 00:00:00.000000,0.09951055,0.16377631,0.29270014,1693,2786,4980,713,1297,2423,0.04192919,0.07624812,0.14239817,0.42877847,0.55345020,0.72164403
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-03-31 00:00:00.000000,0.10978358,0.17650747,0.32456489,1868,3003,5522,792,1420,2645,0.04658778,0.08350268,0.15548230,0.41478390,0.54130097,0.71955467
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-04-01 00:00:00.000000,0.12131391,0.19379138,0.35133075,2064,3297,5978,880,1544,2878,0.05175215,0.09078299,0.16916668,0.40401511,0.52602260,0.71538663
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-04-02 00:00:00.000000,0.13466194,0.21323750,0.37989649,2291,3628,6464,978,1689,3121,0.05747803,0.09930286,0.18342645,0.38850005,0.51689522,0.71088904
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-04-03 00:00:00.000000,0.14733838,0.22944067,0.41093568,2507,3904,6992,1086,1862,3373,0.06382931,0.10947337,0.19822919,0.37923261,0.50915331,0.69101446
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-04-04 00:00:00.000000,0.15921578,0.24597232,0.44438934,2709,4185,7561,1206,2019,3635,0.07088520,0.11866036,0.21362660,0.37345417,0.50019383,0.68173598
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-04-05 00:00:00.000000,0.17235452,0.26287212,0.47729081,2932,4472,8121,1339,2180,3904,0.07870833,0.12813871,0.22945932,0.35754727,0.48358409,0.65791668
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-04-06 00:00:00.000000,0.18757842,0.28318791,0.50638611,3191,4818,8616,1486,2351,4233,0.08734957,0.13820114,0.24882543,0.35469532,0.47528768,0.63706708
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-04-07 00:00:00.000000,0.20322798,0.30853747,0.53671433,3458,5250,9132,1598,2532,4623,0.09392347,0.14882200,0.27171676,0.34898147,0.46665494,0.62783446
0,0,Bahrain,,,2021-02-17 02:30:25.860190,2020-04-08 00:00:00.000000,0.21965191,0.33143271,0.56815984,3737,5639,9667,1715,2703,5032,0.10084684,0.15886252,0.29573172,0.34392445,0.46426472,0.62814323
