FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-09 00:00:00.000000,0.00140862,0.00279580,0.00706551,97,194,490,41,85,203,0.00059729,0.00122423,0.00292331,0.57345339,0.72138386,0.85422372
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-10 00:00:00.000000,0.00167163,0.00320375,0.00792961,116,222,550,47,91,223,0.00068333,0.00131556,0.00322069,0.57345301,0.72138379,0.85421976
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-11 00:00:00.000000,0.00195912,0.00365024,0.00887751,136,253,616,55,104,246,0.00080231,0.00150470,0.00354759,0.57345208,0.72138349,0.85421219
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-12 00:00:00.000000,0.00227382,0.00413877,0.00992138,157,287,689,64,119,272,0.00093383,0.00172364,0.00391634,0.57344945,0.72138229,0.85419728
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-13 00:00:00.000000,0.00261996,0.00464947,0.01107386,182,323,769,73,137,300,0.00105792,0.00197974,0.00432175,0.57344044,0.72137741,0.85416647
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-14 00:00:00.000000,0.00293743,0.00522412,0.01234803,204,362,857,81,156,337,0.00117800,0.00225332,0.00486095,0.57340439,0.71838094,0.85409834
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-15 00:00:00.000000,0.00328269,0.00592580,0.01359551,228,411,944,97,176,384,0.00139680,0.00254601,0.00553638,0.57324520,0.71810100,0.85393418
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-16 00:00:00.000000,0.00382345,0.00672226,0.01488863,265,467,1034,111,198,436,0.00160728,0.00285524,0.00627497,0.57250858,0.71800199,0.84086949
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-17 00:00:00.000000,0.00436543,0.00741266,0.01637198,303,515,1137,125,219,490,0.00180747,0.00315720,0.00705776,0.56911114,0.70312532,0.83907496
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-18 00:00:00.000000,0.00491785,0.00815240,0.01820165,341,566,1264,140,246,548,0.00202101,0.00354350,0.00790032,0.56549585,0.68146541,0.83510416
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-19 00:00:00.000000,0.00545541,0.00923588,0.01977425,379,641,1374,156,279,612,0.00225255,0.00401853,0.00880967,0.53738958,0.66317817,0.82867662
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-20 00:00:00.000000,0.00604420,0.01016688,0.02112595,419,706,1467,174,312,679,0.00250550,0.00450389,0.00978006,0.51864642,0.63196594,0.81993153
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-21 00:00:00.000000,0.00663350,0.01115769,0.02283087,460,775,1586,193,347,749,0.00278232,0.00500622,0.01078889,0.46666700,0.61653347,0.81227226
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-22 00:00:00.000000,0.00712628,0.01225830,0.02459077,495,851,1708,214,386,820,0.00308421,0.00556659,0.01180979,0.45260385,0.59703324,0.80700681
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-23 00:00:00.000000,0.00767062,0.01325540,0.02644760,532,921,1837,236,429,891,0.00341041,0.00618340,0.01283449,0.42743046,0.58198410,0.78410205
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-24 00:00:00.000000,0.00825155,0.01444614,0.02842776,573,1003,1975,261,463,963,0.00376328,0.00666576,0.01386938,0.40279829,0.57214180,0.76310772
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-25 00:00:00.000000,0.00887132,0.01592720,0.03054431,616,1106,2122,287,500,1037,0.00413583,0.00721005,0.01493062,0.38254204,0.55874025,0.74887293
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-26 00:00:00.000000,0.00952599,0.01716293,0.03280149,661,1192,2279,314,547,1113,0.00451981,0.00787368,0.01602973,0.38233325,0.54770506,0.72622335
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-27 00:00:00.000000,0.01020465,0.01822954,0.03461891,709,1266,2405,340,587,1190,0.00490304,0.00845359,0.01713495,0.35268998,0.53386538,0.68016048
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-28 00:00:00.000000,0.01090928,0.01944436,0.03712627,758,1351,2579,366,629,1262,0.00527560,0.00906296,0.01817130,0.34523876,0.51457162,0.66906410
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-29 00:00:00.000000,0.01172123,0.02056001,0.03806883,814,1428,2645,391,682,1328,0.00563869,0.00982282,0.01912306,0.33063316,0.49385796,0.67291824
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-30 00:00:00.000000,0.01278445,0.02187031,0.03981475,888,1519,2766,416,739,1398,0.00599973,0.01064161,0.02012434,0.32134404,0.47823243,0.66181308
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-03-31 00:00:00.000000,0.01379982,0.02315395,0.04146945,958,1608,2881,442,788,1477,0.00636207,0.01135454,0.02126642,0.31627208,0.46113068,0.65933113
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-04-01 00:00:00.000000,0.01447199,0.02447291,0.04310296,1005,1700,2994,467,832,1560,0.00673264,0.01197554,0.02246145,0.32015882,0.45780752,0.64227776
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-04-02 00:00:00.000000,0.01491671,0.02591889,0.04478170,1036,1800,3111,494,891,1613,0.00711505,0.01283646,0.02321957,0.31859270,0.44659844,0.61174004
0,0,Bulgaria,,,2021-02-10 01:40:52.191901,2020-04-03 00:00:00.000000,0.01578583,0.02732248,0.04686891,1096,1898,3256,521,941,1669,0.00750783,0.01354567,0.02403360,0.31642734,0.44234639,0.57169508
