FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-09 00:00:00.000000,0.00055838,0.00105813,0.00183126,93,176,306,42,87,149,0.00025262,0.00052460,0.00089259,0.53528911,0.63541821,0.85161768
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-10 00:00:00.000000,0.00064029,0.00118359,0.00205930,107,197,344,48,98,173,0.00029172,0.00059205,0.00104026,0.53515326,0.63541508,0.85161451
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-11 00:00:00.000000,0.00072984,0.00130607,0.00224705,122,218,375,58,114,193,0.00034830,0.00068334,0.00116028,0.53489534,0.63540716,0.85160836
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-12 00:00:00.000000,0.00082458,0.00144121,0.00243494,137,240,407,68,126,215,0.00040929,0.00075635,0.00128627,0.53440656,0.63538708,0.85159589
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-13 00:00:00.000000,0.00093136,0.00156144,0.00269807,155,261,451,76,139,237,0.00045861,0.00083282,0.00142017,0.53348368,0.63533601,0.85156818
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-14 00:00:00.000000,0.00104152,0.00170963,0.00305801,174,285,511,86,151,261,0.00051983,0.00090802,0.00156403,0.53175353,0.63360949,0.85149725
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-15 00:00:00.000000,0.00115648,0.00189838,0.00342957,193,317,573,97,165,292,0.00058534,0.00099251,0.00175060,0.52833980,0.62962163,0.85128178
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-16 00:00:00.000000,0.00129458,0.00207015,0.00389825,216,346,651,109,181,325,0.00065352,0.00108630,0.00194671,0.52257984,0.62195605,0.85052149
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-17 00:00:00.000000,0.00143274,0.00221700,0.00440165,239,370,735,122,197,369,0.00073153,0.00118017,0.00220841,0.51284981,0.61101091,0.84450484
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-18 00:00:00.000000,0.00157069,0.00237545,0.00489912,262,397,819,135,212,417,0.00081061,0.00127132,0.00249820,0.48275776,0.58456463,0.82471235
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-19 00:00:00.000000,0.00170424,0.00250835,0.00526568,284,419,880,144,228,466,0.00086203,0.00136850,0.00279232,0.43682297,0.54876495,0.77832866
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-20 00:00:00.000000,0.00181300,0.00262814,0.00541734,303,439,905,157,243,506,0.00094036,0.00145814,0.00303083,0.33841204,0.48489948,0.68510133
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-21 00:00:00.000000,0.00186604,0.00267655,0.00538492,311,447,900,168,253,528,0.00100531,0.00151657,0.00315815,0.28636961,0.41776767,0.60028164
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-22 00:00:00.000000,0.00189014,0.00264963,0.00518886,316,442,867,174,261,530,0.00104255,0.00156461,0.00317196,0.23378881,0.34557270,0.49003746
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-23 00:00:00.000000,0.00184726,0.00254981,0.00485629,308,426,811,180,264,515,0.00107784,0.00158096,0.00308458,0.19035188,0.29968495,0.38338283
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-24 00:00:00.000000,0.00177241,0.00241903,0.00474397,296,404,793,177,256,486,0.00106137,0.00153260,0.00291118,0.16616104,0.26566681,0.35298252
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-25 00:00:00.000000,0.00166150,0.00229476,0.00458496,277,383,766,169,247,467,0.00101284,0.00147935,0.00279409,0.14362898,0.23379852,0.32469672
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-26 00:00:00.000000,0.00152190,0.00214687,0.00434363,254,358,726,158,233,452,0.00094897,0.00139696,0.00270576,0.13164892,0.21481008,0.29107409
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-27 00:00:00.000000,0.00139483,0.00206373,0.00403002,233,345,673,147,223,430,0.00088135,0.00133397,0.00257520,0.12995085,0.19518008,0.28278063
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-28 00:00:00.000000,0.00122518,0.00195570,0.00370047,204,326,618,134,213,401,0.00080634,0.00127818,0.00240104,0.12976376,0.18602090,0.26294624
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-29 00:00:00.000000,0.00106429,0.00181670,0.00337363,177,303,564,119,198,369,0.00071578,0.00119001,0.00220899,0.12979354,0.18098608,0.24248016
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-30 00:00:00.000000,0.00093139,0.00168359,0.00306046,155,281,511,103,185,337,0.00062122,0.00111196,0.00201616,0.12565801,0.17772285,0.24095715
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-03-31 00:00:00.000000,0.00081746,0.00153851,0.00276445,136,257,462,90,170,306,0.00054338,0.00102105,0.00183071,0.12124612,0.17344221,0.23444532
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-04-01 00:00:00.000000,0.00072113,0.00139712,0.00248767,120,233,415,79,152,276,0.00047758,0.00091091,0.00165532,0.12062683,0.16666466,0.23179418
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-04-02 00:00:00.000000,0.00064595,0.00126425,0.00223089,107,211,372,70,138,249,0.00042137,0.00082882,0.00149104,0.11125759,0.16177227,0.22587821
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-04-03 00:00:00.000000,0.00058157,0.00114416,0.00199445,97,191,333,62,125,223,0.00037311,0.00075003,0.00133835,0.10328632,0.15597450,0.22273631
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-04-04 00:00:00.000000,0.00052616,0.00102680,0.00177839,87,171,297,55,113,200,0.00033154,0.00067678,0.00119746,0.08877579,0.14973495,0.22027202
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-04-05 00:00:00.000000,0.00047825,0.00091781,0.00158250,79,153,264,49,100,178,0.00029568,0.00060355,0.00106844,0.08862928,0.14364888,0.21693288
0,0,Cambodia,,,2021-03-04 14:12:32.586961,2020-04-06 00:00:00.000000,0.00043512,0.00083995,0.00141554,72,140,236,44,91,159,0.00026578,0.00054616,0.00095123,0.08855375,0.14124076,0.21403551
