FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-09 00:00:00.000000,0.00041079,0.00182570,0.00429481,1,8,20,0,4,10,0.00009919,0.00086774,0.00219970,0.35378130,0.46861461,0.64314316
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-10 00:00:00.000000,0.00058399,0.00225690,0.00479945,2,10,22,0,4,10,0.00016989,0.00097630,0.00224125,0.35308052,0.46861255,0.64306294
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-11 00:00:00.000000,0.00082196,0.00282014,0.00536847,3,13,25,1,5,11,0.00028765,0.00117591,0.00250479,0.35209105,0.46860883,0.64294403
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-12 00:00:00.000000,0.00104821,0.00321486,0.00605566,5,15,28,1,6,13,0.00040423,0.00143882,0.00285483,0.35070097,0.46860153,0.64277031
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-13 00:00:00.000000,0.00125244,0.00370040,0.00698336,5,17,33,2,8,16,0.00053774,0.00173667,0.00336838,0.34876185,0.46857647,0.63536446
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-14 00:00:00.000000,0.00153054,0.00420680,0.00812300,7,20,38,3,9,18,0.00068337,0.00198502,0.00391060,0.34749013,0.46788153,0.62955708
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-15 00:00:00.000000,0.00182632,0.00469467,0.00944999,8,22,45,3,10,21,0.00083100,0.00227795,0.00449839,0.34615738,0.46757516,0.62945112
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-16 00:00:00.000000,0.00219483,0.00530045,0.01010556,10,25,48,4,12,24,0.00096462,0.00252305,0.00514937,0.33735658,0.46575060,0.62802215
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-17 00:00:00.000000,0.00256765,0.00582365,0.01123152,12,27,53,5,13,27,0.00115381,0.00283071,0.00575411,0.32327314,0.46362673,0.61964620
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-18 00:00:00.000000,0.00293889,0.00654579,0.01244070,14,31,59,6,15,30,0.00137465,0.00320579,0.00642088,0.30914555,0.44984250,0.61030053
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-19 00:00:00.000000,0.00329526,0.00728369,0.01330878,15,34,63,7,17,33,0.00159679,0.00365847,0.00708181,0.30557829,0.42588097,0.58844263
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-20 00:00:00.000000,0.00363226,0.00815144,0.01352564,17,39,64,8,18,35,0.00178252,0.00394952,0.00732165,0.28603952,0.39827433,0.57865976
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-21 00:00:00.000000,0.00384737,0.00865628,0.01402480,18,41,67,9,20,35,0.00196690,0.00424728,0.00748060,0.25818780,0.37469147,0.53197813
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-22 00:00:00.000000,0.00402873,0.00909403,0.01487259,19,43,71,10,22,39,0.00212617,0.00469011,0.00825946,0.24771248,0.35439415,0.51151275
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-23 00:00:00.000000,0.00410824,0.00952177,0.01546761,19,45,74,10,24,43,0.00220097,0.00508221,0.00906658,0.22653261,0.33957752,0.48554941
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-24 00:00:00.000000,0.00426189,0.00999233,0.01603668,20,47,76,10,25,45,0.00225782,0.00536629,0.00951915,0.21351992,0.32352660,0.45495895
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-25 00:00:00.000000,0.00468389,0.01030815,0.01658219,22,49,79,12,27,47,0.00250624,0.00566085,0.00981697,0.21096622,0.31066164,0.43977790
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-26 00:00:00.000000,0.00507908,0.01056169,0.01746411,24,50,83,12,27,47,0.00262689,0.00583063,0.01000804,0.20666573,0.29355923,0.40052867
0,4833,CanadaAlbertaCentral,Alberta,Central,2021-08-23 14:57:03.282737,2020-03-27 00:00:00.000000,0.00542925,0.01067309,0.01832612,25,51,87,12,28,49,0.00269568,0.00602938,0.01028493,0.19376117,0.26992004,0.38822709
