FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-09 00:00:00.000000,0.00153818,0.00373536,0.00973853,4,10,27,1,4,15,0.00065808,0.00174909,0.00552303,0.38623956,0.51853405,0.54757073
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-10 00:00:00.000000,0.00205009,0.00402535,0.01102395,5,11,31,2,4,15,0.00075597,0.00167721,0.00543015,0.38623847,0.51842998,0.54732167
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-11 00:00:00.000000,0.00259806,0.00441534,0.01190746,7,12,34,2,5,16,0.00095450,0.00175506,0.00575707,0.38623600,0.51824018,0.54684488
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-12 00:00:00.000000,0.00317397,0.00487969,0.01284835,9,13,36,3,5,17,0.00121079,0.00191246,0.00620166,0.38623038,0.51789521,0.54593456
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-13 00:00:00.000000,0.00377397,0.00540815,0.01436033,10,15,41,4,6,19,0.00150243,0.00210982,0.00669286,0.38621751,0.51727214,0.54420528
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-14 00:00:00.000000,0.00439640,0.00595705,0.01607244,12,17,45,5,6,21,0.00181786,0.00231725,0.00745998,0.38618719,0.51575730,0.54095162
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-15 00:00:00.000000,0.00504041,0.00648241,0.01788180,14,18,51,6,7,23,0.00215117,0.00253566,0.00838782,0.38611020,0.51222859,0.53729857
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-16 00:00:00.000000,0.00610555,0.00703366,0.02027242,17,20,57,6,7,26,0.00236849,0.00275810,0.00938092,0.38587790,0.50767787,0.53728343
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-17 00:00:00.000000,0.00662131,0.00754771,0.02276681,18,21,65,7,8,30,0.00263832,0.00300197,0.01056758,0.38495907,0.49884143,0.53723695
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-18 00:00:00.000000,0.00725134,0.00800948,0.02538035,20,22,72,8,9,33,0.00284129,0.00324627,0.01160890,0.37414941,0.48496523,0.53705084
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-19 00:00:00.000000,0.00767073,0.00850831,0.02693043,21,24,76,8,10,35,0.00303961,0.00351191,0.01245419,0.34988561,0.46999457,0.53355274
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-20 00:00:00.000000,0.00805552,0.00901925,0.02802218,23,25,80,9,10,38,0.00322887,0.00375045,0.01336817,0.30707538,0.45214245,0.52527521
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-21 00:00:00.000000,0.00840278,0.00953636,0.02886282,24,27,82,9,11,41,0.00340523,0.00398170,0.01459567,0.24789254,0.43603604,0.49932678
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-22 00:00:00.000000,0.00871500,0.01002083,0.02962593,24,28,84,10,12,44,0.00356652,0.00420509,0.01571442,0.24051528,0.42428937,0.46372832
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-23 00:00:00.000000,0.00890597,0.01023168,0.03055255,25,29,87,10,12,47,0.00371161,0.00441630,0.01649679,0.23649966,0.41547282,0.44756177
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-24 00:00:00.000000,0.00907437,0.01042500,0.03143064,25,29,89,10,12,48,0.00381523,0.00454849,0.01709343,0.23414800,0.41010252,0.44264357
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-25 00:00:00.000000,0.00921996,0.01059112,0.03218516,26,30,91,11,13,50,0.00389730,0.00464052,0.01758707,0.23236835,0.40641846,0.43694107
0,594,CanadaBCNorthern,BC,Northern,2021-09-17 05:21:31.505280,2020-03-26 00:00:00.000000,0.00935193,0.01074037,0.03248842,26,30,92,11,13,51,0.00397470,0.00471350,0.01801967,0.20319161,0.40380284,0.42925597
