FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-09 00:00:00.000000,0.00568181,0.00792684,0.01008779,290,405,515,131,178,224,0.00257077,0.00349061,0.00438601,0.57057612,0.62080238,0.67166028
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-10 00:00:00.000000,0.00599503,0.00837647,0.01069494,306,428,546,107,147,185,0.00210376,0.00287979,0.00363869,0.57057610,0.62080241,0.67166036
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-11 00:00:00.000000,0.00628435,0.00880426,0.01128640,321,449,576,91,126,161,0.00178998,0.00247488,0.00315012,0.57057605,0.62080245,0.67166052
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-12 00:00:00.000000,0.00655638,0.00920903,0.01184493,335,470,605,80,112,144,0.00158288,0.00221058,0.00283248,0.57057597,0.62080253,0.67166079
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-13 00:00:00.000000,0.00681571,0.00959163,0.01236837,348,490,632,74,104,134,0.00144988,0.00204233,0.00263170,0.57057579,0.62080263,0.67166127
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-14 00:00:00.000000,0.00706596,0.00995399,0.01285754,361,508,657,69,99,128,0.00136840,0.00193969,0.00251033,0.57057527,0.62080270,0.67166209
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-15 00:00:00.000000,0.00730996,0.01029853,0.01331494,373,526,680,67,96,124,0.00132277,0.00188192,0.00244250,0.57057336,0.62080213,0.67166321
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-16 00:00:00.000000,0.00753315,0.01059113,0.01368655,385,541,699,66,94,123,0.00130213,0.00185470,0.00241036,0.57056477,0.62079688,0.67166211
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-17 00:00:00.000000,0.00775414,0.01087098,0.01403322,396,555,717,66,94,122,0.00129813,0.00184650,0.00239935,0.57052184,0.62075858,0.67163223
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-18 00:00:00.000000,0.00797389,0.01113959,0.01435730,407,569,733,66,94,122,0.00130579,0.00185147,0.00240260,0.57029649,0.62047776,0.67135827
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-19 00:00:00.000000,0.00819173,0.01139758,0.01466088,418,582,749,67,95,123,0.00132170,0.00186553,0.00241547,0.56909422,0.61836309,0.66883624
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-20 00:00:00.000000,0.00839392,0.01163607,0.01493980,429,594,763,68,96,124,0.00134338,0.00188581,0.00243477,0.56287043,0.60293443,0.64757976
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-21 00:00:00.000000,0.00852339,0.01181239,0.01516646,435,603,775,69,97,125,0.00136841,0.00190982,0.00245800,0.53586604,0.53901883,0.55251505
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-22 00:00:00.000000,0.00858486,0.01190612,0.01529537,438,608,781,71,98,126,0.00139221,0.00193361,0.00248187,0.45645405,0.46866508,0.48027707
0,0,CanadaBritishColumbia,British Columbia,,2021-02-24 22:38:02.348733,2020-03-23 00:00:00.000000,0.00862133,0.01196934,0.01538539,440,611,786,72,99,127,0.00141181,0.00195330,0.00250167,0.43668349,0.43854016,0.44047486
