FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-09 00:00:00.000000,0.00114687,0.00245181,0.00479353,15,33,66,4,14,27,0.00031677,0.00102799,0.00203110,0.63758953,0.80016334,0.96117877
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-10 00:00:00.000000,0.00158327,0.00316003,0.00557346,21,43,76,7,16,34,0.00051022,0.00122228,0.00249108,0.63758953,0.80012168,0.96117877
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-11 00:00:00.000000,0.00194299,0.00385749,0.00642325,26,53,88,9,21,40,0.00069305,0.00155621,0.00293816,0.63758953,0.80010055,0.96117877
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-12 00:00:00.000000,0.00234792,0.00465395,0.00759160,32,64,104,12,26,46,0.00093918,0.00192057,0.00341160,0.63758951,0.80004829,0.96117877
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-13 00:00:00.000000,0.00276453,0.00555726,0.00908648,38,76,125,15,32,54,0.00112716,0.00233697,0.00392505,0.63758948,0.79991865,0.96117875
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-14 00:00:00.000000,0.00321375,0.00655394,0.01055211,44,90,145,18,38,62,0.00133601,0.00278860,0.00454699,0.63758933,0.79959661,0.96117869
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-15 00:00:00.000000,0.00372319,0.00781289,0.01229790,51,107,169,21,45,74,0.00156928,0.00331654,0.00542049,0.63758871,0.79879768,0.96117839
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-16 00:00:00.000000,0.00482720,0.00892623,0.01406917,66,122,193,25,53,85,0.00183105,0.00387652,0.00621289,0.63758601,0.79455417,0.96117700
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-17 00:00:00.000000,0.00583494,0.00997008,0.01600981,80,137,220,31,61,99,0.00231633,0.00443647,0.00720475,0.63757396,0.78844273,0.96117003
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-18 00:00:00.000000,0.00699698,0.01138787,0.01806279,96,156,248,40,70,114,0.00294531,0.00510719,0.00833921,0.63751964,0.77267742,0.96113213
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-19 00:00:00.000000,0.00832832,0.01307181,0.02018328,114,180,278,50,79,130,0.00368967,0.00579983,0.00950050,0.63181203,0.75752117,0.96050585
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-20 00:00:00.000000,0.00961629,0.01480208,0.02239594,132,203,308,62,90,148,0.00450893,0.00660095,0.01079430,0.60252227,0.75148402,0.95809245
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-21 00:00:00.000000,0.01076192,0.01659775,0.02487940,148,228,342,70,104,167,0.00511383,0.00757684,0.01214953,0.58748808,0.71405495,0.94847942
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-22 00:00:00.000000,0.01196009,0.01852437,0.02743811,164,255,377,79,117,188,0.00575059,0.00850121,0.01370139,0.56168033,0.68681859,0.90002727
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-23 00:00:00.000000,0.01325644,0.02049280,0.03031587,182,282,417,88,133,211,0.00641834,0.00969965,0.01532554,0.52747420,0.64510477,0.85015379
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-24 00:00:00.000000,0.01475472,0.02282766,0.03372867,203,314,464,97,150,231,0.00710736,0.01090554,0.01682523,0.49333703,0.62319941,0.81924125
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-25 00:00:00.000000,0.01636099,0.02491195,0.03772656,225,343,519,109,166,250,0.00793845,0.01208824,0.01816766,0.43926678,0.60139278,0.77094905
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-26 00:00:00.000000,0.01806445,0.02646848,0.04053264,248,364,558,120,182,278,0.00873898,0.01328350,0.02021065,0.38123121,0.57570398,0.74889376
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-27 00:00:00.000000,0.01976172,0.02859524,0.04218181,272,393,581,129,203,308,0.00940879,0.01475631,0.02236781,0.33802827,0.53746289,0.72761694
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-28 00:00:00.000000,0.02055956,0.03047438,0.04530035,283,419,624,141,220,339,0.01027720,0.01603509,0.02464789,0.32483584,0.49344034,0.68016526
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-29 00:00:00.000000,0.02206355,0.03226219,0.04866587,303,444,670,148,234,367,0.01076125,0.01703082,0.02667176,0.29552536,0.44820735,0.64845120
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-30 00:00:00.000000,0.02290078,0.03336494,0.05127715,315,459,706,153,250,387,0.01111649,0.01815412,0.02815767,0.26482047,0.40545809,0.59973276
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-03-31 00:00:00.000000,0.02347450,0.03427339,0.05320655,323,472,732,161,264,402,0.01168812,0.01918064,0.02922016,0.24199643,0.37891080,0.54444184
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-04-01 00:00:00.000000,0.02398801,0.03534104,0.05368722,330,486,739,167,273,405,0.01217398,0.01985250,0.02945247,0.20852661,0.35690790,0.50320973
0,0,CanadaManitoba,Manitoba,,2021-11-01 05:36:44.671802,2020-04-02 00:00:00.000000,0.02446341,0.03586653,0.05417554,336,494,746,173,273,418,0.01256505,0.01987366,0.03038959,0.18789271,0.32517604,0.42913499
