FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-09 00:00:00.000000,0.00153074,0.00731878,0.02087692,2,12,36,0,5,19,0.00031370,0.00325188,0.01109798,0.36270325,0.46486135,0.58688200
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-10 00:00:00.000000,0.00199334,0.00772758,0.02276737,3,13,39,1,6,19,0.00059921,0.00347187,0.01133472,0.36270315,0.46461126,0.58688199
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-11 00:00:00.000000,0.00243039,0.00915434,0.02418882,4,15,41,1,6,20,0.00101932,0.00401134,0.01157023,0.36270266,0.46382397,0.58688198
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-12 00:00:00.000000,0.00290175,0.01047485,0.02574080,5,18,44,2,7,20,0.00124041,0.00437693,0.01200799,0.36270014,0.46315517,0.58688195
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-13 00:00:00.000000,0.00364712,0.01149845,0.02736002,6,19,47,2,8,21,0.00149321,0.00476201,0.01264731,0.36268684,0.46188039,0.58688187
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-14 00:00:00.000000,0.00425911,0.01308910,0.02901274,7,22,50,3,9,23,0.00181473,0.00523705,0.01339386,0.36261636,0.46135630,0.58688166
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-15 00:00:00.000000,0.00476233,0.01412686,0.03149079,8,24,54,3,10,24,0.00214995,0.00601615,0.01419685,0.36224356,0.46100788,0.58688110
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-16 00:00:00.000000,0.00577677,0.01501389,0.03325180,9,25,57,4,11,26,0.00245109,0.00671483,0.01502900,0.35860118,0.45855953,0.58687941
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-17 00:00:00.000000,0.00710527,0.01658008,0.03507536,12,28,60,5,13,27,0.00292305,0.00756799,0.01601257,0.35028319,0.45340307,0.58687356
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-18 00:00:00.000000,0.00849537,0.01890804,0.03729390,14,32,64,5,14,29,0.00344009,0.00859933,0.01707665,0.32175135,0.44476190,0.58684961
0,4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2021-12-03 06:12:34.607024,2020-03-19 00:00:00.000000,0.00939844,0.02014556,0.03950752,16,34,68,6,16,31,0.00400607,0.00935751,0.01840994,0.28947806,0.43433905,0.58666000
