FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-09 00:00:00.000000,0.00947716,0.03322999,0.06481057,29,103,201,12,57,127,0.00414464,0.01856097,0.04102614,0.71771427,0.87177074,1.04461150
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-10 00:00:00.000000,0.01329097,0.03815103,0.07736158,41,118,240,21,70,139,0.00704104,0.02268783,0.04503559,0.71771394,0.87177071,1.04460180
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-11 00:00:00.000000,0.01867085,0.04568546,0.08990144,57,141,279,31,83,161,0.01004906,0.02682215,0.05204311,0.71771336,0.87177064,1.04458130
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-12 00:00:00.000000,0.02474429,0.05403898,0.10426013,76,167,323,42,98,183,0.01379703,0.03166306,0.05924361,0.71771231,0.87177043,1.04453807
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-13 00:00:00.000000,0.03193619,0.06305430,0.11526417,99,195,357,56,114,209,0.01809705,0.03688267,0.06760854,0.71771045,0.87176986,1.04444720
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-14 00:00:00.000000,0.04033944,0.07368475,0.13195077,125,228,409,71,135,242,0.02287240,0.04358230,0.07809107,0.71770711,0.87176828,1.04425749
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-15 00:00:00.000000,0.04790011,0.08606997,0.15796551,148,267,490,82,158,279,0.02669512,0.05111437,0.09016194,0.71770109,0.87176389,1.04386703
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-16 00:00:00.000000,0.05506661,0.10113480,0.18545343,170,313,575,96,184,330,0.03104081,0.05947633,0.10630866,0.71769003,0.87175163,1.04308588
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-17 00:00:00.000000,0.06326084,0.11719919,0.21676938,196,363,672,110,218,381,0.03564277,0.07035766,0.12303994,0.71766868,0.87166642,1.02852890
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-18 00:00:00.000000,0.07246473,0.13650543,0.25068775,224,423,778,126,253,441,0.04088453,0.08156211,0.14235017,0.71762247,0.86898724,1.02835851
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-19 00:00:00.000000,0.08290348,0.15903812,0.28980660,257,493,899,145,293,511,0.04682640,0.09459757,0.16462880,0.71749851,0.85880258,1.02778672
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-20 00:00:00.000000,0.09506159,0.18615548,0.33485299,295,577,1039,170,344,599,0.05501958,0.11093974,0.19315537,0.69836634,0.83772599,1.02459225
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-21 00:00:00.000000,0.11291572,0.21617621,0.38638403,350,671,1199,204,400,714,0.06586108,0.12909428,0.23022137,0.63255555,0.81696704,1.01383870
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-22 00:00:00.000000,0.13265362,0.24827586,0.44329113,411,770,1376,242,464,801,0.07822944,0.14968189,0.25805887,0.51973198,0.80023764,0.99056513
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-23 00:00:00.000000,0.15286742,0.27904864,0.49920014,474,866,1549,284,531,903,0.09174615,0.17109186,0.29120367,0.42095889,0.74514435,0.94355457
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-24 00:00:00.000000,0.17248809,0.31045678,0.53780398,535,963,1669,327,592,1018,0.10537280,0.19100238,0.32812444,0.40992381,0.64760639,0.84783465
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-25 00:00:00.000000,0.19027084,0.33277445,0.55674510,590,1033,1728,367,645,1098,0.11836357,0.20795937,0.35390866,0.33801690,0.53949084,0.78005813
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-26 00:00:00.000000,0.20553755,0.33788303,0.56973008,638,1048,1768,391,683,1135,0.12618825,0.22016161,0.36570214,0.24952189,0.46008258,0.69061660
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-27 00:00:00.000000,0.20119056,0.33150350,0.58172875,624,1029,1805,402,688,1178,0.12976109,0.22182970,0.37956247,0.23202218,0.39127352,0.59768977
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-28 00:00:00.000000,0.18951743,0.32598286,0.56415810,588,1011,1751,382,672,1219,0.12309175,0.21654569,0.39300645,0.21248460,0.33901363,0.48345972
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-29 00:00:00.000000,0.17644730,0.30832443,0.54729294,547,957,1698,357,650,1172,0.11514472,0.20941625,0.37786406,0.20314473,0.30013999,0.45286163
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-30 00:00:00.000000,0.16266486,0.29018739,0.51910725,504,900,1611,330,622,1131,0.10662224,0.20056824,0.36446438,0.18647412,0.27944048,0.39722887
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-03-31 00:00:00.000000,0.14891377,0.26881379,0.48332506,462,834,1500,304,585,1064,0.09793566,0.18868481,0.34293412,0.17868372,0.25329904,0.35349640
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-01 00:00:00.000000,0.13548692,0.25154973,0.44331971,420,780,1376,277,542,984,0.08936011,0.17491832,0.31727950,0.16108776,0.23036366,0.31650817
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-02 00:00:00.000000,0.12259621,0.22919434,0.40766788,380,711,1265,251,498,898,0.08103879,0.16068262,0.28951757,0.14832344,0.21275853,0.31050234
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-03 00:00:00.000000,0.11034977,0.20632132,0.37982356,342,640,1179,226,455,822,0.07309637,0.14681980,0.26501758,0.14079450,0.19693664,0.28180820
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-04 00:00:00.000000,0.09903001,0.18434239,0.34771684,307,572,1079,203,409,766,0.06562342,0.13207498,0.24694014,0.12803885,0.18407550,0.26215953
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-05 00:00:00.000000,0.08965850,0.16456575,0.31229880,278,510,969,182,366,701,0.05864216,0.11790622,0.22602899,0.12397662,0.17591440,0.23957863
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-06 00:00:00.000000,0.08017190,0.14782802,0.28272207,248,458,877,162,328,629,0.05221103,0.10575175,0.20271622,0.11756812,0.16707266,0.21817336
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-07 00:00:00.000000,0.07143379,0.13022089,0.25634124,221,404,795,143,289,563,0.04614857,0.09325949,0.18144261,0.11251423,0.16359607,0.21777955
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-08 00:00:00.000000,0.06343542,0.11559115,0.23091385,196,358,716,127,253,512,0.04093644,0.08165466,0.16509937,0.11052419,0.15854263,0.21720772
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-09 00:00:00.000000,0.05586113,0.10084968,0.20718797,173,313,643,112,224,452,0.03631638,0.07229082,0.14591892,0.10725501,0.15513331,0.21607081
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-10 00:00:00.000000,0.04726204,0.08860449,0.18542632,146,275,575,100,198,411,0.03222994,0.06388752,0.13248562,0.10381916,0.14958568,0.21374261
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-11 00:00:00.000000,0.04165983,0.07725743,0.16566209,129,239,514,86,171,374,0.02784954,0.05532329,0.12064818,0.09914060,0.14403606,0.20951372
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-12 00:00:00.000000,0.03641897,0.06753615,0.14786102,113,209,458,76,150,340,0.02456842,0.04832638,0.10975194,0.09519236,0.14078513,0.21008218
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-13 00:00:00.000000,0.03046559,0.05913190,0.13286643,94,183,412,66,132,309,0.02134749,0.04264798,0.09969928,0.09027636,0.13616327,0.21124782
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-14 00:00:00.000000,0.02547097,0.05157669,0.12148680,79,160,377,55,114,277,0.01782668,0.03702206,0.08955319,0.08693946,0.13467690,0.21206607
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-15 00:00:00.000000,0.02127391,0.04534840,0.10773426,66,140,334,46,100,246,0.01485841,0.03250113,0.07944165,0.08538337,0.13186423,0.21252461
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-16 00:00:00.000000,0.01782832,0.03973467,0.09547163,55,123,296,38,88,218,0.01242233,0.02840688,0.07040801,0.07937104,0.13052810,0.21256117
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-17 00:00:00.000000,0.01502228,0.03507334,0.08452261,46,108,262,32,77,193,0.01042033,0.02492076,0.06239314,0.07565554,0.12755272,0.21043132
0,1011,CanadaNLEastern,NL,Eastern,2021-10-13 04:26:29.537144,2020-04-18 00:00:00.000000,0.01302526,0.03173733,0.07498087,40,98,232,27,69,171,0.00884686,0.02235777,0.05520694,0.07310942,0.12663155,0.20907119
