FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-09 00:00:00.000000,0.00161244,0.00312689,0.00560360,12,24,43,3,9,18,0.00040239,0.00115947,0.00239797,0.65838010,0.81510058,1.01388424
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-10 00:00:00.000000,0.00236798,0.00400802,0.00653024,18,31,50,6,13,23,0.00079187,0.00169335,0.00295607,0.65838004,0.81492408,1.01388402
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-11 00:00:00.000000,0.00303993,0.00533691,0.00825855,23,41,64,9,18,28,0.00121843,0.00231116,0.00363305,0.65837993,0.81469028,1.01388332
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-12 00:00:00.000000,0.00384082,0.00674422,0.01021142,29,52,79,13,23,36,0.00168650,0.00300839,0.00466292,0.65837970,0.81438075,1.01388113
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-13 00:00:00.000000,0.00458197,0.00833573,0.01242499,35,65,96,16,29,44,0.00213402,0.00381099,0.00574930,0.65837925,0.81397117,1.01387424
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-14 00:00:00.000000,0.00541557,0.00999808,0.01497998,42,77,116,20,36,54,0.00257681,0.00466442,0.00700117,0.65837836,0.81342896,1.01385251
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-15 00:00:00.000000,0.00635905,0.01178181,0.01809207,49,91,141,23,43,65,0.00306256,0.00555771,0.00840162,0.65837669,0.81234893,1.01378407
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-16 00:00:00.000000,0.00754506,0.01351823,0.02068855,58,105,161,28,52,79,0.00359695,0.00677682,0.01021668,0.65837417,0.80876890,1.01356846
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-17 00:00:00.000000,0.00905324,0.01537825,0.02366601,70,119,184,33,60,92,0.00428922,0.00771843,0.01185746,0.65837412,0.80640770,1.01289055
0,0,CanadaNewBrunswick,New Brunswick,,2021-10-18 16:39:19.765202,2020-03-18 00:00:00.000000,0.01054077,0.01752670,0.02684557,82,136,209,39,67,106,0.00505959,0.00868463,0.01363985,0.65840228,0.80029803,1.01077281
