FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-09 00:00:00.000000,0.00407455,0.01943658,0.05787762,0,4,13,0,2,8,0.00207416,0.01050284,0.03500595,0.35959755,0.47960020,0.65842454
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-10 00:00:00.000000,0.00399573,0.02006995,0.05963899,0,4,13,0,2,8,0.00221048,0.01136299,0.03600507,0.35959755,0.47960020,0.65841502
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-11 00:00:00.000000,0.00407745,0.02080354,0.06118493,0,4,14,0,2,8,0.00234703,0.01215448,0.03682616,0.35959755,0.47960020,0.65838737
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-12 00:00:00.000000,0.00417037,0.02165930,0.06270582,0,5,14,0,2,8,0.00247376,0.01291419,0.03765018,0.35959755,0.47960012,0.65830378
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-13 00:00:00.000000,0.00426123,0.02254698,0.06424419,0,5,14,0,3,8,0.00257157,0.01329959,0.03850962,0.35959754,0.47959907,0.65800585
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-14 00:00:00.000000,0.00433895,0.02346190,0.06580455,1,5,15,0,3,9,0.00264906,0.01370313,0.03940522,0.35959752,0.47958505,0.65746142
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-15 00:00:00.000000,0.00440754,0.02439878,0.06737222,1,5,15,0,3,9,0.00271233,0.01422081,0.04033013,0.35959745,0.47939758,0.65730076
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-16 00:00:00.000000,0.00832573,0.03010475,0.07782528,1,6,17,0,3,9,0.00276567,0.01447012,0.04240169,0.35959719,0.47752418,0.65702290
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-17 00:00:00.000000,0.01184932,0.03654708,0.08335024,2,8,19,1,4,10,0.00537070,0.01763140,0.04688256,0.35959623,0.47576574,0.65268422
0,1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2021-09-29 22:39:41.201792,2020-03-18 00:00:00.000000,0.01619627,0.04274985,0.09478130,3,9,21,1,5,12,0.00807719,0.02238471,0.05361039,0.35261242,0.47036508,0.64654943
