FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-09 00:00:00.000000,0.00135380,0.00511040,0.01845206,0,3,13,0,1,8,0.00064312,0.00260378,0.01200298,0.36711823,0.50329751,0.72149635
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-10 00:00:00.000000,0.00152574,0.00566025,0.01928888,1,4,13,0,1,7,0.00071580,0.00260369,0.01067198,0.36711827,0.50329201,0.72081077
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-11 00:00:00.000000,0.00163625,0.00608934,0.02037202,1,4,14,0,1,6,0.00074524,0.00281868,0.00946068,0.36711833,0.50316824,0.71961529
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-12 00:00:00.000000,0.00173309,0.00651444,0.02096055,1,4,14,0,2,6,0.00076105,0.00298831,0.00919013,0.36711842,0.50293274,0.71753932
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-13 00:00:00.000000,0.00183555,0.00688794,0.02155012,1,4,15,0,2,6,0.00080471,0.00321697,0.00959207,0.36711839,0.50248626,0.71396000
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-14 00:00:00.000000,0.00193814,0.00715283,0.02161320,1,5,15,0,2,7,0.00088970,0.00342624,0.01000880,0.36711766,0.50164550,0.70786347
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-15 00:00:00.000000,0.00204140,0.00739426,0.02170593,1,5,15,0,2,7,0.00097736,0.00363556,0.01044455,0.36711359,0.49928751,0.69768966
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-16 00:00:00.000000,0.00214598,0.00761268,0.02181780,1,5,15,0,2,7,0.00102205,0.00368641,0.01089665,0.36709537,0.49689594,0.68194143
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-17 00:00:00.000000,0.00225250,0.00786944,0.02194189,1,5,15,0,2,8,0.00106712,0.00375516,0.01135759,0.35811141,0.48335017,0.67784485
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-18 00:00:00.000000,0.00236149,0.00814766,0.02235480,1,5,15,0,2,8,0.00111474,0.00398329,0.01141880,0.35153312,0.46824087,0.66417817
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-19 00:00:00.000000,0.00247336,0.00857468,0.02278213,1,6,16,0,2,8,0.00116370,0.00423417,0.01147670,0.35168662,0.44826866,0.62233097
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-20 00:00:00.000000,0.00258821,0.00873804,0.02299114,1,6,16,0,3,8,0.00121231,0.00448772,0.01169382,0.32308694,0.43703886,0.59743192
0,1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2021-08-09 03:37:49.239807,2020-03-21 00:00:00.000000,0.00270539,0.00892498,0.02319800,1,6,16,0,3,8,0.00125897,0.00458036,0.01202855,0.28214804,0.42295699,0.56218030
