FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-09 00:00:00.000000,0.00199957,0.00299433,0.00465684,10,15,24,1,4,10,0.00023225,0.00079191,0.00197068,0.81271615,0.92227762,1.07957065
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-10 00:00:00.000000,0.00339843,0.00500054,0.00711164,17,26,37,6,10,17,0.00129499,0.00206990,0.00331327,0.81271615,0.92227761,1.07957063
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-11 00:00:00.000000,0.00498231,0.00751562,0.01004684,25,39,52,12,18,26,0.00246653,0.00352121,0.00512175,0.81271615,0.92227758,1.07957057
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-12 00:00:00.000000,0.00681905,0.01067889,0.01391108,35,55,72,18,27,39,0.00353515,0.00534400,0.00757883,0.81271614,0.92227749,1.07957045
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-13 00:00:00.000000,0.00923717,0.01446786,0.01866691,48,75,97,25,39,53,0.00482187,0.00755694,0.01035451,0.81271611,0.92227724,1.07957016
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-14 00:00:00.000000,0.01220533,0.01899589,0.02461524,63,99,128,34,52,70,0.00657119,0.01006698,0.01358490,0.81271599,0.92227652,1.07956946
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-15 00:00:00.000000,0.01582077,0.02434307,0.03145521,82,126,163,45,68,91,0.00869441,0.01321081,0.01756218,0.81271557,0.92227441,1.07956767
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-16 00:00:00.000000,0.01982524,0.02988753,0.03783452,103,155,197,58,89,118,0.01126442,0.01713609,0.02275227,0.81271411,0.92226827,1.07956286
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-17 00:00:00.000000,0.02479181,0.03737500,0.04645532,129,194,242,73,109,146,0.01411088,0.02103296,0.02801590,0.81270899,0.92225038,1.07954917
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-18 00:00:00.000000,0.03074873,0.04577994,0.05736845,160,238,299,91,135,181,0.01753432,0.02602443,0.03482678,0.81269108,0.92219815,1.07887027
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-19 00:00:00.000000,0.03801576,0.05598533,0.07141260,198,291,372,113,167,225,0.02167544,0.03204602,0.04316677,0.81262834,0.91543169,1.07781757
0,0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2021-02-26 18:39:46.289852,2020-03-20 00:00:00.000000,0.04684889,0.06826213,0.08867913,244,355,462,139,203,278,0.02668766,0.03905773,0.05344704,0.81240863,0.91049220,1.06748653
