FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-09 00:00:00.000000,0.00580270,0.01597291,0.04711441,8,22,65,3,10,37,0.00225619,0.00786407,0.02737654,0.46848311,0.64997924,0.84226189
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-10 00:00:00.000000,0.00760883,0.01880768,0.05289170,10,25,73,4,11,39,0.00294944,0.00846966,0.02832748,0.46846122,0.64995841,0.84226184
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-11 00:00:00.000000,0.00988815,0.02162691,0.05889574,13,29,81,5,13,41,0.00371607,0.00951323,0.03010503,0.46841957,0.64991748,0.84226167
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-12 00:00:00.000000,0.01179440,0.02464207,0.06528869,16,34,90,6,15,44,0.00476192,0.01099557,0.03204201,0.46834040,0.64983718,0.84226116
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-13 00:00:00.000000,0.01394397,0.02838784,0.07218751,19,39,99,8,17,47,0.00588537,0.01290780,0.03472469,0.46819014,0.64967987,0.84225955
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-14 00:00:00.000000,0.01637627,0.03276471,0.07968312,22,45,110,9,20,52,0.00702861,0.01473202,0.03796969,0.46790596,0.64937280,0.84225447
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-15 00:00:00.000000,0.01913660,0.03766824,0.08785288,26,52,121,11,23,57,0.00832957,0.01728072,0.04169122,0.46737189,0.64877755,0.84223835
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-16 00:00:00.000000,0.02401015,0.04399669,0.09787404,33,60,135,13,27,63,0.00980335,0.02008333,0.04585780,0.46638012,0.64790916,0.84218696
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-17 00:00:00.000000,0.02899419,0.05064317,0.10871208,40,69,150,15,32,70,0.01154382,0.02316174,0.05072243,0.46457858,0.64790835,0.84202280
0,1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2021-01-19 14:20:18.653936,2020-03-18 00:00:00.000000,0.03436303,0.05896421,0.12050317,47,81,166,19,37,77,0.01406469,0.02742634,0.05621000,0.46473724,0.64668286,0.84149827
