FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-09 00:00:00.000000,0.00617691,0.01198414,0.02392907,27,53,106,12,27,57,0.00284777,0.00623851,0.01302150,0.54976186,0.74663306,0.94835152
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-10 00:00:00.000000,0.00781860,0.01421939,0.02688138,34,63,119,17,33,69,0.00385951,0.00743037,0.01558876,0.54976203,0.74662947,0.94835052
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-11 00:00:00.000000,0.00972609,0.01727859,0.03121829,43,76,138,21,39,79,0.00485085,0.00899130,0.01788028,0.54976240,0.74662039,0.94834900
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-12 00:00:00.000000,0.01145193,0.01987523,0.03497427,50,88,155,26,48,91,0.00603007,0.01086220,0.02054991,0.54976326,0.74659738,0.94834665
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-13 00:00:00.000000,0.01325055,0.02314920,0.03980584,58,102,177,32,57,104,0.00726623,0.01289842,0.02338816,0.54976557,0.74653890,0.94834267
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-14 00:00:00.000000,0.01577938,0.02659460,0.04522197,70,118,201,39,66,119,0.00892082,0.01500467,0.02678993,0.54977376,0.74634211,0.94833398
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-15 00:00:00.000000,0.01885068,0.03105155,0.05125333,83,138,227,47,77,137,0.01064173,0.01751514,0.03100176,0.54981243,0.74555158,0.94830394
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-16 00:00:00.000000,0.02259030,0.03659530,0.05744368,100,162,255,54,90,156,0.01236650,0.02038715,0.03519906,0.55003021,0.74455881,0.94815271
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-17 00:00:00.000000,0.02650401,0.04239826,0.06440597,117,188,286,65,104,175,0.01477772,0.02350637,0.03951490,0.55133416,0.74198168,0.94726590
0,1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2021-09-27 04:39:40.790681,2020-03-18 00:00:00.000000,0.03103352,0.04868837,0.07214786,138,216,320,77,119,196,0.01738756,0.02693339,0.04428973,0.55864057,0.73839500,0.94193440
