FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-09 00:00:00.000000,0.00355360,0.01498230,0.05494372,5,23,84,1,10,45,0.00114510,0.00708694,0.02966440,0.43279246,0.61019455,0.78199410
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-10 00:00:00.000000,0.00515151,0.01681605,0.05791691,7,26,89,2,11,48,0.00174931,0.00765558,0.03105338,0.43279010,0.61019448,0.78199349
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-11 00:00:00.000000,0.00658880,0.01928997,0.06043285,10,29,93,3,13,48,0.00245789,0.00899683,0.03108812,0.43278584,0.61019425,0.78199241
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-12 00:00:00.000000,0.00818148,0.02150861,0.06431318,12,33,99,5,16,52,0.00327210,0.01035782,0.03399971,0.43277812,0.61019356,0.78199049
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-13 00:00:00.000000,0.00978424,0.02492905,0.06778638,15,38,104,6,18,56,0.00416480,0.01174640,0.03666282,0.43276416,0.61019140,0.78198707
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-14 00:00:00.000000,0.01144542,0.02763598,0.07131573,17,42,110,7,20,59,0.00513351,0.01341389,0.03863781,0.43273893,0.61018474,0.78198070
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-15 00:00:00.000000,0.01355850,0.03067474,0.07677175,20,47,118,9,23,62,0.00615351,0.01529022,0.04066381,0.43269334,0.61012390,0.78196718
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-16 00:00:00.000000,0.01578883,0.03527377,0.08212439,24,54,127,11,26,68,0.00730055,0.01732480,0.04403365,0.43261114,0.60957180,0.78158250
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-17 00:00:00.000000,0.01785005,0.03993334,0.08838857,27,61,136,12,29,73,0.00839384,0.01932024,0.04759787,0.43246349,0.60549078,0.78043566
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-18 00:00:00.000000,0.02008212,0.04500520,0.09552227,31,69,147,14,34,78,0.00950610,0.02202205,0.05106580,0.42170423,0.59731810,0.77767637
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-19 00:00:00.000000,0.02251786,0.05191088,0.10300432,34,80,159,16,38,84,0.01078442,0.02489968,0.05461217,0.40876198,0.59190262,0.77400024
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-20 00:00:00.000000,0.02664330,0.05722796,0.11091098,41,88,171,19,42,90,0.01291346,0.02762745,0.05829968,0.40732596,0.57614641,0.76124833
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-21 00:00:00.000000,0.03031843,0.06180337,0.11929559,46,95,184,23,47,96,0.01503925,0.03077996,0.06207804,0.40621310,0.57514980,0.76703426
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-22 00:00:00.000000,0.03418047,0.06770883,0.12630738,52,104,195,25,53,103,0.01674108,0.03453077,0.06688539,0.38318591,0.56791547,0.76225160
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-23 00:00:00.000000,0.03952784,0.07417656,0.13276617,61,114,205,28,58,110,0.01872868,0.03769481,0.07160602,0.38184668,0.55854952,0.75754231
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-24 00:00:00.000000,0.04566522,0.08148931,0.14164736,70,126,219,33,63,116,0.02168623,0.04115165,0.07547034,0.38142201,0.55375014,0.75280044
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-25 00:00:00.000000,0.05249568,0.08805126,0.15540546,81,136,240,38,68,122,0.02508026,0.04440111,0.07926919,0.38123762,0.55310628,0.74650159
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-26 00:00:00.000000,0.05998153,0.09582642,0.16521412,92,148,255,44,75,129,0.02887184,0.04870124,0.08374597,0.38105762,0.55157207,0.73471100
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-27 00:00:00.000000,0.06723439,0.10436345,0.17526632,103,161,271,51,83,141,0.03304298,0.05370742,0.09138568,0.37106386,0.51962694,0.71510951
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-28 00:00:00.000000,0.07252487,0.11233426,0.18517359,112,173,286,58,90,153,0.03757593,0.05844398,0.09916791,0.37454951,0.50398079,0.69280175
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-29 00:00:00.000000,0.07842978,0.11999918,0.19482789,121,185,301,63,98,162,0.04103530,0.06342927,0.10512538,0.36461637,0.49726299,0.67506865
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-30 00:00:00.000000,0.08565113,0.13042048,0.20135042,132,201,311,66,105,171,0.04291440,0.06793713,0.11082095,0.35201058,0.49251735,0.64802809
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-03-31 00:00:00.000000,0.09255966,0.14021267,0.20702939,143,216,320,69,111,178,0.04485362,0.07239219,0.11569923,0.34512964,0.47802822,0.64125247
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-04-01 00:00:00.000000,0.10008176,0.14966152,0.21221462,154,231,328,75,119,185,0.04891089,0.07707220,0.11987360,0.34049224,0.46750847,0.63550964
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-04-02 00:00:00.000000,0.10513250,0.15866563,0.22276048,162,245,344,83,127,192,0.05395215,0.08270578,0.12416415,0.33784728,0.46451687,0.63397620
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-04-03 00:00:00.000000,0.10877054,0.16709478,0.23523932,168,258,363,89,138,198,0.05764789,0.08955873,0.12842995,0.31691489,0.45617559,0.63181342
0,3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2021-10-19 04:40:29.960509,2020-04-04 00:00:00.000000,0.11565627,0.17476821,0.24316003,178,270,376,93,146,205,0.06014287,0.09472378,0.13268928,0.29578373,0.43342836,0.60618525
