FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-09 00:00:00.000000,0.00568667,0.02801253,0.06167880,6,31,69,3,17,38,0.00281427,0.01523314,0.03395506,0.57937353,0.74778046,0.96749762
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-10 00:00:00.000000,0.00697164,0.03116410,0.06529590,7,35,73,4,19,42,0.00356098,0.01698678,0.03723718,0.57937385,0.74778600,0.96712396
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-11 00:00:00.000000,0.00817618,0.03574367,0.07129451,9,40,80,4,22,46,0.00435147,0.02012346,0.04145283,0.57937453,0.74779817,0.96667757
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-12 00:00:00.000000,0.00926209,0.04056512,0.07802932,10,45,88,5,25,52,0.00496939,0.02291104,0.04605670,0.57937598,0.74782470,0.96614163
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-13 00:00:00.000000,0.01048435,0.04560437,0.08550497,11,51,96,6,29,57,0.00564211,0.02617411,0.05104519,0.57937902,0.74788215,0.96548431
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-14 00:00:00.000000,0.01186165,0.05221031,0.09756464,13,59,110,7,32,63,0.00639491,0.02910192,0.05634355,0.57938532,0.74800529,0.96461472
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-15 00:00:00.000000,0.01341634,0.05646298,0.10581799,15,63,119,8,36,70,0.00724067,0.03258574,0.06252704,0.57939810,0.74826465,0.96318869
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-16 00:00:00.000000,0.01632493,0.06510244,0.11595794,18,73,131,9,41,78,0.00819362,0.03640288,0.06911682,0.57942280,0.74438516,0.95976789
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-17 00:00:00.000000,0.01946591,0.07370093,0.12781202,22,83,144,11,46,88,0.00987784,0.04140293,0.07857008,0.58605300,0.74335274,0.94863709
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-18 00:00:00.000000,0.02315029,0.08501688,0.14466673,26,96,163,13,53,99,0.01185550,0.04708558,0.08786832,0.58774193,0.73998444,0.91413887
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-19 00:00:00.000000,0.02734958,0.09795669,0.16349077,30,110,184,15,61,110,0.01410776,0.05443948,0.09762318,0.58671338,0.73973473,0.92226387
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-20 00:00:00.000000,0.03212489,0.11305308,0.18435827,36,127,208,18,71,122,0.01666693,0.06309313,0.10826478,0.58690561,0.73719759,0.92412750
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-21 00:00:00.000000,0.03756089,0.12901835,0.20783214,42,145,235,22,82,137,0.01957711,0.07300924,0.12137046,0.57479218,0.73524975,0.92675009
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-22 00:00:00.000000,0.04375502,0.14651990,0.23521801,49,165,266,25,93,156,0.02289160,0.08263787,0.13831306,0.54688623,0.73519602,0.93013600
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-23 00:00:00.000000,0.05598170,0.16929784,0.26361705,63,191,298,30,104,176,0.02667050,0.09202704,0.15648429,0.52193109,0.73035551,0.93546349
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-24 00:00:00.000000,0.06919100,0.19337520,0.30097151,78,218,340,38,118,198,0.03370540,0.10509646,0.17525614,0.51327683,0.73249642,0.93620530
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-25 00:00:00.000000,0.08475097,0.21745835,0.34485305,95,245,390,47,138,221,0.04202771,0.12217976,0.19541368,0.51979972,0.72289878,0.93658623
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-26 00:00:00.000000,0.10246309,0.24632613,0.39455795,115,278,446,58,160,247,0.05154201,0.14194053,0.21862256,0.54012070,0.70699095,0.93676529
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2021-09-29 22:10:47.673636,2020-03-27 00:00:00.000000,0.12245636,0.27854725,0.44085786,138,315,498,70,180,282,0.06235340,0.15970759,0.25015267,0.55718429,0.70649838,0.93679263
