FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-09 00:00:00.000000,0.00274271,0.01275201,0.03108169,16,77,188,6,36,99,0.00115462,0.00607178,0.01639243,0.57400417,0.72869997,0.97211754
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-10 00:00:00.000000,0.00366592,0.01498104,0.03439276,22,90,208,8,39,99,0.00144504,0.00652184,0.01636324,0.57400923,0.72869141,0.97211572
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-11 00:00:00.000000,0.00465997,0.01722552,0.03796326,28,104,229,11,44,111,0.00182437,0.00733305,0.01834386,0.57401774,0.72867448,0.97211132
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-12 00:00:00.000000,0.00582164,0.01987321,0.04226383,35,120,255,14,50,121,0.00233908,0.00831711,0.01999804,0.57403207,0.72864100,0.97210062
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-13 00:00:00.000000,0.00718139,0.02274039,0.04699928,43,137,284,17,57,132,0.00297036,0.00952464,0.02188530,0.57405635,0.72857485,0.97207455
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-14 00:00:00.000000,0.00877333,0.02574088,0.05222329,53,155,316,22,66,146,0.00372012,0.01097137,0.02414425,0.57409866,0.72844444,0.97201089
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-15 00:00:00.000000,0.01063678,0.02921674,0.05804399,64,176,351,27,77,163,0.00460258,0.01279532,0.02703558,0.57417924,0.72818843,0.97185534
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-16 00:00:00.000000,0.01277969,0.03297212,0.06519930,77,199,394,34,88,184,0.00563658,0.01468145,0.03050825,0.57436833,0.72768990,0.97147505
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-17 00:00:00.000000,0.01468272,0.03781416,0.07290393,88,228,441,41,102,208,0.00690382,0.01686828,0.03435954,0.57805333,0.72394555,0.97054635
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-18 00:00:00.000000,0.01684193,0.04280166,0.08107990,101,259,490,50,116,233,0.00826573,0.01920818,0.03857748,0.58804480,0.71945204,0.96828768
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-19 00:00:00.000000,0.01928671,0.04804463,0.08970658,116,290,543,57,130,261,0.00951169,0.02161526,0.04313627,0.58416375,0.71586286,0.96285749
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-20 00:00:00.000000,0.02205043,0.05443576,0.09885419,133,329,598,66,148,290,0.01091657,0.02447815,0.04801448,0.56514401,0.70999749,0.95017863
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-21 00:00:00.000000,0.02516870,0.06131401,0.11107884,152,371,672,75,167,322,0.01250285,0.02771482,0.05321449,0.54426722,0.70585474,0.93667328
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-22 00:00:00.000000,0.02868115,0.06820233,0.12596243,173,412,762,86,190,355,0.01429307,0.03153926,0.05876815,0.52377870,0.69263988,0.90263939
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-23 00:00:00.000000,0.03300909,0.07636997,0.14144540,199,462,856,98,214,396,0.01631084,0.03549866,0.06543451,0.51373559,0.67118123,0.87539061
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-24 00:00:00.000000,0.03780605,0.08653511,0.15522290,228,523,939,113,241,448,0.01870257,0.03995291,0.07400243,0.50718512,0.66042364,0.85809085
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-25 00:00:00.000000,0.04311332,0.09842871,0.16883401,261,595,1022,129,271,503,0.02143521,0.04490791,0.08316595,0.49869578,0.64569579,0.85628434
0,3536,CanadaOntarioHalton,Ontario,Halton,2021-09-02 15:34:07.690569,2020-03-26 00:00:00.000000,0.04888766,0.11023626,0.18296942,296,667,1107,148,298,556,0.02449774,0.04934275,0.09187867,0.49160528,0.62404529,0.85606773
