FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-09 00:00:00.000000,0.00842262,0.03544820,0.08876396,12,54,136,6,26,77,0.00416987,0.01744646,0.05058068,0.63524441,0.84089060,1.09455602
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-10 00:00:00.000000,0.01045585,0.04096961,0.10144292,16,62,155,7,30,79,0.00463653,0.01963962,0.05172397,0.63524510,0.84088530,1.09454718
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-11 00:00:00.000000,0.01275035,0.04714470,0.11495454,19,72,176,8,35,86,0.00584509,0.02279041,0.05602669,0.63524682,0.84087818,1.09452600
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-12 00:00:00.000000,0.01539252,0.05429064,0.12969162,23,83,199,11,39,95,0.00731632,0.02550651,0.06221155,0.63525103,0.84086850,1.09447359
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-13 00:00:00.000000,0.01846456,0.06117266,0.14594668,28,93,224,13,45,107,0.00902034,0.02950994,0.06978902,0.63526136,0.84085463,1.09434030
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-14 00:00:00.000000,0.02205604,0.06928251,0.16384232,33,106,251,16,52,120,0.01098458,0.03420399,0.07858340,0.63528675,0.84082907,1.09399399
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-15 00:00:00.000000,0.02626836,0.07911049,0.18366549,40,121,282,20,59,136,0.01325902,0.03870298,0.08869199,0.63534908,0.84074069,1.09308108
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-16 00:00:00.000000,0.03573735,0.09314499,0.20972720,54,143,322,24,66,153,0.01590639,0.04312611,0.10022795,0.63550206,0.84020279,1.09066014
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-17 00:00:00.000000,0.04250139,0.10761859,0.23832912,65,165,366,31,75,174,0.02055604,0.04923690,0.11370066,0.63587699,0.83867179,1.08429524
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-18 00:00:00.000000,0.04852690,0.12582616,0.27021312,74,193,415,35,89,193,0.02343634,0.05853868,0.12584773,0.63679337,0.84592413,1.06822244
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2021-03-05 00:54:50.019567,2020-03-19 00:00:00.000000,0.05536771,0.14554647,0.30117255,85,223,462,41,104,209,0.02674082,0.06805959,0.13626180,0.63903623,0.84489019,1.05707668
