FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-09 00:00:00.000000,0.00310264,0.00929235,0.01971897,13,41,88,4,20,47,0.00101609,0.00464659,0.01060764,0.55263960,0.74750140,0.97647915
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-10 00:00:00.000000,0.00387310,0.01043953,0.02267657,17,47,102,6,22,48,0.00135799,0.00498147,0.01079191,0.55263958,0.74749184,0.97647216
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-11 00:00:00.000000,0.00470718,0.01214812,0.02671857,21,54,120,8,25,54,0.00180472,0.00563362,0.01214632,0.55263954,0.74747637,0.97645742
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-12 00:00:00.000000,0.00564620,0.01390170,0.03024767,25,62,136,10,29,63,0.00232325,0.00655312,0.01399829,0.55263946,0.74745134,0.97642611
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-13 00:00:00.000000,0.00670468,0.01576622,0.03471199,30,71,156,12,34,72,0.00283882,0.00768076,0.01601685,0.55263933,0.74741089,0.97635842
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-14 00:00:00.000000,0.00790740,0.01818506,0.03982307,35,81,179,15,39,82,0.00335365,0.00875583,0.01830580,0.55263912,0.74734590,0.97620799
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-15 00:00:00.000000,0.00926265,0.02093983,0.04550907,41,94,205,17,44,94,0.00398012,0.00994786,0.02089216,0.55263888,0.74584715,0.97586062
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-16 00:00:00.000000,0.01128684,0.02419410,0.05210058,50,109,234,21,51,109,0.00468766,0.01134805,0.02421539,0.55263935,0.74129177,0.97553419
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-17 00:00:00.000000,0.01328170,0.02811154,0.05949275,59,126,268,25,57,125,0.00570335,0.01279948,0.02793196,0.55264564,0.73673458,0.97156202
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-18 00:00:00.000000,0.01556668,0.03160621,0.06743556,70,142,304,30,64,145,0.00671914,0.01439524,0.03223509,0.55268933,0.73578263,0.95207739
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-19 00:00:00.000000,0.01818640,0.03570510,0.07618683,81,160,343,35,73,167,0.00789060,0.01622562,0.03711437,0.55145704,0.72998371,0.94495779
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-20 00:00:00.000000,0.02087300,0.04088190,0.08648727,94,184,389,41,82,188,0.00923540,0.01825221,0.04191268,0.55020222,0.71078809,0.93458921
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-21 00:00:00.000000,0.02351363,0.04643268,0.09585126,106,209,432,48,93,211,0.01070595,0.02080192,0.04697722,0.55025676,0.68672679,0.93348078
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-22 00:00:00.000000,0.02669828,0.05202004,0.10741884,120,234,484,53,106,240,0.01185487,0.02358057,0.05334253,0.57204779,0.67530287,0.92387246
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-23 00:00:00.000000,0.03012650,0.05715356,0.11929539,135,257,537,61,121,271,0.01360729,0.02704082,0.06028489,0.56706295,0.67227624,0.92347649
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-24 00:00:00.000000,0.03377587,0.06300871,0.13073995,152,284,589,70,137,303,0.01564393,0.03041189,0.06734623,0.55671424,0.67598311,0.92322588
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-25 00:00:00.000000,0.03773269,0.07119794,0.14163769,170,320,638,80,155,330,0.01793125,0.03438270,0.07341692,0.55455575,0.67365471,0.92304708
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-26 00:00:00.000000,0.04197997,0.07915820,0.15548641,189,356,700,91,175,358,0.02020864,0.03883657,0.07960294,0.54691070,0.66850561,0.91701347
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-27 00:00:00.000000,0.04648474,0.08806170,0.16967614,209,396,764,101,199,388,0.02248104,0.04428260,0.08607387,0.52373380,0.65236039,0.87004856
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-28 00:00:00.000000,0.05119649,0.09938276,0.19131323,230,448,862,112,225,418,0.02497239,0.04998977,0.09285960,0.50414532,0.63198843,0.82258756
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-29 00:00:00.000000,0.05606698,0.10982798,0.20894924,252,495,941,125,250,468,0.02773800,0.05566678,0.10389794,0.48762872,0.61151384,0.82663848
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-30 00:00:00.000000,0.06142685,0.12337491,0.22530625,276,556,1015,139,276,535,0.03088775,0.06129705,0.11870766,0.45815700,0.58977128,0.80346075
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-03-31 00:00:00.000000,0.06903780,0.13425965,0.24792783,311,605,1117,155,305,601,0.03445166,0.06771967,0.13349403,0.44482042,0.55773319,0.77704938
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-01 00:00:00.000000,0.07776809,0.14360749,0.27103693,350,647,1221,174,333,665,0.03862067,0.07397037,0.14767381,0.40736559,0.53045134,0.72541357
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-02 00:00:00.000000,0.08742742,0.15182824,0.29423018,394,684,1326,195,366,725,0.04344370,0.08131862,0.16089427,0.37857865,0.50426054,0.67838984
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-03 00:00:00.000000,0.09466346,0.15955459,0.31106748,426,719,1402,215,396,780,0.04773317,0.08804508,0.17318636,0.36918977,0.48046728,0.62845971
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-04 00:00:00.000000,0.09895034,0.17181606,0.32390203,446,774,1460,228,428,825,0.05057928,0.09497498,0.18315469,0.34382280,0.44417088,0.59914381
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-05 00:00:00.000000,0.10281175,0.17954037,0.33277233,463,809,1500,239,464,862,0.05307952,0.10305102,0.19123749,0.31898451,0.41921879,0.58709490
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-06 00:00:00.000000,0.10648521,0.18870849,0.33903086,480,850,1528,249,491,891,0.05528987,0.10904112,0.19768826,0.30188990,0.39603792,0.55786153
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-07 00:00:00.000000,0.11078408,0.19648645,0.35099331,499,885,1582,258,516,912,0.05731808,0.11463435,0.20248227,0.29358015,0.37865124,0.55180541
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-08 00:00:00.000000,0.11540242,0.20259505,0.35877445,520,913,1617,267,532,929,0.05926945,0.11812562,0.20612387,0.27775308,0.36813219,0.53437987
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-09 00:00:00.000000,0.11693958,0.20659437,0.36239214,527,931,1633,273,546,942,0.06068989,0.12127167,0.20912036,0.26628421,0.35799431,0.49391138
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-10 00:00:00.000000,0.11820405,0.21259670,0.36433610,532,958,1642,282,559,954,0.06266373,0.12407950,0.21175349,0.24841388,0.34017539,0.45249030
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-11 00:00:00.000000,0.12033941,0.21839886,0.36543550,542,984,1647,286,570,965,0.06363582,0.12651270,0.21412005,0.22869599,0.33106224,0.44529330
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-12 00:00:00.000000,0.12320742,0.22457786,0.36597100,555,1012,1649,288,589,974,0.06400511,0.13073221,0.21619559,0.22406815,0.31502385,0.41031590
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-13 00:00:00.000000,0.12122827,0.22621285,0.36744659,546,1019,1656,295,609,982,0.06565512,0.13517488,0.21787845,0.22333186,0.30629573,0.39617650
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-14 00:00:00.000000,0.12188215,0.22411852,0.36858170,549,1010,1661,303,620,986,0.06724760,0.13768285,0.21885206,0.21268156,0.29981679,0.39375055
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-15 00:00:00.000000,0.12244767,0.22218520,0.36915561,552,1001,1664,294,615,987,0.06526877,0.13658143,0.21904403,0.19653436,0.28839379,0.38487770
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-16 00:00:00.000000,0.12274559,0.21897064,0.36813521,553,987,1659,292,606,984,0.06496330,0.13454649,0.21841646,0.18965653,0.27177765,0.36734205
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-17 00:00:00.000000,0.12271303,0.21513228,0.36376238,553,969,1639,293,595,978,0.06519841,0.13218262,0.21700057,0.18391933,0.25842163,0.35903116
0,3546,CanadaOntarioNiagara,Ontario,Niagara,2021-12-13 08:26:31.127899,2020-04-18 00:00:00.000000,0.12231884,0.21031834,0.35626894,551,948,1606,294,586,977,0.06527717,0.13000970,0.21673323,0.17949499,0.24803503,0.35009220
