FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-09 00:00:00.000000,0.00313852,0.01171215,0.03832234,4,18,59,2,9,33,0.00142261,0.00586725,0.02156288,0.49142679,0.66615661,0.83688540
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-10 00:00:00.000000,0.00366581,0.01302601,0.04173336,5,20,64,2,9,32,0.00161532,0.00598756,0.02101238,0.49143233,0.66615491,0.83686807
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-11 00:00:00.000000,0.00424532,0.01489923,0.04456966,6,23,68,3,10,32,0.00195272,0.00678938,0.02124964,0.49144449,0.66615143,0.83682620
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-12 00:00:00.000000,0.00484439,0.01655774,0.04610284,7,25,71,3,11,34,0.00229409,0.00768537,0.02214107,0.49147122,0.66614375,0.83671381
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-13 00:00:00.000000,0.00549402,0.01816726,0.04916555,8,28,75,4,13,36,0.00266143,0.00848424,0.02352044,0.49152991,0.66612582,0.83638830
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-14 00:00:00.000000,0.00623144,0.01962304,0.05320906,9,30,82,4,14,40,0.00306732,0.00927429,0.02617194,0.49165850,0.66608212,0.83541068
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-15 00:00:00.000000,0.00706856,0.02149773,0.05778397,10,33,89,5,15,44,0.00351737,0.01008155,0.02903986,0.49193860,0.66571066,0.83253112
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-16 00:00:00.000000,0.01021686,0.02431857,0.06316808,15,37,97,6,16,48,0.00401924,0.01083269,0.03166331,0.49254085,0.66256213,0.82506808
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-17 00:00:00.000000,0.01211146,0.02777899,0.06895133,18,42,106,8,18,53,0.00525856,0.01227915,0.03452101,0.49426515,0.66124209,0.81917929
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-18 00:00:00.000000,0.01399903,0.03111429,0.07520519,21,48,116,9,21,58,0.00635784,0.01407221,0.03767161,0.49602517,0.65570044,0.81116670
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-19 00:00:00.000000,0.01638033,0.03427833,0.08193553,25,52,126,11,24,63,0.00760419,0.01592421,0.04110070,0.49735175,0.64892587,0.81648792
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-20 00:00:00.000000,0.01895492,0.03828378,0.08885861,29,59,137,13,28,69,0.00876064,0.01828234,0.04480619,0.48674554,0.64178752,0.80739671
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-21 00:00:00.000000,0.02141423,0.04288837,0.09497166,33,66,146,15,31,75,0.01006023,0.02049943,0.04869443,0.48309423,0.62615952,0.81009769
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-22 00:00:00.000000,0.02408127,0.04707871,0.10075917,37,72,155,17,35,80,0.01141980,0.02283676,0.05239342,0.47186759,0.62087851,0.81604328
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-23 00:00:00.000000,0.02741077,0.05258041,0.11163058,42,81,172,19,39,86,0.01284706,0.02585149,0.05588835,0.44802551,0.61138216,0.81839717
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-24 00:00:00.000000,0.03103466,0.05889492,0.12275322,47,90,189,22,45,93,0.01457803,0.02941906,0.06059373,0.41624694,0.60792524,0.81964944
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-25 00:00:00.000000,0.03502770,0.06530549,0.13461763,54,100,207,25,50,98,0.01652450,0.03264394,0.06374015,0.42232389,0.59692479,0.82022479
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-26 00:00:00.000000,0.03937495,0.07018670,0.14204697,60,108,219,28,54,103,0.01866986,0.03548122,0.06673766,0.42909532,0.58976356,0.81963921
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-27 00:00:00.000000,0.04402601,0.07746645,0.14754971,67,119,227,32,59,107,0.02101022,0.03862072,0.06959338,0.42097117,0.57336160,0.81423427
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-28 00:00:00.000000,0.04887373,0.08444394,0.15282751,75,130,236,36,65,111,0.02352615,0.04259576,0.07234400,0.42698265,0.55643740,0.79613091
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-29 00:00:00.000000,0.05382246,0.09035617,0.15799911,83,139,244,40,71,115,0.02616839,0.04624983,0.07502707,0.41099679,0.53941136,0.75281739
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-30 00:00:00.000000,0.05749786,0.09560895,0.16098598,88,147,248,44,76,120,0.02888228,0.04972998,0.07801150,0.40906382,0.52946285,0.73310570
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-03-31 00:00:00.000000,0.06137156,0.10464377,0.16288019,94,161,251,48,82,129,0.03111284,0.05324244,0.08390649,0.38428470,0.52218370,0.72708014
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-04-01 00:00:00.000000,0.06531742,0.11256047,0.17419242,100,173,269,51,88,137,0.03352926,0.05730973,0.08899504,0.37232534,0.51919240,0.72589767
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-04-02 00:00:00.000000,0.07112010,0.12174788,0.18834992,109,188,290,55,96,142,0.03609980,0.06257584,0.09246064,0.37139226,0.51007768,0.72376652
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-04-03 00:00:00.000000,0.07801718,0.12830127,0.20102204,120,198,310,58,102,151,0.03769004,0.06630310,0.09811288,0.36729854,0.50119482,0.71937662
0,3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-09-08 03:39:52.755543,2020-04-04 00:00:00.000000,0.08215567,0.13506978,0.20589777,126,208,317,64,110,162,0.04203226,0.07130845,0.10496345,0.32532976,0.48572907,0.70894407
