FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-09 00:00:00.000000,0.00948524,0.02140337,0.04120194,54,122,235,23,58,112,0.00413452,0.01027641,0.01969492,0.57407238,0.76849397,1.01121224
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-10 00:00:00.000000,0.01143398,0.02464388,0.04483364,65,140,256,25,62,127,0.00441981,0.01092113,0.02223294,0.57409975,0.76849324,1.01121123
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-11 00:00:00.000000,0.01335818,0.02828849,0.04820853,76,161,275,29,69,137,0.00516227,0.01224071,0.02413415,0.57414389,0.76849156,1.01120784
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-12 00:00:00.000000,0.01556307,0.03180499,0.05348455,88,181,305,35,80,146,0.00626270,0.01404897,0.02563201,0.57421462,0.76745564,1.01119531
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-13 00:00:00.000000,0.01810334,0.03550395,0.05944877,103,202,339,43,91,156,0.00755060,0.01599465,0.02740381,0.57432704,0.76561387,1.01114591
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-14 00:00:00.000000,0.02103361,0.04034119,0.06603601,120,230,377,50,105,171,0.00879451,0.01840519,0.03000719,0.57450376,0.76327256,1.01094294
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-15 00:00:00.000000,0.02380110,0.04547962,0.07476037,135,259,427,56,120,190,0.00987449,0.02106695,0.03330607,0.57477718,0.76302502,1.01008773
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-16 00:00:00.000000,0.02647156,0.05101453,0.08483282,151,291,484,62,133,211,0.01102779,0.02337075,0.03695426,0.57519053,0.76291752,0.97922235
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-17 00:00:00.000000,0.02939239,0.05785551,0.09629038,167,330,550,70,151,237,0.01229660,0.02644855,0.04151058,0.56432661,0.76239722,0.97515663
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-13 08:24:42.220617,2020-03-18 00:00:00.000000,0.03259246,0.06473287,0.11052774,186,369,631,78,169,269,0.01368653,0.02969618,0.04721208,0.56554847,0.75711619,0.94058670
