FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-09 00:00:00.000000,0.00429623,0.00701357,0.01118876,366,598,955,189,270,410,0.00221535,0.00317217,0.00481291,0.81975773,0.94350261,1.17538081
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-10 00:00:00.000000,0.00521128,0.00853337,0.01323943,444,728,1130,226,337,522,0.00265786,0.00395214,0.00611835,0.81975768,0.94350162,1.17528370
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-11 00:00:00.000000,0.00633855,0.01033955,0.01573642,541,882,1343,274,415,622,0.00321529,0.00487132,0.00729169,0.81964156,0.94349978,1.17511000
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-12 00:00:00.000000,0.00773604,0.01248423,0.01873042,660,1065,1599,332,501,744,0.00389951,0.00587441,0.00871522,0.81888387,0.94349621,1.17479941
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-13 00:00:00.000000,0.00939498,0.01516162,0.02230095,802,1294,1903,398,602,894,0.00466711,0.00705320,0.01048023,0.81788713,0.94348911,1.17424454
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-14 00:00:00.000000,0.01132502,0.01835975,0.02658997,966,1567,2270,481,732,1068,0.00564129,0.00858366,0.01251663,0.81788904,0.94347450,1.17325480
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-15 00:00:00.000000,0.01375092,0.02208621,0.03201085,1174,1885,2732,581,892,1273,0.00681029,0.01045792,0.01491053,0.81790478,0.94344345,1.17149411
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-16 00:00:00.000000,0.01668930,0.02651983,0.03847391,1424,2264,3284,701,1090,1516,0.00821414,0.01277610,0.01776169,0.81803213,0.94289266,1.16837664
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-17 00:00:00.000000,0.02026500,0.03167536,0.04540973,1730,2704,3876,845,1306,1805,0.00990284,0.01529834,0.02115199,0.81904549,0.94068460,1.16289883
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-18 00:00:00.000000,0.02425058,0.03820149,0.05390621,2070,3261,4602,1012,1563,2150,0.01186063,0.01831454,0.02518911,0.82188302,0.93582358,1.14906076
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-19 00:00:00.000000,0.02895863,0.04593800,0.06471785,2472,3922,5525,1195,1875,2580,0.01400491,0.02196695,0.03022211,0.81436201,0.92648552,1.13544875
0,0,CanadaQuebec,Quebec,,2021-01-17 17:23:42.391824,2020-03-20 00:00:00.000000,0.03459087,0.05462397,0.07768851,2953,4663,6632,1419,2242,3093,0.01662913,0.02626763,0.03623779,0.79330313,0.92011490,1.09046762
