FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-15 00:00:00.000000,0.00836232,0.02967309,0.04853433,12,44,72,4,20,40,0.00293420,0.01389196,0.02706461,0.52712956,0.69587875,0.88600258
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-16 00:00:00.000000,0.01152446,0.03300865,0.05319807,17,49,79,7,23,42,0.00485634,0.01552731,0.02846341,0.52712753,0.69582550,0.88597712
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-17 00:00:00.000000,0.01541257,0.03729679,0.05821509,22,55,86,10,26,46,0.00709103,0.01790519,0.03098449,0.52712301,0.69575107,0.88593728
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-18 00:00:00.000000,0.01870079,0.04189213,0.06528948,27,62,96,13,30,50,0.00882623,0.02050018,0.03406137,0.52711294,0.69564658,0.88587445
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-19 00:00:00.000000,0.02241073,0.04694710,0.07137636,33,69,106,15,34,56,0.01077203,0.02353124,0.03805935,0.52709053,0.69549895,0.88577476
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-20 00:00:00.000000,0.02658472,0.05222624,0.07841399,39,77,116,19,39,63,0.01295646,0.02646171,0.04274095,0.52704064,0.69528828,0.88561585
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-21 00:00:00.000000,0.03126417,0.05720273,0.08684144,46,84,128,22,43,71,0.01540808,0.02941971,0.04795128,0.52692965,0.69498309,0.88536177
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-22 00:00:00.000000,0.03712978,0.06395035,0.10003384,55,94,148,26,48,79,0.01806148,0.03261084,0.05358509,0.52668313,0.69453120,0.88495478
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-23 00:00:00.000000,0.04241299,0.07164946,0.11027462,62,106,163,33,54,86,0.02231044,0.03682721,0.05815143,0.52613741,0.69384138,0.88062305
0,2408,CanadaQuebecAbitibi-Témiscamingue,Quebec,Abitibi-Témiscamingue,2021-11-09 05:17:54.415731,2020-03-24 00:00:00.000000,0.04818130,0.08046432,0.12504476,71,119,185,38,61,97,0.02584932,0.04116019,0.06534130,0.52493849,0.69274546,0.86028035
