FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-09 00:00:00.000000,0.00592744,0.01513880,0.03800415,25,64,161,9,31,90,0.00217897,0.00752111,0.02118520,0.50735684,0.69345005,0.90177779
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-10 00:00:00.000000,0.00776872,0.01743203,0.04082642,33,74,173,12,35,95,0.00289324,0.00841698,0.02251078,0.50735482,0.69344750,0.90153093
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-11 00:00:00.000000,0.00961701,0.02035197,0.04392708,40,86,186,16,42,101,0.00393533,0.00991470,0.02398743,0.50735130,0.69344075,0.90109836
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-12 00:00:00.000000,0.01143522,0.02376967,0.04728430,48,101,200,22,47,109,0.00520368,0.01128848,0.02572116,0.50733778,0.69342288,0.90034160
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-13 00:00:00.000000,0.01347467,0.02743451,0.05089679,57,116,216,26,55,117,0.00621056,0.01301335,0.02761295,0.50729095,0.69337552,0.89902183
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-14 00:00:00.000000,0.01582762,0.03093198,0.05490564,67,131,233,31,64,126,0.00733187,0.01514434,0.02987426,0.50718848,0.69324993,0.89673353
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-15 00:00:00.000000,0.01854461,0.03447290,0.06119822,78,146,260,36,71,144,0.00855831,0.01693281,0.03402203,0.50696203,0.69291716,0.89280814
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-16 00:00:00.000000,0.02129185,0.03917767,0.06864649,90,166,291,41,83,163,0.00965659,0.01968181,0.03855966,0.50645890,0.69203952,0.88620705
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-17 00:00:00.000000,0.02403195,0.04530306,0.07621355,102,192,323,46,98,175,0.01093378,0.02317891,0.04133672,0.50534365,0.68976021,0.87572868
0,2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-08-24 04:44:50.515735,2020-03-18 00:00:00.000000,0.02706175,0.05108614,0.08309214,115,217,353,52,112,188,0.01236430,0.02643812,0.04424632,0.50291321,0.68876741,0.86617073
