FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-09 00:00:00.000000,0.01203353,0.02669263,0.05215202,52,116,228,24,54,116,0.00550269,0.01237111,0.02665905,0.62344197,0.86455073,1.10388820
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-10 00:00:00.000000,0.01538766,0.03158326,0.06008747,67,138,263,28,62,129,0.00654216,0.01415388,0.02950110,0.62344233,0.86453645,1.10388820
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-11 00:00:00.000000,0.01871240,0.03692420,0.06905855,82,161,302,34,73,145,0.00788985,0.01670517,0.03317320,0.62344353,0.86451200,1.10388819
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-12 00:00:00.000000,0.02259635,0.04385116,0.07925604,99,192,347,43,87,164,0.00998465,0.01990457,0.03758349,0.62344767,0.86447023,1.10388817
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-13 00:00:00.000000,0.02714329,0.05245120,0.09193911,118,229,402,55,101,190,0.01262036,0.02319249,0.04345890,0.62346221,0.86439913,1.10388805
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-14 00:00:00.000000,0.03247257,0.06237728,0.10478804,142,273,459,68,119,224,0.01554202,0.02718010,0.05111663,0.62351401,0.86427875,1.10388721
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-15 00:00:00.000000,0.03872316,0.07228658,0.11949415,169,316,523,80,139,264,0.01844839,0.03172215,0.06027675,0.62370056,0.86407649,1.10388086
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-16 00:00:00.000000,0.04652965,0.08482557,0.13676235,203,371,599,95,162,312,0.02171212,0.03697610,0.07118460,0.62437541,0.86373930,1.10364289
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-17 00:00:00.000000,0.05560887,0.09798795,0.16249987,243,429,712,110,190,370,0.02524538,0.04340070,0.08451995,0.62678535,0.86317744,1.09039048
0,2413,CanadaQuebecLaval,Quebec,Laval,2021-11-02 15:21:40.660950,2020-03-18 00:00:00.000000,0.06626140,0.11490619,0.19439679,290,503,852,132,224,440,0.03012488,0.05119179,0.10050315,0.63483456,0.86221591,1.08959664
