FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-09 00:00:00.000000,0.00406508,0.01733798,0.03969740,0,2,5,0,1,2,0.00080076,0.00725259,0.01855407,0.31616921,0.41627005,0.57167768
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-10 00:00:00.000000,0.00646731,0.02102164,0.04428266,0,3,6,0,1,2,0.00169709,0.00805437,0.01890180,0.31616921,0.41626876,0.57158984
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-11 00:00:00.000000,0.00905848,0.02603304,0.05073204,1,3,7,0,1,3,0.00271128,0.01030555,0.02174723,0.31616921,0.41566762,0.57127813
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-12 00:00:00.000000,0.01139038,0.03138553,0.05625812,1,4,8,0,1,3,0.00397387,0.01293404,0.02544070,0.31616920,0.41441888,0.57017624
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-13 00:00:00.000000,0.01346940,0.03598669,0.06543258,1,5,9,0,2,4,0.00540833,0.01561452,0.02943255,0.31616918,0.41415343,0.56633395
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-14 00:00:00.000000,0.01585809,0.04094682,0.07306198,2,5,10,1,2,4,0.00697829,0.01858641,0.03176574,0.31616909,0.41383747,0.55679496
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-15 00:00:00.000000,0.01891099,0.04611966,0.08071063,2,6,11,1,3,5,0.00866739,0.02135411,0.03601888,0.31243149,0.40989570,0.55601093
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-16 00:00:00.000000,0.02556403,0.05219566,0.09073877,3,7,13,1,3,6,0.01025312,0.02406661,0.04185945,0.30694942,0.40287437,0.55279541
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-17 00:00:00.000000,0.03247730,0.05879938,0.10247746,4,8,15,1,4,6,0.01203958,0.02736643,0.04625915,0.28160270,0.38628804,0.55246694
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-18 00:00:00.000000,0.03854155,0.06655218,0.11473139,5,9,16,2,4,7,0.01596567,0.03111315,0.05234430,0.25233878,0.37706219,0.55168337
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-19 00:00:00.000000,0.04286652,0.07384616,0.12465701,6,10,18,2,5,8,0.01923324,0.03418373,0.05869868,0.22480537,0.34483187,0.54910124
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-20 00:00:00.000000,0.04710537,0.08093948,0.13602462,6,11,19,3,5,9,0.02270368,0.03846841,0.06529451,0.21296657,0.31871944,0.43628790
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-21 00:00:00.000000,0.05096315,0.08594779,0.14528484,7,12,21,3,6,10,0.02624727,0.04291392,0.07475188,0.20427169,0.30542799,0.43330235
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-22 00:00:00.000000,0.05402714,0.09056974,0.15242860,7,13,22,4,6,11,0.02902176,0.04709303,0.07925908,0.19345381,0.28459772,0.42725933
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-23 00:00:00.000000,0.05707870,0.09507140,0.15851426,8,13,23,4,7,12,0.03118935,0.05032641,0.08372388,0.18872150,0.26653168,0.41460687
0,2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2021-11-26 20:17:30.739417,2020-03-24 00:00:00.000000,0.05844512,0.09894302,0.16857553,8,14,24,4,7,12,0.03339836,0.05272506,0.08792567,0.17577778,0.25963022,0.38626975
