FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-09 00:00:00.000000,0.00386136,0.01711022,0.03945879,0,2,5,0,1,2,0.00197467,0.00870770,0.02098222,0.37580680,0.53236785,0.77149979
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-10 00:00:00.000000,0.00409056,0.01865052,0.04230373,0,2,5,0,1,2,0.00201029,0.00917214,0.02122686,0.37580676,0.53226973,0.77149599
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-11 00:00:00.000000,0.00425649,0.01997105,0.04607359,0,2,6,0,1,3,0.00212244,0.00983934,0.02214677,0.37580664,0.53212201,0.77148501
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-12 00:00:00.000000,0.00443913,0.02116517,0.04978557,0,2,6,0,1,3,0.00228942,0.01050380,0.02419831,0.37580631,0.53189276,0.77145325
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-13 00:00:00.000000,0.00463306,0.02281610,0.05367336,0,3,7,0,1,3,0.00246429,0.01114979,0.02742772,0.37580531,0.53152525,0.77136142
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-14 00:00:00.000000,0.00483590,0.02399352,0.05777104,0,3,8,0,1,4,0.00256265,0.01217839,0.03016026,0.37580207,0.53091714,0.77109616
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-15 00:00:00.000000,0.00504676,0.02506019,0.06208721,0,3,8,0,1,4,0.00267288,0.01309649,0.03282271,0.37579081,0.52988272,0.77033185
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-16 00:00:00.000000,0.01263040,0.03371166,0.07183433,1,4,9,0,1,4,0.00279060,0.01407887,0.03561312,0.37574983,0.52229713,0.76814555
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-17 00:00:00.000000,0.01844621,0.04186699,0.08403194,2,5,11,0,2,5,0.00500197,0.01656215,0.03997112,0.37559637,0.51880255,0.76201513
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-18 00:00:00.000000,0.02427933,0.05147446,0.10539207,3,7,14,1,2,6,0.00822523,0.02020705,0.04554459,0.36317012,0.50792373,0.74570010
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-19 00:00:00.000000,0.03124688,0.06131617,0.12478308,4,8,17,1,3,7,0.01105954,0.02506422,0.05758861,0.35282440,0.49131336,0.67392746
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-20 00:00:00.000000,0.03662525,0.07109686,0.14176784,5,9,19,1,4,9,0.01387655,0.03057037,0.07067731,0.34301290,0.46778121,0.65812556
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-21 00:00:00.000000,0.04309290,0.08321383,0.16431838,5,11,22,2,5,11,0.01615883,0.03705721,0.08003913,0.32019551,0.43812545,0.65177294
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-22 00:00:00.000000,0.04757236,0.09397560,0.18828547,6,13,26,2,5,12,0.01845016,0.04305564,0.08802455,0.27785147,0.40713032,0.64243812
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-23 00:00:00.000000,0.06105858,0.10822029,0.20365089,8,14,28,2,6,13,0.02064243,0.04937807,0.09587536,0.24652226,0.39247339,0.62810714
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-24 00:00:00.000000,0.07166170,0.12307970,0.22283375,9,17,30,3,8,14,0.02503031,0.05782198,0.10783006,0.23899116,0.37438995,0.59882328
0,2417,CanadaQuebecNunavik,Quebec,Nunavik,2021-09-21 03:26:06.915778,2020-03-25 00:00:00.000000,0.07893503,0.14150285,0.24712809,10,19,34,4,9,17,0.03043673,0.06543986,0.12311642,0.22717469,0.36602849,0.55687136
