FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-09 00:00:00.000000,0.00302085,0.01350642,0.03224670,12,55,132,5,27,71,0.00144001,0.00666635,0.01734235,0.45771284,0.65335135,0.84661965
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-10 00:00:00.000000,0.00389336,0.01546041,0.03598100,15,63,147,6,29,72,0.00156278,0.00727599,0.01776511,0.45771283,0.65335151,0.84661944
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-11 00:00:00.000000,0.00505168,0.01750669,0.03997315,20,71,163,7,32,77,0.00190583,0.00799966,0.01891117,0.45771279,0.65335200,0.84661883
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-12 00:00:00.000000,0.00609984,0.02014680,0.04429037,24,82,181,9,34,83,0.00224721,0.00847265,0.02048959,0.45771271,0.65335344,0.84661680
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-13 00:00:00.000000,0.00729255,0.02324288,0.04898827,29,95,200,11,38,91,0.00272856,0.00938823,0.02237363,0.45771252,0.65335776,0.84660937
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-14 00:00:00.000000,0.00865023,0.02657278,0.05595111,35,108,229,13,44,103,0.00329949,0.01086859,0.02519814,0.45771206,0.65337062,0.84658005
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-15 00:00:00.000000,0.00973311,0.03011722,0.06414712,39,123,262,16,50,118,0.00395963,0.01238079,0.02899623,0.45771088,0.65340859,0.84646011
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-16 00:00:00.000000,0.01182712,0.03428195,0.07290247,48,140,298,19,57,135,0.00487723,0.01397086,0.03316044,0.45770707,0.65292049,0.84596102
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-17 00:00:00.000000,0.01370673,0.03857884,0.08280376,56,157,339,23,65,149,0.00578090,0.01597163,0.03657379,0.45769084,0.64957344,0.84388419
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-18 00:00:00.000000,0.01585416,0.04289448,0.09289058,64,175,380,28,74,165,0.00692111,0.01809230,0.04031102,0.45760310,0.64651924,0.83552983
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-19 00:00:00.000000,0.01772995,0.04740413,0.10218877,72,194,418,33,82,189,0.00822666,0.02022047,0.04627092,0.45707034,0.62366262,0.83951810
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-20 00:00:00.000000,0.01973398,0.05236504,0.11220350,80,214,459,39,92,215,0.00960155,0.02250810,0.05261556,0.44677018,0.59973677,0.77810498
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-21 00:00:00.000000,0.02244035,0.05744580,0.12156920,91,235,497,45,103,240,0.01116253,0.02529413,0.05878856,0.43334477,0.57878386,0.75781086
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-22 00:00:00.000000,0.02566454,0.06318721,0.13056124,105,258,534,51,115,265,0.01268268,0.02830057,0.06489470,0.40666665,0.56245244,0.75756299
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-23 00:00:00.000000,0.02943109,0.06942976,0.14100919,120,284,577,58,128,291,0.01422242,0.03142623,0.07109104,0.37753820,0.54907648,0.75693882
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-24 00:00:00.000000,0.03357289,0.07560235,0.15230741,137,309,623,65,143,316,0.01603675,0.03493392,0.07720505,0.36196475,0.53209712,0.75424152
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-25 00:00:00.000000,0.03818726,0.08154631,0.16438606,156,333,673,74,155,341,0.01809518,0.03797417,0.08342667,0.35598245,0.52380102,0.73396429
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-26 00:00:00.000000,0.04331993,0.08765903,0.17729531,177,358,725,83,170,367,0.02032638,0.04152331,0.08983370,0.35372711,0.51318635,0.73364166
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-27 00:00:00.000000,0.04898858,0.09466213,0.19091574,200,387,781,93,185,395,0.02276195,0.04519313,0.09656107,0.32725096,0.50461303,0.71856462
0,2407,CanadaQuebecOutaouais,Quebec,Outaouais,2021-01-25 13:04:28.125873,2020-03-28 00:00:00.000000,0.05423436,0.10211342,0.19934786,222,418,816,104,199,407,0.02542069,0.04875361,0.09961340,0.31092814,0.48482237,0.71279503
