FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-07-30 00:00:00.000000,0.00256636,0.00796202,0.01695422,2,7,16,0,3,8,0.00101874,0.00355115,0.00921436,0.40032753,0.52003348,0.83195158
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-07-31 00:00:00.000000,0.00366829,0.01130079,0.02254536,3,11,21,1,3,8,0.00106788,0.00382055,0.00867739,0.40032694,0.52003707,0.83194973
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-08-01 00:00:00.000000,0.00479458,0.01436011,0.02793947,4,14,27,1,4,8,0.00124590,0.00433279,0.00865467,0.40032555,0.52004547,0.83194422
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-08-02 00:00:00.000000,0.00597024,0.01656061,0.03390455,5,16,33,1,5,10,0.00162417,0.00525502,0.01042300,0.40032224,0.52006509,0.83192681
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-08-03 00:00:00.000000,0.00721949,0.01905087,0.04001203,7,18,39,2,6,12,0.00208308,0.00624440,0.01302114,0.40031437,0.52011089,0.83186943
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-08-04 00:00:00.000000,0.00855624,0.02159246,0.04468588,8,21,43,2,7,15,0.00260362,0.00756621,0.01550520,0.40029562,0.52021760,0.83167544
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-08-05 00:00:00.000000,0.00999279,0.02507361,0.05167359,9,24,50,3,8,18,0.00317870,0.00886083,0.01854366,0.40025110,0.52045909,0.83101053
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-08-06 00:00:00.000000,0.01170910,0.02917402,0.05666818,11,28,55,3,10,21,0.00380609,0.01026167,0.02212892,0.40014598,0.52059621,0.82872480
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-08-07 00:00:00.000000,0.01354875,0.03278493,0.06213039,13,31,60,4,11,25,0.00451820,0.01184030,0.02564818,0.39990118,0.52074557,0.82098427
0,4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2021-02-12 13:25:59.226578,2020-08-08 00:00:00.000000,0.01553472,0.03691276,0.06796962,15,35,66,5,13,28,0.00530844,0.01342979,0.02918521,0.39163040,0.51722893,0.79727334
