FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-07-30 00:00:00.000000,0.00199837,0.00489019,0.01066170,6,16,36,2,7,16,0.00062790,0.00217850,0.00472845,0.29805429,0.46183026,0.66067094
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-07-31 00:00:00.000000,0.00268172,0.00603256,0.01221916,9,20,42,2,8,18,0.00078369,0.00242342,0.00520905,0.29805429,0.46182962,0.66067080
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-01 00:00:00.000000,0.00355162,0.00746864,0.01442756,12,25,49,3,9,20,0.00106118,0.00288218,0.00595727,0.29805429,0.46182797,0.66067034
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-02 00:00:00.000000,0.00435733,0.00863154,0.01697544,15,29,58,4,11,24,0.00142194,0.00336005,0.00702909,0.29805432,0.46182306,0.66066882
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-03 00:00:00.000000,0.00506966,0.01001822,0.01949912,17,34,67,6,13,28,0.00179332,0.00394577,0.00811283,0.29805452,0.46180769,0.66066354
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-04 00:00:00.000000,0.00581634,0.01116803,0.02267129,20,38,78,7,15,31,0.00219091,0.00460444,0.00907257,0.29805554,0.46175902,0.66064453
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-05 00:00:00.000000,0.00659847,0.01247482,0.02585341,22,43,89,9,18,37,0.00261618,0.00532132,0.01084939,0.29806047,0.46160724,0.66057414
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-06 00:00:00.000000,0.00766264,0.01336151,0.02876279,26,46,99,10,20,45,0.00292173,0.00606032,0.01303379,0.29808343,0.46115343,0.66030833
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-07 00:00:00.000000,0.00820743,0.01485112,0.03125282,28,51,108,11,22,51,0.00321304,0.00658576,0.01477905,0.29697346,0.44950651,0.65929615
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-08 00:00:00.000000,0.00876897,0.01661248,0.03471745,30,57,120,12,24,56,0.00371539,0.00722342,0.01630610,0.29372754,0.44203434,0.65550746
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-09 00:00:00.000000,0.00935355,0.01837432,0.03792649,32,63,131,14,27,61,0.00418451,0.00792012,0.01773909,0.28512254,0.43611310,0.64295271
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-10 00:00:00.000000,0.01010352,0.01983005,0.04074650,34,68,140,15,30,66,0.00448165,0.00868861,0.01914397,0.28510860,0.42064787,0.62967026
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-11 00:00:00.000000,0.01073191,0.02121751,0.04505227,37,73,155,16,31,71,0.00484144,0.00918307,0.02055881,0.27429563,0.40451762,0.60568156
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-12 00:00:00.000000,0.01137622,0.02215352,0.04858967,39,76,168,17,33,76,0.00511861,0.00975692,0.02200072,0.22737815,0.39178388,0.58310723
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-13 00:00:00.000000,0.01242884,0.02350090,0.05069823,43,81,175,18,36,81,0.00540844,0.01061921,0.02346665,0.21247887,0.38431967,0.56806511
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-14 00:00:00.000000,0.01287178,0.02501500,0.05284951,44,86,182,19,40,86,0.00567289,0.01156474,0.02489745,0.20967712,0.38055632,0.54868420
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-15 00:00:00.000000,0.01333788,0.02626291,0.05495208,46,90,190,20,43,91,0.00593044,0.01264629,0.02642756,0.20762244,0.36651625,0.54119277
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-16 00:00:00.000000,0.01333192,0.02741663,0.05602195,46,94,193,21,47,98,0.00619626,0.01375967,0.02836479,0.19171148,0.35942607,0.53174646
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-17 00:00:00.000000,0.01361207,0.02988789,0.05710891,47,103,197,22,48,104,0.00646724,0.01413381,0.03006447,0.18477042,0.35321354,0.52314545
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-18 00:00:00.000000,0.01389505,0.03229347,0.06037106,48,111,208,23,51,106,0.00674629,0.01475583,0.03089041,0.18402021,0.34370862,0.51058065
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-19 00:00:00.000000,0.01421437,0.03409760,0.06174431,49,117,213,24,53,110,0.00703618,0.01542672,0.03181922,0.18321312,0.33443242,0.51160457
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-20 00:00:00.000000,0.01511947,0.03553313,0.06534996,52,122,226,24,56,117,0.00720744,0.01640491,0.03381668,0.18246549,0.32767149,0.52308926
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-21 00:00:00.000000,0.01607408,0.03644387,0.06966110,55,126,241,25,60,123,0.00743028,0.01741878,0.03558063,0.18369914,0.32699422,0.53707462
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-22 00:00:00.000000,0.01714251,0.03789954,0.07315083,59,131,253,25,63,126,0.00748100,0.01839414,0.03656466,0.18428500,0.32574723,0.53502330
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-23 00:00:00.000000,0.01838157,0.03960229,0.07438237,63,137,257,26,67,129,0.00752224,0.01953863,0.03745982,0.18761825,0.32837380,0.51896306
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-24 00:00:00.000000,0.01974130,0.04149410,0.07632223,68,143,264,27,70,136,0.00798709,0.02050271,0.03931400,0.19275477,0.33384207,0.52409399
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-25 00:00:00.000000,0.02055607,0.04230514,0.07914714,71,146,273,29,74,144,0.00851981,0.02159506,0.04166708,0.19991572,0.32516563,0.50579261
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-26 00:00:00.000000,0.02030792,0.04309649,0.08264719,70,149,285,31,78,151,0.00910807,0.02267038,0.04369835,0.20820163,0.31921589,0.49401158
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-27 00:00:00.000000,0.02040657,0.04417120,0.08595722,70,152,297,33,80,158,0.00974127,0.02338563,0.04568564,0.22105328,0.31885740,0.49397774
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-28 00:00:00.000000,0.02056919,0.04632063,0.08888372,71,160,307,37,82,166,0.01074066,0.02374846,0.04809984,0.22834801,0.32199181,0.49103056
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-29 00:00:00.000000,0.02080870,0.04876737,0.09161591,72,168,317,37,83,173,0.01095659,0.02402259,0.05007805,0.22898892,0.31812527,0.50818283
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-30 00:00:00.000000,0.02111843,0.04966465,0.09458283,73,171,327,38,86,179,0.01110518,0.02510376,0.05196500,0.22917543,0.31763823,0.50075424
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-08-31 00:00:00.000000,0.02149540,0.05038423,0.10010136,74,174,346,38,89,186,0.01121612,0.02590744,0.05392727,0.22846862,0.31617720,0.48864287
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-01 00:00:00.000000,0.02193119,0.05270843,0.10479158,75,182,362,39,91,193,0.01130669,0.02642083,0.05598041,0.22711525,0.31604420,0.47929572
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-02 00:00:00.000000,0.02241090,0.05411298,0.10988903,77,187,380,39,93,206,0.01138800,0.02702317,0.05978310,0.22433569,0.31670182,0.47588993
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-03 00:00:00.000000,0.02280523,0.05547939,0.11577745,78,191,400,40,96,218,0.01171990,0.02802015,0.06327739,0.22552438,0.31732855,0.47391276
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-04 00:00:00.000000,0.02313307,0.05638253,0.11946833,80,195,413,42,101,234,0.01224943,0.02934269,0.06776466,0.22529388,0.31803669,0.47321462
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-05 00:00:00.000000,0.02332256,0.05960984,0.12657842,80,206,437,43,107,245,0.01270920,0.03108452,0.07095967,0.22554224,0.32036357,0.48857911
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-06 00:00:00.000000,0.02377784,0.06277887,0.13241811,82,217,458,45,109,253,0.01314127,0.03156698,0.07333062,0.22127506,0.32120503,0.49933153
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-07 00:00:00.000000,0.02447185,0.06624144,0.13801750,84,229,477,46,112,261,0.01356553,0.03264339,0.07562943,0.21657187,0.32014899,0.52805956
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-08 00:00:00.000000,0.02491976,0.06787322,0.14309710,86,234,495,48,120,269,0.01399069,0.03484157,0.07790229,0.21650299,0.32143253,0.53304445
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-09 00:00:00.000000,0.02548387,0.06971982,0.14815440,88,241,512,49,126,277,0.01441998,0.03659142,0.08017020,0.22536302,0.32066179,0.48205674
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-10 00:00:00.000000,0.02713146,0.07182952,0.15198223,93,248,525,51,130,285,0.01485418,0.03776371,0.08244610,0.23712337,0.32335944,0.44871814
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-11 00:00:00.000000,0.02833010,0.07523038,0.15587119,98,260,539,53,135,294,0.01541036,0.03901639,0.08515545,0.23366042,0.32543660,0.44889160
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-12 00:00:00.000000,0.03046066,0.07873626,0.15968183,105,272,552,55,139,304,0.01603105,0.04033414,0.08810882,0.23279837,0.32764496,0.44858862
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-13 00:00:00.000000,0.03264174,0.08067380,0.16319957,112,279,564,57,144,315,0.01668717,0.04167847,0.09120200,0.23917809,0.32845307,0.44309373
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-14 00:00:00.000000,0.03488518,0.08267183,0.16611012,120,286,574,60,148,326,0.01736412,0.04294661,0.09436846,0.22231373,0.32238959,0.43974759
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-15 00:00:00.000000,0.03728593,0.08494504,0.16842785,129,293,582,62,151,337,0.01805586,0.04384329,0.09750522,0.22380406,0.32324715,0.44783216
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-16 00:00:00.000000,0.04004091,0.08807863,0.17046177,138,304,589,64,155,347,0.01876687,0.04501195,0.10051773,0.23578181,0.32556258,0.46481940
0,4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-08-23 03:57:45.818768,2020-09-17 00:00:00.000000,0.04213466,0.09211910,0.17686921,145,318,612,67,161,357,0.01952680,0.04677810,0.10334904,0.23478305,0.32732772,0.47610753
