FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-09 00:00:00.000000,0.00266724,0.01033072,0.02392727,7,30,70,3,15,37,0.00113306,0.00519351,0.01279137,0.36112095,0.49660373,0.66669647
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-10 00:00:00.000000,0.00370209,0.01121382,0.02491779,10,32,73,3,15,39,0.00136093,0.00531154,0.01346733,0.36112232,0.49660372,0.66669646
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-11 00:00:00.000000,0.00484523,0.01225673,0.02609497,14,36,76,5,17,41,0.00170842,0.00583406,0.01428859,0.36112643,0.49660369,0.66669642
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-12 00:00:00.000000,0.00575557,0.01334787,0.02740077,16,39,80,7,19,43,0.00238453,0.00653703,0.01474884,0.36113875,0.49660355,0.66669631
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-13 00:00:00.000000,0.00643970,0.01466122,0.02879787,18,43,84,8,20,45,0.00290660,0.00708645,0.01537657,0.36117564,0.49660281,0.66669563
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-14 00:00:00.000000,0.00714174,0.01610121,0.03026430,20,47,88,9,22,47,0.00340374,0.00766062,0.01610446,0.36128572,0.49659863,0.66668991
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-15 00:00:00.000000,0.00788234,0.01715476,0.03178223,23,50,93,11,23,49,0.00393465,0.00809020,0.01689809,0.36161193,0.49577348,0.66663412
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-16 00:00:00.000000,0.00979104,0.01848300,0.03284447,28,54,96,12,25,52,0.00434832,0.00877928,0.01773770,0.36255971,0.48520279,0.66504713
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-17 00:00:00.000000,0.01064916,0.01982524,0.03379779,31,58,99,15,27,54,0.00510672,0.00945897,0.01870122,0.35500201,0.48146401,0.62370884
0,0,CanadaVancouverIslandCentralVancouverIsland,Vancouver Island,Central Vancouver Island,2021-09-24 04:29:19.460153,2020-03-18 00:00:00.000000,0.01154003,0.02066055,0.03462372,33,60,101,16,29,57,0.00556350,0.01002638,0.01972746,0.35193578,0.47705703,0.58996586
