FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-09 00:00:00.000000,0.01100115,0.03327449,0.08190782,14,43,108,5,22,62,0.00425554,0.01693271,0.04726258,0.36911738,0.51767961,0.66182272
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-10 00:00:00.000000,0.01363673,0.03751245,0.08488433,18,49,112,6,22,58,0.00489039,0.01730460,0.04440257,0.36911738,0.51767045,0.66182278
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-11 00:00:00.000000,0.01731193,0.04151169,0.08677503,22,54,114,8,25,60,0.00662755,0.01924358,0.04583094,0.36911735,0.51765246,0.66182220
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-12 00:00:00.000000,0.01960263,0.04557597,0.08831020,25,60,116,11,27,62,0.00846983,0.02116448,0.04693705,0.36911727,0.51761712,0.66181761
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-13 00:00:00.000000,0.02303772,0.04887935,0.09011344,30,64,119,12,31,63,0.00977593,0.02368682,0.04793457,0.36911709,0.51754776,0.66179186
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-14 00:00:00.000000,0.02666012,0.05268100,0.09207952,35,69,121,15,34,64,0.01150514,0.02603076,0.04889728,0.36911686,0.51494706,0.66165447
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-15 00:00:00.000000,0.03033509,0.05691434,0.09419230,40,75,124,17,37,65,0.01346504,0.02843784,0.04985208,0.36911877,0.51223883,0.66058483
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-16 00:00:00.000000,0.03389425,0.06153525,0.09682797,44,81,127,20,41,67,0.01518165,0.03104973,0.05080370,0.36914464,0.50852015,0.64064047
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-17 00:00:00.000000,0.03606537,0.06463973,0.10343953,47,85,136,21,44,68,0.01632256,0.03367410,0.05206790,0.36937404,0.50487701,0.63974822
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-18 00:00:00.000000,0.03831055,0.06851664,0.10757778,50,90,142,24,46,72,0.01876369,0.03541522,0.05458569,0.36397875,0.49280451,0.60750142
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-19 00:00:00.000000,0.04063918,0.07224271,0.11397480,53,95,150,26,48,76,0.02017694,0.03677802,0.05822509,0.32015292,0.47284200,0.60709592
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-20 00:00:00.000000,0.04253791,0.07533972,0.11702452,56,99,154,27,51,79,0.02109847,0.03882354,0.06008425,0.29147791,0.45604251,0.60627313
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-21 00:00:00.000000,0.04428989,0.07769557,0.11831799,58,102,156,28,53,82,0.02183483,0.04047704,0.06233615,0.29059230,0.43646247,0.58645988
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-22 00:00:00.000000,0.04590165,0.08160439,0.11953738,60,107,157,29,55,86,0.02219239,0.04208628,0.06540566,0.27564100,0.41494501,0.57979854
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-23 00:00:00.000000,0.04767101,0.08481403,0.12428666,62,112,164,30,57,90,0.02342194,0.04385867,0.06829819,0.25713227,0.40022183,0.58479093
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-24 00:00:00.000000,0.04938252,0.08613850,0.13219386,65,113,174,32,60,94,0.02477059,0.04603353,0.07114301,0.25237272,0.39610856,0.56828223
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-25 00:00:00.000000,0.05100960,0.08949698,0.13675277,67,118,180,34,62,96,0.02578149,0.04749012,0.07305132,0.25000379,0.39319605,0.53720953
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-26 00:00:00.000000,0.05244455,0.09250959,0.13711640,69,122,181,35,64,98,0.02681286,0.04857774,0.07453244,0.24921391,0.38742581,0.53127596
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-27 00:00:00.000000,0.05357347,0.09387146,0.13624827,70,124,180,36,66,100,0.02781948,0.05000486,0.07604243,0.24859173,0.38196638,0.52953055
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-28 00:00:00.000000,0.05437774,0.09524932,0.13891291,71,125,183,37,67,102,0.02873225,0.05117930,0.07754037,0.24708022,0.37640490,0.50960495
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-29 00:00:00.000000,0.05494083,0.09778287,0.14062616,72,129,185,39,68,104,0.02954430,0.05164004,0.07921674,0.24461778,0.36941366,0.49683668
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-30 00:00:00.000000,0.05600223,0.09866463,0.14333577,73,130,189,38,69,106,0.02944246,0.05237471,0.08044725,0.24154700,0.36939372,0.48801954
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-03-31 00:00:00.000000,0.05491264,0.10095051,0.14601629,72,133,192,38,71,108,0.02896362,0.05374005,0.08228626,0.24077385,0.36308280,0.48249918
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-04-01 00:00:00.000000,0.05363642,0.10455431,0.14877662,70,138,196,37,72,109,0.02842089,0.05488395,0.08303367,0.23516636,0.36005462,0.48474405
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-04-02 00:00:00.000000,0.05280997,0.10706442,0.15138648,69,141,200,36,73,110,0.02779274,0.05572136,0.08363355,0.22781753,0.35602214,0.48544345
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-04-03 00:00:00.000000,0.05386591,0.10664016,0.15390590,71,140,203,35,75,112,0.02722701,0.05698008,0.08532062,0.22524337,0.34957303,0.46733492
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-04-04 00:00:00.000000,0.05492763,0.10934019,0.15636171,72,144,206,36,76,114,0.02777266,0.05781194,0.08666680,0.22557900,0.34071867,0.46619213
0,0,CanadaVancouverIslandNorthVancouverIsland,Vancouver Island,North Vancouver Island,2021-09-27 03:51:30.887663,2020-04-05 00:00:00.000000,0.05598777,0.10960396,0.15878228,73,144,209,37,76,115,0.02832259,0.05808858,0.08777576,0.22870608,0.33345625,0.46507664
