FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-09 00:00:00.000000,0.01150122,0.02384456,0.04504624,48,99,188,23,50,108,0.00553096,0.01217008,0.02598431,0.39189408,0.48697060,0.64627708
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-10 00:00:00.000000,0.01311658,0.02530006,0.04585362,54,105,191,24,52,101,0.00578143,0.01256507,0.02420114,0.39189406,0.48694960,0.64627326
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-11 00:00:00.000000,0.01443427,0.02650901,0.04699093,60,110,196,27,55,98,0.00660236,0.01335071,0.02361459,0.39189404,0.48691860,0.64625764
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-12 00:00:00.000000,0.01574042,0.02816097,0.04831444,65,117,201,30,57,98,0.00731825,0.01383730,0.02366741,0.39189398,0.48687277,0.64618944
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-13 00:00:00.000000,0.01618197,0.02985734,0.04895847,67,124,204,33,59,100,0.00801926,0.01433018,0.02406073,0.39189385,0.48679900,0.64588270
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-14 00:00:00.000000,0.01793789,0.03189471,0.04926585,74,133,205,36,63,101,0.00872155,0.01518342,0.02443096,0.39189345,0.48561721,0.64448940
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-15 00:00:00.000000,0.01937659,0.03378225,0.05183684,80,141,216,38,67,105,0.00927959,0.01622333,0.02535508,0.39189179,0.48100734,0.64244273
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-16 00:00:00.000000,0.01986899,0.03573622,0.05431645,82,149,226,40,72,109,0.00965161,0.01731493,0.02612345,0.39188274,0.46950325,0.64144749
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-17 00:00:00.000000,0.02036021,0.03755735,0.05675049,84,156,236,41,76,112,0.00993896,0.01821400,0.02705541,0.35227404,0.46088965,0.63932431
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-18 00:00:00.000000,0.02081309,0.03931428,0.05855878,86,164,244,42,80,118,0.01018706,0.01932651,0.02844417,0.32460268,0.44874286,0.63459932
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-19 00:00:00.000000,0.02123252,0.04038919,0.06146245,88,168,256,43,84,124,0.01041934,0.02032807,0.02985900,0.27241338,0.42238295,0.61395185
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-20 00:00:00.000000,0.02200331,0.04163789,0.06220711,91,173,259,44,89,130,0.01063442,0.02152967,0.03125149,0.25764280,0.40504495,0.57848127
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-21 00:00:00.000000,0.02190877,0.04157498,0.06270687,91,173,261,45,91,132,0.01083090,0.02184308,0.03184135,0.22632744,0.36546446,0.56362698
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-22 00:00:00.000000,0.02211766,0.04116999,0.06255925,92,171,261,45,93,136,0.01099450,0.02248136,0.03263067,0.22001355,0.33039806,0.52705253
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-23 00:00:00.000000,0.02195205,0.04125254,0.06181813,91,172,258,46,92,141,0.01111943,0.02214574,0.03400030,0.21842936,0.31243420,0.48752670
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-24 00:00:00.000000,0.02170614,0.04114860,0.06135499,90,171,256,46,92,143,0.01106810,0.02207695,0.03429773,0.20327132,0.29900236,0.42846494
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-25 00:00:00.000000,0.02151424,0.04047706,0.06275574,89,168,261,45,92,142,0.01090911,0.02206620,0.03416402,0.18662414,0.28676865,0.40366694
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-26 00:00:00.000000,0.02169056,0.03990511,0.06121756,90,166,255,45,93,140,0.01088253,0.02247130,0.03365335,0.16360922,0.26948648,0.36582629
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-27 00:00:00.000000,0.02121316,0.03963069,0.06040092,88,165,252,45,93,136,0.01093259,0.02248015,0.03273282,0.14858977,0.25354056,0.34114302
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-28 00:00:00.000000,0.02057703,0.03834027,0.05987285,85,160,249,44,92,133,0.01071672,0.02204009,0.03201108,0.14583669,0.24333870,0.32899161
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-29 00:00:00.000000,0.01975444,0.03741223,0.05876941,82,156,245,43,88,131,0.01043564,0.02130092,0.03145434,0.14552129,0.22880754,0.31360844
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-30 00:00:00.000000,0.01884779,0.03627758,0.05525014,78,151,230,42,86,125,0.01007081,0.02082629,0.03000929,0.14579690,0.21770224,0.30149232
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-03-31 00:00:00.000000,0.01821681,0.03498747,0.05157529,76,146,215,40,84,119,0.00965637,0.02021167,0.02870838,0.14316247,0.21186962,0.29158807
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-01 00:00:00.000000,0.01756970,0.03320739,0.04980045,73,138,207,39,80,116,0.00935053,0.01924030,0.02795342,0.13050741,0.20123134,0.28047500
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-02 00:00:00.000000,0.01692995,0.03158578,0.04806478,70,131,200,37,75,112,0.00903038,0.01819879,0.02699031,0.12289756,0.19296710,0.27204354
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-03 00:00:00.000000,0.01631071,0.02964315,0.04637561,68,123,193,36,72,108,0.00870787,0.01739328,0.02588537,0.11498640,0.18910657,0.25516018
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-04 00:00:00.000000,0.01538756,0.02806606,0.04474123,64,117,186,35,68,103,0.00839186,0.01632912,0.02469989,0.11308227,0.18578125,0.26661584
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-05 00:00:00.000000,0.01407556,0.02676535,0.04311957,58,111,180,33,64,99,0.00808743,0.01538133,0.02390806,0.11250291,0.18065571,0.27716019
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-06 00:00:00.000000,0.01296977,0.02537502,0.04132113,54,105,172,31,60,97,0.00759550,0.01455742,0.02342956,0.10468698,0.17789794,0.26195031
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-07 00:00:00.000000,0.01194816,0.02366856,0.03881369,49,98,162,29,57,95,0.00697988,0.01381463,0.02293516,0.09856713,0.17370760,0.24503632
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-08 00:00:00.000000,0.01102198,0.02230573,0.03643902,46,93,152,26,55,92,0.00642349,0.01326656,0.02213819,0.09652092,0.16991197,0.24104048
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-09 00:00:00.000000,0.01018816,0.02091700,0.03419104,42,87,142,24,52,86,0.00591938,0.01261901,0.02079654,0.09654683,0.16704748,0.24267397
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-10 00:00:00.000000,0.00944079,0.01994076,0.03230032,39,83,134,22,48,81,0.00546364,0.01170743,0.01952530,0.09996252,0.16529829,0.25322777
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-11 00:00:00.000000,0.00877030,0.01877891,0.03052908,36,78,127,21,45,76,0.00505286,0.01087326,0.01832582,0.09604311,0.16269932,0.24761647
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-12 00:00:00.000000,0.00816878,0.01752049,0.02890059,34,73,120,19,42,72,0.00471311,0.01026635,0.01725636,0.09166945,0.16009964,0.25092128
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-13 00:00:00.000000,0.00753637,0.01639207,0.02693943,31,68,112,18,40,69,0.00444473,0.00966992,0.01657633,0.09037517,0.15744769,0.25126804
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-14 00:00:00.000000,0.00698778,0.01521898,0.02504364,29,63,104,17,37,65,0.00415627,0.00898011,0.01579896,0.08830355,0.15538419,0.25119548
0,0,CanadaVancouverIslandSouthVancouverIsland,Vancouver Island,South Vancouver Island,2021-10-05 04:56:28.690491,2020-04-15 00:00:00.000000,0.00646602,0.01379289,0.02331588,26,57,97,16,34,62,0.00386660,0.00824700,0.01496548,0.08699001,0.15479056,0.25294503
