FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-09 00:00:00.000000,0.00000580,0.00001579,0.00002967,2,6,11,0,2,5,0.00000113,0.00000531,0.00001372,0.41938848,0.57186870,0.79998040
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-10 00:00:00.000000,0.00000824,0.00002045,0.00004001,3,8,15,1,4,8,0.00000334,0.00001017,0.00002242,0.41938742,0.57173080,0.79998021
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-11 00:00:00.000000,0.00001132,0.00002761,0.00005980,4,10,23,2,5,11,0.00000514,0.00001441,0.00002978,0.41938527,0.57152972,0.79997974
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-12 00:00:00.000000,0.00001456,0.00003546,0.00007964,5,13,31,2,7,15,0.00000708,0.00001920,0.00003934,0.41938090,0.57123701,0.79997839
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-13 00:00:00.000000,0.00001760,0.00004227,0.00009649,6,16,38,3,9,20,0.00000916,0.00002365,0.00005187,0.41937200,0.57081198,0.79997420
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-14 00:00:00.000000,0.00002168,0.00005013,0.00011410,8,19,44,4,11,25,0.00001150,0.00002860,0.00006473,0.41935392,0.56802113,0.79996033
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-15 00:00:00.000000,0.00002551,0.00005940,0.00013254,10,23,52,5,13,30,0.00001407,0.00003377,0.00007791,0.41934186,0.56713635,0.79991258
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-16 00:00:00.000000,0.00004846,0.00008096,0.00014644,19,31,57,6,15,36,0.00001638,0.00004014,0.00009141,0.40973555,0.56430592,0.79974290
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-17 00:00:00.000000,0.00006472,0.00010120,0.00016681,25,39,65,12,21,40,0.00003108,0.00005493,0.00010197,0.38381323,0.56080972,0.79912254
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-18 00:00:00.000000,0.00008552,0.00012695,0.00021219,33,50,83,19,27,46,0.00004821,0.00007077,0.00011874,0.37706718,0.54979574,0.79678891
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-19 00:00:00.000000,0.00010439,0.00015529,0.00023558,41,61,92,24,34,52,0.00006301,0.00008876,0.00013324,0.37515616,0.54580555,0.76439201
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-20 00:00:00.000000,0.00012692,0.00018469,0.00027203,50,72,107,30,42,61,0.00007693,0.00010768,0.00015545,0.33863974,0.52954297,0.72793013
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-21 00:00:00.000000,0.00014819,0.00021424,0.00030524,58,84,120,35,49,71,0.00008997,0.00012661,0.00018171,0.32680040,0.50924889,0.69640188
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-22 00:00:00.000000,0.00016934,0.00023869,0.00033794,66,94,133,41,58,81,0.00010421,0.00014735,0.00020706,0.31605118,0.48685692,0.65181079
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-23 00:00:00.000000,0.00018530,0.00025502,0.00034735,73,100,136,46,66,87,0.00011858,0.00016821,0.00022231,0.29969365,0.44286566,0.63708301
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-24 00:00:00.000000,0.00019994,0.00026740,0.00036057,78,105,142,51,69,93,0.00013059,0.00017535,0.00023818,0.27976437,0.38310808,0.56941169
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-25 00:00:00.000000,0.00021002,0.00027061,0.00037210,82,106,146,55,70,96,0.00014201,0.00017993,0.00024546,0.24510727,0.33674718,0.53630992
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-26 00:00:00.000000,0.00021614,0.00027324,0.00037136,85,107,146,56,71,98,0.00014361,0.00018269,0.00025068,0.21543676,0.30043996,0.46201454
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-27 00:00:00.000000,0.00021135,0.00027750,0.00038551,83,109,151,56,73,102,0.00014237,0.00018665,0.00025922,0.18661314,0.28219279,0.43989775
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-28 00:00:00.000000,0.00020786,0.00027358,0.00040170,81,107,158,56,74,108,0.00014264,0.00018921,0.00027611,0.16265338,0.25499317,0.37191714
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-29 00:00:00.000000,0.00020357,0.00026765,0.00040354,80,105,159,56,73,111,0.00014224,0.00018554,0.00028280,0.15779444,0.23313663,0.32459190
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-30 00:00:00.000000,0.00019538,0.00025108,0.00039196,76,98,154,52,69,109,0.00013394,0.00017624,0.00027866,0.15664642,0.21670007,0.29336717
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-03-31 00:00:00.000000,0.00018146,0.00023616,0.00036523,71,93,143,49,66,105,0.00012498,0.00016755,0.00026719,0.14943253,0.20693317,0.27401948
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-01 00:00:00.000000,0.00016812,0.00022111,0.00032737,66,87,129,45,62,94,0.00011556,0.00015826,0.00024080,0.13977898,0.19857282,0.26441235
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-02 00:00:00.000000,0.00015489,0.00020892,0.00030458,61,82,120,42,58,87,0.00010731,0.00014853,0.00022092,0.13099855,0.18764393,0.26027531
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-03 00:00:00.000000,0.00014375,0.00019605,0.00029449,56,77,116,38,54,84,0.00009875,0.00013871,0.00021430,0.11709649,0.17820712,0.25282924
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-04 00:00:00.000000,0.00012904,0.00018291,0.00028235,50,72,111,35,50,79,0.00008973,0.00012905,0.00020137,0.11082087,0.17095293,0.24113318
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-05 00:00:00.000000,0.00011638,0.00016950,0.00026340,45,66,103,31,47,75,0.00007978,0.00011986,0.00019042,0.10727035,0.16395215,0.22272737
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-06 00:00:00.000000,0.00010594,0.00015851,0.00024710,41,62,97,28,44,71,0.00007246,0.00011383,0.00018116,0.10570722,0.15643542,0.21460867
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-07 00:00:00.000000,0.00009744,0.00014657,0.00023044,38,57,90,25,41,66,0.00006562,0.00010575,0.00016922,0.10268057,0.14629089,0.19783891
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-08 00:00:00.000000,0.00009033,0.00013468,0.00021619,35,53,85,23,38,62,0.00006064,0.00009700,0.00015933,0.10013774,0.14257956,0.19316223
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-09 00:00:00.000000,0.00008235,0.00012438,0.00020256,32,49,79,21,35,57,0.00005571,0.00008903,0.00014678,0.09908790,0.13929502,0.18389398
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-10 00:00:00.000000,0.00007404,0.00011511,0.00018929,29,45,74,19,32,53,0.00004995,0.00008235,0.00013531,0.09732937,0.13439896,0.17896134
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-11 00:00:00.000000,0.00006674,0.00010701,0.00017677,26,42,69,17,29,49,0.00004493,0.00007609,0.00012481,0.09051732,0.12987454,0.17795089
0,0,ChinaFujian,Fujian,,2021-12-08 08:11:29.190695,2020-04-12 00:00:00.000000,0.00005997,0.00009899,0.00016506,23,39,65,15,27,45,0.00004052,0.00006984,0.00011651,0.08442360,0.12581927,0.17669519
