FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-09 00:00:00.000000,0.00000057,0.00000426,0.00001448,0,2,9,0,1,6,0.00000027,0.00000226,0.00000875,0.34563707,0.50395723,0.70975419
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-10 00:00:00.000000,0.00000057,0.00000446,0.00001408,0,3,9,0,1,6,0.00000030,0.00000241,0.00000881,0.34563628,0.50395175,0.70926910
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-11 00:00:00.000000,0.00000061,0.00000458,0.00001410,0,3,9,0,1,6,0.00000033,0.00000260,0.00000884,0.34563470,0.50393769,0.70842920
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-12 00:00:00.000000,0.00000063,0.00000479,0.00001416,0,3,9,0,1,6,0.00000036,0.00000282,0.00000882,0.34563107,0.50390139,0.70697452
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-13 00:00:00.000000,0.00000066,0.00000502,0.00001420,0,3,9,0,2,6,0.00000038,0.00000297,0.00000886,0.34562161,0.50380729,0.70445169
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-14 00:00:00.000000,0.00000069,0.00000516,0.00001421,0,3,9,0,2,6,0.00000040,0.00000306,0.00000893,0.34559459,0.50356312,0.70009239
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-15 00:00:00.000000,0.00000071,0.00000532,0.00001416,0,3,9,0,2,6,0.00000042,0.00000325,0.00000897,0.34551278,0.50291978,0.69305747
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-16 00:00:00.000000,0.00000184,0.00000688,0.00001667,1,4,11,0,2,6,0.00000044,0.00000331,0.00000895,0.34525721,0.49640209,0.68682737
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-17 00:00:00.000000,0.00000279,0.00000827,0.00001904,1,5,13,0,2,7,0.00000109,0.00000434,0.00001056,0.33989020,0.47821563,0.68682728
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-18 00:00:00.000000,0.00000375,0.00000985,0.00002138,2,6,14,1,3,8,0.00000177,0.00000522,0.00001229,0.33421243,0.46946651,0.68682584
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-19 00:00:00.000000,0.00000458,0.00001163,0.00002402,3,8,16,1,4,9,0.00000235,0.00000609,0.00001373,0.31429618,0.44831468,0.68679862
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-20 00:00:00.000000,0.00000551,0.00001327,0.00002632,3,9,18,2,4,10,0.00000297,0.00000718,0.00001545,0.29813043,0.43119675,0.68627156
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-21 00:00:00.000000,0.00000628,0.00001481,0.00002907,4,10,20,2,5,11,0.00000344,0.00000835,0.00001736,0.27852753,0.40452583,0.59402198
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-22 00:00:00.000000,0.00000710,0.00001634,0.00003140,4,11,21,2,6,13,0.00000391,0.00000925,0.00001926,0.25706126,0.38314120,0.55901933
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-23 00:00:00.000000,0.00000837,0.00001733,0.00003254,5,11,22,3,6,14,0.00000440,0.00001001,0.00002075,0.24973166,0.37056398,0.49815148
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-24 00:00:00.000000,0.00000949,0.00001871,0.00003329,6,12,22,3,7,14,0.00000522,0.00001092,0.00002070,0.24796889,0.36550345,0.47699638
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-25 00:00:00.000000,0.00001072,0.00002011,0.00003505,7,13,24,4,8,15,0.00000591,0.00001187,0.00002222,0.23953591,0.35341446,0.47262478
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-26 00:00:00.000000,0.00001195,0.00002150,0.00003659,8,14,25,4,8,15,0.00000668,0.00001257,0.00002257,0.21747615,0.34305879,0.44976012
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-27 00:00:00.000000,0.00001307,0.00002282,0.00003893,9,15,26,5,9,15,0.00000744,0.00001353,0.00002315,0.21047787,0.33285702,0.44403962
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-28 00:00:00.000000,0.00001335,0.00002390,0.00004145,9,16,28,5,9,16,0.00000799,0.00001429,0.00002396,0.20826830,0.31274549,0.43895122
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-29 00:00:00.000000,0.00001337,0.00002443,0.00004322,9,16,29,5,10,17,0.00000831,0.00001486,0.00002583,0.20141156,0.29964145,0.43580625
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-30 00:00:00.000000,0.00001311,0.00002335,0.00004294,9,16,29,5,10,18,0.00000832,0.00001527,0.00002648,0.20148689,0.28858496,0.43138445
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-03-31 00:00:00.000000,0.00001305,0.00002174,0.00004239,9,15,29,5,10,18,0.00000804,0.00001504,0.00002671,0.19874421,0.28430202,0.42642418
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-01 00:00:00.000000,0.00001291,0.00002110,0.00004105,8,14,28,5,9,18,0.00000800,0.00001401,0.00002633,0.19281697,0.27865989,0.42858109
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-02 00:00:00.000000,0.00001274,0.00002054,0.00003915,8,14,27,5,9,17,0.00000791,0.00001342,0.00002554,0.18869302,0.27410505,0.41427819
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-03 00:00:00.000000,0.00001205,0.00001935,0.00003688,8,13,25,5,8,16,0.00000777,0.00001300,0.00002452,0.18455376,0.27407737,0.40548421
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-04 00:00:00.000000,0.00001091,0.00001854,0.00003471,7,12,23,5,8,16,0.00000726,0.00001214,0.00002324,0.17838985,0.26896884,0.39203997
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-05 00:00:00.000000,0.00000973,0.00001750,0.00003271,6,12,22,4,8,15,0.00000662,0.00001163,0.00002181,0.17235051,0.25625972,0.38008518
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-06 00:00:00.000000,0.00000867,0.00001662,0.00003183,5,11,21,4,7,14,0.00000590,0.00001114,0.00002065,0.16760307,0.25129038,0.37405044
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-07 00:00:00.000000,0.00000772,0.00001589,0.00003098,5,10,21,3,7,13,0.00000526,0.00001063,0.00002010,0.16194327,0.24896425,0.37409541
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-08 00:00:00.000000,0.00000688,0.00001495,0.00003014,4,10,20,3,6,13,0.00000468,0.00001000,0.00001956,0.16322206,0.24526624,0.36783698
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-09 00:00:00.000000,0.00000613,0.00001413,0.00002929,4,9,20,2,6,13,0.00000417,0.00000942,0.00001903,0.16158314,0.24154692,0.36674142
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-10 00:00:00.000000,0.00000547,0.00001324,0.00002842,3,9,19,2,6,12,0.00000372,0.00000887,0.00001849,0.15810936,0.23944326,0.36492534
0,0,ChinaHunan,Hunan,,2021-09-15 12:48:07.145169,2020-04-11 00:00:00.000000,0.00000488,0.00001218,0.00002749,3,8,18,2,5,12,0.00000332,0.00000847,0.00001794,0.15246049,0.23947602,0.36180755
