FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-09 00:00:00.000000,0.00000341,0.00001097,0.00002105,1,4,8,0,1,3,0.00000103,0.00000336,0.00000936,0.48273273,0.62640210,0.88604390
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-10 00:00:00.000000,0.00000459,0.00001510,0.00002920,1,5,11,0,1,3,0.00000136,0.00000442,0.00000972,0.48273274,0.62640173,0.88589368
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-11 00:00:00.000000,0.00000612,0.00001963,0.00003975,2,7,15,0,2,4,0.00000194,0.00000645,0.00001171,0.48273279,0.62640020,0.88548649
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-12 00:00:00.000000,0.00000779,0.00002410,0.00005119,3,9,19,1,3,6,0.00000268,0.00000861,0.00001659,0.48273299,0.62639390,0.88438620
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-13 00:00:00.000000,0.00000965,0.00002854,0.00006376,3,11,24,1,4,8,0.00000353,0.00001112,0.00002244,0.48273368,0.62636809,0.88143804
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-14 00:00:00.000000,0.00001207,0.00003369,0.00007725,4,13,29,1,5,11,0.00000447,0.00001348,0.00002906,0.48273603,0.62631109,0.87766394
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-15 00:00:00.000000,0.00001478,0.00004008,0.00008866,5,15,34,2,6,14,0.00000549,0.00001583,0.00003639,0.48274373,0.62630182,0.87763808
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-16 00:00:00.000000,0.00001734,0.00004723,0.00010491,6,18,40,2,7,16,0.00000660,0.00001869,0.00004312,0.48276741,0.62626886,0.87758370
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-17 00:00:00.000000,0.00002025,0.00005418,0.00011943,7,20,46,2,8,19,0.00000774,0.00002209,0.00005028,0.48282885,0.62575555,0.87746650
0,0,ChinaShaanxi,Shaanxi,,2021-02-17 01:07:22.860934,2020-03-18 00:00:00.000000,0.00002341,0.00006473,0.00013932,9,25,53,3,10,23,0.00000894,0.00002655,0.00005986,0.48463302,0.62543358,0.87720016
