FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-09 00:00:00.000000,0.00363255,0.02317007,0.06884971,0,1,3,0,0,2,0.00228383,0.01222737,0.03787565,0.34604089,0.46181890,0.63704377
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-10 00:00:00.000000,0.00383986,0.02403472,0.06786062,0,1,3,0,0,2,0.00232900,0.01189103,0.03479725,0.34604049,0.46160730,0.63704146
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-11 00:00:00.000000,0.00422032,0.02489347,0.06937148,0,1,4,0,0,2,0.00247909,0.01245764,0.03711824,0.34603967,0.46128373,0.63703402
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-12 00:00:00.000000,0.00465530,0.02573520,0.07223437,0,1,4,0,0,2,0.00268548,0.01348814,0.04017599,0.34603795,0.46079053,0.63700998
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-13 00:00:00.000000,0.00513120,0.02715953,0.07590154,0,1,4,0,0,2,0.00293052,0.01447176,0.04335429,0.34603430,0.45860253,0.63693241
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-14 00:00:00.000000,0.00565165,0.02821705,0.08011603,0,1,4,0,0,2,0.00320863,0.01511407,0.04663795,0.34602647,0.45310431,0.63668228
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-15 00:00:00.000000,0.00622139,0.02959557,0.08476873,0,1,4,0,0,2,0.00351905,0.01593221,0.04976513,0.33915264,0.44992409,0.63587768
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-16 00:00:00.000000,0.00684566,0.03105765,0.08882128,0,1,5,0,0,2,0.00386309,0.01680593,0.04988393,0.33670549,0.44781959,0.63330960
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-17 00:00:00.000000,0.00736215,0.03335662,0.09384846,0,1,5,0,1,3,0.00424306,0.01826171,0.05253699,0.30945266,0.43894054,0.62531364
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-18 00:00:00.000000,0.00746403,0.03466168,0.09908657,0,2,5,0,1,3,0.00436632,0.01976829,0.05565722,0.27077116,0.42352128,0.60222613
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-19 00:00:00.000000,0.00756781,0.03559425,0.10303094,0,2,5,0,1,3,0.00445281,0.02092958,0.05889005,0.25057689,0.40390664,0.54793700
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-20 00:00:00.000000,0.00766804,0.03635780,0.10590277,0,2,6,0,1,3,0.00453378,0.02233866,0.06219455,0.24251503,0.38431855,0.54014231
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-21 00:00:00.000000,0.00775566,0.03714379,0.10804667,0,2,6,0,1,3,0.00460863,0.02323706,0.06547491,0.23962135,0.36343088,0.52101378
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-22 00:00:00.000000,0.00782177,0.03811964,0.10971959,0,2,6,0,1,3,0.00467452,0.02381022,0.06855652,0.23153451,0.34059427,0.51265563
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-23 00:00:00.000000,0.01700349,0.05028526,0.12016213,0,2,6,0,1,4,0.00472744,0.02394807,0.07121447,0.21439457,0.32833444,0.50524621
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-24 00:00:00.000000,0.02259884,0.06450846,0.13171708,1,3,7,0,1,4,0.00934229,0.02779753,0.07493022,0.20439528,0.31580412,0.47233307
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-25 00:00:00.000000,0.02940297,0.07762046,0.14457678,1,4,8,0,2,4,0.01222387,0.03600738,0.08054047,0.18900369,0.30964564,0.43226899
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-26 00:00:00.000000,0.03492545,0.09121310,0.16573493,2,5,9,0,2,5,0.01556218,0.04361681,0.09026068,0.17535801,0.29282384,0.42001817
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-27 00:00:00.000000,0.04122600,0.10504184,0.18822661,2,6,10,1,2,5,0.01929921,0.05100967,0.09721342,0.16548629,0.27586914,0.38285463
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-28 00:00:00.000000,0.04756918,0.11643481,0.20378999,2,6,11,1,3,6,0.02314148,0.05846013,0.11086229,0.15120479,0.25710372,0.36741820
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-29 00:00:00.000000,0.05402979,0.12757725,0.21764018,3,7,12,1,3,7,0.02711066,0.06513100,0.12166677,0.14379981,0.23973958,0.35049172
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-30 00:00:00.000000,0.06545799,0.14108388,0.22279296,3,8,12,1,4,7,0.03120416,0.07176395,0.13176878,0.14133220,0.22667936,0.34275120
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-03-31 00:00:00.000000,0.07520443,0.15099412,0.23741309,4,8,13,2,4,8,0.03688679,0.07882326,0.13977871,0.13738398,0.21769734,0.32957489
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-01 00:00:00.000000,0.08249630,0.16463140,0.25382729,4,9,14,2,5,8,0.04292918,0.08742951,0.14707658,0.13459230,0.20704480,0.32942409
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-02 00:00:00.000000,0.09081989,0.17711651,0.27227708,5,10,15,2,5,9,0.04997942,0.09570640,0.16169700,0.13150841,0.20128384,0.32909387
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-03 00:00:00.000000,0.09839263,0.18647325,0.28961031,5,10,16,3,5,9,0.05616260,0.10327178,0.16699186,0.12840928,0.19169950,0.31927513
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-04 00:00:00.000000,0.10460094,0.19411733,0.31160212,6,11,18,3,6,9,0.06044975,0.11031340,0.17064175,0.11827104,0.18239577,0.30221541
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-05 00:00:00.000000,0.11021651,0.19844776,0.33749693,6,11,19,3,6,10,0.06325281,0.11619064,0.18012918,0.10926467,0.17700792,0.27974626
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-06 00:00:00.000000,0.10483586,0.19265445,0.33424815,6,11,19,3,7,11,0.06578647,0.12094661,0.19617009,0.10340611,0.16825277,0.26160187
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-07 00:00:00.000000,0.10273621,0.18716483,0.32173849,5,10,18,3,6,11,0.06749457,0.12057407,0.20237592,0.09982390,0.16500014,0.25536793
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-08 00:00:00.000000,0.09867801,0.17486094,0.30624926,5,10,17,3,6,11,0.06693770,0.11669314,0.20322265,0.09755042,0.16442382,0.25408363
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-09 00:00:00.000000,0.09110968,0.16660005,0.28930986,5,9,16,3,6,11,0.06412313,0.11124212,0.20138669,0.09584866,0.15775491,0.25214803
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-10 00:00:00.000000,0.08889612,0.15638622,0.27168535,5,9,15,3,6,11,0.06037633,0.10835929,0.19826014,0.09205906,0.15223203,0.24326249
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-11 00:00:00.000000,0.08454245,0.14663165,0.25434448,4,8,14,3,6,11,0.05627479,0.10370987,0.19271455,0.08385056,0.15338922,0.24214358
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-12 00:00:00.000000,0.07515259,0.13925900,0.24111481,4,8,13,2,5,10,0.05058849,0.09936759,0.18196974,0.08032283,0.14991921,0.24578957
0,0,FranceSaintPierreandMiquelon,Saint Pierre and Miquelon,,2021-10-15 08:24:07.542502,2020-04-13 00:00:00.000000,0.06663151,0.13075057,0.23534841,3,7,13,2,5,9,0.04521774,0.09211451,0.17129026,0.07984382,0.14166392,0.23939103
