FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-09 00:00:00.000000,0.00007877,0.00030201,0.00095986,215,826,2625,115,331,754,0.00004227,0.00012124,0.00027569,0.70379114,0.90018760,1.20928928
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-10 00:00:00.000000,0.00009110,0.00030507,0.00100406,249,834,2746,134,317,792,0.00004934,0.00011593,0.00028960,0.70379822,0.90018906,1.20926173
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-11 00:00:00.000000,0.00010180,0.00032319,0.00105559,278,884,2887,152,318,834,0.00005585,0.00011661,0.00030527,0.70381449,0.90019141,1.20921820
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-12 00:00:00.000000,0.00011113,0.00034446,0.00110617,303,942,3025,166,334,879,0.00006090,0.00012220,0.00032167,0.70385176,0.90019511,1.20914944
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-13 00:00:00.000000,0.00011913,0.00036763,0.00114872,325,1005,3142,178,353,929,0.00006541,0.00012914,0.00033982,0.70393645,0.90020042,1.20904092
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-14 00:00:00.000000,0.00012733,0.00039088,0.00119231,348,1069,3261,190,367,983,0.00006958,0.00013429,0.00035956,0.71025860,0.90020585,1.20886989
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-15 00:00:00.000000,0.00013731,0.00041258,0.00125685,375,1128,3437,205,383,1041,0.00007507,0.00014016,0.00038082,0.72567472,0.90020095,1.20860147
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-16 00:00:00.000000,0.00014851,0.00043661,0.00133413,406,1194,3649,221,398,1103,0.00008084,0.00014576,0.00040358,0.72969439,0.90013530,1.20819207
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-17 00:00:00.000000,0.00016035,0.00046157,0.00141638,438,1262,3874,239,418,1169,0.00008757,0.00015307,0.00042774,0.74125973,0.89979109,1.20778049
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-18 00:00:00.000000,0.00016187,0.00048785,0.00150379,442,1334,4113,249,443,1240,0.00009133,0.00016224,0.00045340,0.74293221,0.90092544,1.21135243
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-19 00:00:00.000000,0.00016903,0.00050743,0.00159666,462,1387,4367,252,474,1314,0.00009230,0.00017356,0.00048066,0.74342522,0.90602223,1.21532446
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-20 00:00:00.000000,0.00018121,0.00052742,0.00169529,495,1442,4637,270,503,1393,0.00009891,0.00018410,0.00050959,0.74575905,0.92837162,1.22102320
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-21 00:00:00.000000,0.00019425,0.00054871,0.00180003,531,1500,4923,290,531,1477,0.00010604,0.00019421,0.00054029,0.75759102,0.93012926,1.25608978
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-22 00:00:00.000000,0.00020822,0.00057156,0.00191123,569,1563,5227,310,571,1566,0.00011367,0.00020896,0.00057285,0.77679874,0.93225568,1.26427439
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-23 00:00:00.000000,0.00022447,0.00059331,0.00202867,613,1622,5548,333,614,1661,0.00012183,0.00022467,0.00060738,0.78814793,0.92037079,1.31080565
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-24 00:00:00.000000,0.00024177,0.00061609,0.00213318,661,1685,5834,360,656,1761,0.00013178,0.00023999,0.00064395,0.78475065,0.91449325,1.33594472
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-25 00:00:00.000000,0.00026077,0.00063939,0.00222144,713,1748,6076,388,689,1858,0.00014197,0.00025193,0.00067959,0.79000310,0.91806994,1.36482839
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-26 00:00:00.000000,0.00028093,0.00066321,0.00231525,768,1814,6332,418,727,1975,0.00015305,0.00026614,0.00072212,0.77222716,0.91890400,1.36748264
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-27 00:00:00.000000,0.00030257,0.00068817,0.00245957,827,1882,6727,450,779,2068,0.00016485,0.00028493,0.00075639,0.76839659,0.91766340,1.38322505
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-28 00:00:00.000000,0.00032572,0.00071471,0.00258541,890,1954,7071,485,835,2146,0.00017750,0.00030545,0.00078472,0.71662047,0.90518447,1.41994940
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-29 00:00:00.000000,0.00035025,0.00075173,0.00270796,958,2056,7406,522,895,2241,0.00019103,0.00032747,0.00081942,0.66984285,0.90190150,1.48304846
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-30 00:00:00.000000,0.00037801,0.00079426,0.00285515,1033,2172,7809,552,962,2361,0.00020207,0.00035173,0.00086330,0.65115248,0.89636626,1.54550593
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-03-31 00:00:00.000000,0.00039752,0.00083668,0.00301595,1087,2288,8249,581,1033,2481,0.00021241,0.00037780,0.00090715,0.64452785,0.89683026,1.59227606
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-01 00:00:00.000000,0.00042052,0.00087444,0.00317773,1150,2391,8691,618,1109,2619,0.00022595,0.00040575,0.00095768,0.63753588,0.89664720,1.63532247
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-02 00:00:00.000000,0.00045159,0.00091417,0.00332242,1235,2500,9087,647,1191,2765,0.00023680,0.00043574,0.00101100,0.62729765,0.90562754,1.60217924
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-03 00:00:00.000000,0.00048495,0.00095257,0.00343748,1326,2605,9402,697,1279,2905,0.00025496,0.00046793,0.00106215,0.61351498,0.91339515,1.62506833
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-04 00:00:00.000000,0.00052081,0.00099581,0.00351592,1424,2723,9616,712,1346,3026,0.00026043,0.00049241,0.00110643,0.60193665,0.90957741,1.65840149
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-05 00:00:00.000000,0.00055926,0.00106340,0.00357133,1529,2908,9768,740,1399,3122,0.00027068,0.00051168,0.00114161,0.59188631,0.90350534,1.68579110
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-06 00:00:00.000000,0.00060167,0.00113465,0.00361453,1645,3103,9886,790,1435,3196,0.00028899,0.00052475,0.00116869,0.57793410,0.90221920,1.68693262
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-07 00:00:00.000000,0.00064708,0.00121073,0.00365152,1769,3311,9987,816,1481,3255,0.00029840,0.00054155,0.00119025,0.56440468,0.90201969,1.66525851
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-08 00:00:00.000000,0.00069622,0.00129164,0.00368545,1904,3532,10080,842,1582,3289,0.00030819,0.00057868,0.00120264,0.55787020,0.89909071,1.58070404
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-09 00:00:00.000000,0.00074879,0.00136183,0.00371709,2048,3724,10167,870,1690,3293,0.00031838,0.00061821,0.00120404,0.55546631,0.89885451,1.58062448
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-10 00:00:00.000000,0.00080524,0.00141058,0.00374426,2202,3858,10241,900,1798,3290,0.00032912,0.00065764,0.00120284,0.57281427,0.89335139,1.51202151
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-11 00:00:00.000000,0.00086578,0.00150515,0.00375887,2368,4116,10281,932,1892,3326,0.00034104,0.00069205,0.00121608,0.57070851,0.89661257,1.44035008
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-12 00:00:00.000000,0.00093074,0.00160675,0.00375484,2545,4394,10270,972,2020,3360,0.00035545,0.00073864,0.00122850,0.58237985,0.89869519,1.52845236
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-13 00:00:00.000000,0.00099970,0.00171215,0.00373866,2734,4683,10226,1014,2159,3407,0.00037105,0.00078959,0.00124571,0.53630414,0.94193621,1.55616544
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-14 00:00:00.000000,0.00106322,0.00181880,0.00376545,2908,4974,10299,1059,2306,3369,0.00038733,0.00084314,0.00123192,0.48059826,0.94228270,1.58517180
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-15 00:00:00.000000,0.00110622,0.00192030,0.00367135,3025,5252,10042,1105,2368,3412,0.00040430,0.00086601,0.00124757,0.44738431,0.94695344,1.53009961
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-16 00:00:00.000000,0.00118038,0.00203008,0.00354348,3228,5552,9692,1154,2487,3647,0.00042200,0.00090947,0.00133342,0.43778969,0.98061728,1.46162122
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-17 00:00:00.000000,0.00126487,0.00216319,0.00348324,3459,5916,9527,1204,2629,3896,0.00044047,0.00096118,0.00142447,0.44293532,0.95826450,1.43718766
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-18 00:00:00.000000,0.00135552,0.00228804,0.00354198,3707,6258,9688,1257,2766,4155,0.00045972,0.00101144,0.00151922,0.45975485,0.96454987,1.44799772
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-19 00:00:00.000000,0.00145273,0.00241562,0.00357613,3973,6607,9781,1312,2792,4422,0.00047982,0.00102101,0.00161689,0.50370384,0.95670515,1.46030923
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-20 00:00:00.000000,0.00155630,0.00255136,0.00362622,4256,6978,9918,1369,2809,4729,0.00050078,0.00102698,0.00172916,0.53743022,0.96476212,1.44102480
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-21 00:00:00.000000,0.00166730,0.00271077,0.00381711,4560,7414,10440,1431,2850,4935,0.00052334,0.00104231,0.00180452,0.55015855,0.97442978,1.43880802
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-22 00:00:00.000000,0.00178607,0.00287010,0.00401856,4885,7850,10991,1496,2912,5261,0.00054709,0.00106472,0.00192377,0.55470236,0.97163740,1.44030230
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-23 00:00:00.000000,0.00191350,0.00292820,0.00421944,5233,8009,11541,1564,2988,5643,0.00057192,0.00109265,0.00206344,0.56032679,0.94268487,1.44191929
0,0,Indonesia,,,2021-10-15 10:39:16.169130,2020-04-24 00:00:00.000000,0.00205006,0.00304296,0.00438553,5607,8323,11995,1635,3069,6053,0.00059784,0.00112220,0.00221328,0.57591695,0.93293757,1.44889094
