FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-09 00:00:00.000000,0.13124188,0.20091568,0.29516500,79351,121477,178462,27816,44152,60823,0.04600668,0.07302606,0.10059892,0.70454642,0.75831468,0.92796636
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-10 00:00:00.000000,0.14182630,0.21477008,0.31725772,85750,129853,191819,30277,44871,60478,0.05007691,0.07421515,0.10002773,0.70454617,0.75831434,0.92796619
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-11 00:00:00.000000,0.15225771,0.22966236,0.33989468,92057,138858,205506,32189,46897,62938,0.05323930,0.07756571,0.10409611,0.70454547,0.75831314,0.92796559
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-12 00:00:00.000000,0.16330857,0.24566822,0.36318030,98739,148535,219585,34571,49709,66291,0.05717947,0.08221608,0.10964223,0.70454348,0.75830887,0.92796352
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-13 00:00:00.000000,0.17533980,0.26265948,0.38726704,106013,158808,234148,37560,52904,70194,0.06212349,0.08750134,0.11609659,0.70453780,0.75829366,0.92795646
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-14 00:00:00.000000,0.18832112,0.28080040,0.41231738,113862,169777,249294,40399,56468,74404,0.06681820,0.09339592,0.12306012,0.70452152,0.75823949,0.92793240
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-15 00:00:00.000000,0.20358794,0.30007408,0.43767110,123092,181430,264623,43437,60193,78722,0.07184251,0.09955552,0.13020147,0.70417090,0.75804670,0.92491705
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-16 00:00:00.000000,0.22083930,0.32010696,0.46072191,133523,193542,278560,46902,64224,83158,0.07757449,0.10622366,0.13753907,0.70334993,0.75610797,0.91469017
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-17 00:00:00.000000,0.23957263,0.34179976,0.48461071,144849,206658,293004,50912,68992,87730,0.08420526,0.11410849,0.14510086,0.69171564,0.75365947,0.88044612
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-18 00:00:00.000000,0.25988932,0.36486111,0.50886921,157133,220601,307671,54843,73750,92446,0.09070687,0.12197852,0.15290077,0.65972634,0.74453688,0.84783948
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-19 00:00:00.000000,0.27867904,0.38613623,0.53170536,168494,233465,321478,58816,78434,97272,0.09727918,0.12972565,0.16088170,0.60145061,0.71898875,0.84688093
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-20 00:00:00.000000,0.29819257,0.40389535,0.54944770,180292,244202,332206,63465,82751,103232,0.10496864,0.13686618,0.17074015,0.55485239,0.68460967,0.84415132
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-21 00:00:00.000000,0.31901296,0.41816669,0.56863523,192881,252831,343807,68477,88022,109930,0.11325804,0.14558422,0.18181833,0.52295821,0.62038559,0.82376445
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-22 00:00:00.000000,0.34084507,0.43134400,0.59250067,206081,260798,358236,72674,92213,113356,0.12019896,0.15251458,0.18748372,0.49795417,0.58855972,0.82026148
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-23 00:00:00.000000,0.36148299,0.44262772,0.61070994,218559,267620,369246,76672,95666,119114,0.12681075,0.15822595,0.19700788,0.47664720,0.56178913,0.79373238
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-24 00:00:00.000000,0.37484371,0.45083358,0.62060179,226637,272582,375227,80018,98925,124314,0.13234523,0.16361628,0.20560770,0.45374795,0.53141401,0.69224129
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-25 00:00:00.000000,0.38170792,0.45273931,0.62105906,230787,273734,375503,83243,101202,128459,0.13767971,0.16738324,0.21246411,0.42332412,0.48252587,0.60772782
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-26 00:00:00.000000,0.38052383,0.45139513,0.61472640,230071,272921,371674,83409,102748,131322,0.13795456,0.16993953,0.21719835,0.39248750,0.44138297,0.58672761
0,0,Italy,,,2021-12-08 07:52:07.974774,2020-03-27 00:00:00.000000,0.37660130,0.44901048,0.60967440,227700,271479,368620,83660,103413,132821,0.13836894,0.17103945,0.21967798,0.34456173,0.40410409,0.57070901
