FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-09 00:00:00.000000,0.00003499,0.00007940,0.00015738,2,5,10,0,2,5,0.00000876,0.00003354,0.00008292,0.50369870,0.63235674,0.87889521
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-10 00:00:00.000000,0.00005399,0.00011524,0.00018726,3,7,12,1,3,6,0.00002183,0.00004964,0.00010484,0.50369195,0.63240940,0.87889520
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-11 00:00:00.000000,0.00007702,0.00014884,0.00023905,5,9,15,2,4,8,0.00003214,0.00007140,0.00013067,0.50368223,0.63248238,0.87889515
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-12 00:00:00.000000,0.00009853,0.00017965,0.00031399,6,11,20,3,6,10,0.00004729,0.00009315,0.00016748,0.50366828,0.63258339,0.87889500
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-13 00:00:00.000000,0.00012242,0.00022348,0.00039794,7,14,25,4,7,14,0.00006146,0.00011951,0.00021886,0.50364836,0.63266602,0.87889451
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-14 00:00:00.000000,0.00014514,0.00027009,0.00049344,9,17,32,4,9,18,0.00007216,0.00014596,0.00027596,0.50362017,0.63264641,0.87889295
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-15 00:00:00.000000,0.00016637,0.00031641,0.00061134,10,20,39,5,11,22,0.00008289,0.00017635,0.00034459,0.50358069,0.63251008,0.87888796
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-16 00:00:00.000000,0.00021152,0.00038094,0.00070154,13,24,45,6,13,27,0.00009448,0.00020858,0.00042066,0.50352635,0.63143577,0.87887185
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-17 00:00:00.000000,0.00025881,0.00045274,0.00083989,16,29,54,7,16,31,0.00011645,0.00025733,0.00048303,0.50345340,0.62793265,0.87881981
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-18 00:00:00.000000,0.00031776,0.00055081,0.00100432,20,35,65,9,19,37,0.00014877,0.00030370,0.00058130,0.50335926,0.62502414,0.87492651
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-19 00:00:00.000000,0.00037581,0.00063456,0.00117691,24,41,76,12,23,43,0.00019416,0.00036374,0.00066867,0.50065477,0.61492932,0.86014115
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-20 00:00:00.000000,0.00043263,0.00074702,0.00136692,28,48,89,16,28,53,0.00024552,0.00043329,0.00082174,0.46237604,0.60262703,0.82235048
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-21 00:00:00.000000,0.00049332,0.00087152,0.00157568,32,56,102,19,32,63,0.00029186,0.00049912,0.00097337,0.43772726,0.58784456,0.87637274
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-22 00:00:00.000000,0.00054989,0.00098699,0.00180517,35,64,117,21,37,73,0.00032879,0.00057834,0.00111896,0.43218875,0.57315092,0.86759333
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-23 00:00:00.000000,0.00062629,0.00112002,0.00205987,40,73,134,23,43,83,0.00036765,0.00066465,0.00127601,0.43073259,0.56540459,0.83820639
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-24 00:00:00.000000,0.00071654,0.00126197,0.00226353,46,82,147,27,49,94,0.00042186,0.00075114,0.00144651,0.40602032,0.55865655,0.76759918
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-25 00:00:00.000000,0.00079701,0.00141634,0.00253269,51,92,165,31,54,107,0.00047823,0.00084077,0.00165043,0.40035665,0.55277696,0.72316302
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-26 00:00:00.000000,0.00089296,0.00155225,0.00285040,58,101,185,34,61,118,0.00052734,0.00094489,0.00182341,0.38544828,0.54951917,0.71374847
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-27 00:00:00.000000,0.00098511,0.00174120,0.00321475,64,113,209,37,68,131,0.00058007,0.00104235,0.00201230,0.37468214,0.54624195,0.70943852
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-28 00:00:00.000000,0.00108597,0.00193558,0.00370193,70,126,241,41,76,148,0.00063669,0.00116580,0.00227317,0.37351490,0.54093637,0.66701464
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-29 00:00:00.000000,0.00119806,0.00212373,0.00419945,78,138,273,45,84,167,0.00069701,0.00130080,0.00256237,0.36722890,0.53584025,0.63809036
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-30 00:00:00.000000,0.00130270,0.00229148,0.00460484,84,149,300,49,93,188,0.00076049,0.00143497,0.00289678,0.35875382,0.51596856,0.63752479
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-03-31 00:00:00.000000,0.00140840,0.00250262,0.00503525,91,163,328,53,104,213,0.00082542,0.00159936,0.00326721,0.35942714,0.50745637,0.63966179
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-01 00:00:00.000000,0.00152012,0.00269383,0.00553665,99,175,361,58,113,238,0.00089380,0.00174053,0.00366212,0.36069514,0.49873120,0.63852980
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-02 00:00:00.000000,0.00163856,0.00289685,0.00604186,106,188,394,65,123,263,0.00099813,0.00190057,0.00403553,0.36116432,0.49267632,0.62131769
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-03 00:00:00.000000,0.00176542,0.00314399,0.00655664,115,205,427,70,129,284,0.00107606,0.00198588,0.00436591,0.35049007,0.48196648,0.62125715
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-04 00:00:00.000000,0.00191668,0.00342977,0.00708467,125,223,462,74,137,307,0.00114010,0.00210820,0.00471799,0.34399195,0.46870956,0.62067792
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-05 00:00:00.000000,0.00204138,0.00374293,0.00762742,133,244,497,81,148,331,0.00125205,0.00227193,0.00508271,0.33719963,0.44977909,0.59702245
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-06 00:00:00.000000,0.00219955,0.00401788,0.00827700,143,262,540,87,162,359,0.00134658,0.00249493,0.00550575,0.32174335,0.43327146,0.60652997
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-07 00:00:00.000000,0.00233293,0.00432089,0.00901392,152,281,588,91,177,384,0.00140308,0.00272590,0.00589834,0.30801448,0.42121460,0.59083481
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-08 00:00:00.000000,0.00250448,0.00461414,0.00995381,163,301,649,98,191,408,0.00150287,0.00293207,0.00625524,0.29718069,0.41368930,0.57238290
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-09 00:00:00.000000,0.00270276,0.00482864,0.01055960,176,315,688,105,205,444,0.00161435,0.00314473,0.00682050,0.27449957,0.40735230,0.55417952
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-10 00:00:00.000000,0.00291596,0.00505293,0.01105375,190,329,721,112,218,465,0.00173152,0.00335369,0.00713483,0.25637032,0.39624304,0.55358423
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-11 00:00:00.000000,0.00299147,0.00534599,0.01137902,195,348,742,117,231,482,0.00180250,0.00354671,0.00740010,0.25027746,0.37516711,0.54600606
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-12 00:00:00.000000,0.00303988,0.00565121,0.01163184,198,368,758,120,241,498,0.00184362,0.00369536,0.00763814,0.24750754,0.36731293,0.51530471
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-13 00:00:00.000000,0.00306719,0.00585866,0.01186013,200,382,773,122,249,512,0.00187625,0.00383113,0.00785634,0.24680011,0.36383609,0.48181171
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-14 00:00:00.000000,0.00304549,0.00609833,0.01208108,198,397,788,124,260,526,0.00190424,0.00399240,0.00807128,0.24690940,0.35571731,0.47097119
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-15 00:00:00.000000,0.00301774,0.00624136,0.01230058,196,407,802,125,270,540,0.00192523,0.00414613,0.00828901,0.24510578,0.35020547,0.46404330
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-16 00:00:00.000000,0.00298813,0.00640564,0.01252104,194,417,816,126,282,555,0.00193952,0.00433277,0.00851289,0.24581397,0.34043894,0.45426166
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-17 00:00:00.000000,0.00295844,0.00659797,0.01285582,193,430,838,127,293,570,0.00194830,0.00450178,0.00874893,0.23690202,0.33148624,0.44475999
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-18 00:00:00.000000,0.00292957,0.00673132,0.01326080,191,439,865,127,299,587,0.00195268,0.00458610,0.00900134,0.23321167,0.32541862,0.43318688
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-19 00:00:00.000000,0.00290367,0.00684963,0.01350438,189,446,881,127,302,604,0.00195319,0.00463709,0.00926415,0.23182348,0.31827547,0.43662406
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-20 00:00:00.000000,0.00288765,0.00709632,0.01368146,188,462,892,127,311,621,0.00194988,0.00477840,0.00953079,0.23057811,0.31318982,0.44045906
0,0,Kyrgyzstan,,,2021-09-29 05:55:07.688209,2020-04-21 00:00:00.000000,0.00289766,0.00720259,0.01388079,189,469,905,126,324,640,0.00194027,0.00498046,0.00981099,0.22847732,0.31270185,0.44040510
