FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-09 00:00:00.000000,0.19638291,0.30849661,0.49501581,74,117,188,35,52,87,0.09390699,0.13673845,0.22910453,0.49338198,0.66669140,0.85393824
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-10 00:00:00.000000,0.23099558,0.34849407,0.54168819,88,132,206,40,61,106,0.10736716,0.16028560,0.27885076,0.49322492,0.66668980,0.85392331
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-11 00:00:00.000000,0.26918570,0.39052093,0.59748189,102,148,227,48,71,118,0.12629518,0.18697962,0.31126970,0.49298167,0.66668644,0.85389168
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-12 00:00:00.000000,0.31098998,0.44103677,0.65969954,118,168,251,56,81,129,0.14820560,0.21264064,0.34004636,0.49259888,0.66667807,0.85382279
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-13 00:00:00.000000,0.35676745,0.48770620,0.72785018,136,185,277,65,90,142,0.17243074,0.23834455,0.37256706,0.49198450,0.66491429,0.85366380
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-14 00:00:00.000000,0.40299137,0.53615917,0.81334419,153,204,310,75,101,162,0.19886316,0.26673783,0.42557021,0.49108300,0.66489089,0.85325617
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-15 00:00:00.000000,0.45279914,0.60823356,0.92395295,172,231,352,85,113,179,0.22470929,0.29830090,0.47045519,0.48961647,0.65893372,0.82272758
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-16 00:00:00.000000,0.51847991,0.66526377,1.03364460,197,253,394,96,127,198,0.25187478,0.33470703,0.52088008,0.48717387,0.65475717,0.76738021
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-17 00:00:00.000000,0.56420235,0.72609213,1.15328374,215,276,439,105,142,223,0.27698438,0.37444887,0.58634612,0.48238026,0.64113415,0.75764289
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-18 00:00:00.000000,0.61155190,0.79980217,1.27228312,233,305,485,115,155,251,0.30377922,0.40817171,0.65982227,0.39773901,0.60960168,0.75439719
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-19 00:00:00.000000,0.63916702,0.86157420,1.36207777,243,328,519,126,171,282,0.33246818,0.45052642,0.74096607,0.34523311,0.54765136,0.73534912
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-20 00:00:00.000000,0.66490653,0.90146478,1.42760761,253,343,544,133,185,308,0.35029060,0.48572742,0.80862285,0.29103352,0.45153084,0.69460747
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-21 00:00:00.000000,0.67983809,0.93410799,1.51375115,259,356,577,136,198,334,0.35827645,0.52170446,0.87610153,0.26081415,0.39060113,0.60907483
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-22 00:00:00.000000,0.67604162,0.95630275,1.56356471,257,364,596,137,211,359,0.36059112,0.55380327,0.94293396,0.23102926,0.32927066,0.50843351
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-23 00:00:00.000000,0.66293787,0.96615400,1.51151011,252,368,576,142,214,367,0.37346088,0.56304055,0.96450281,0.21063961,0.30289553,0.44025799
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-24 00:00:00.000000,0.66202596,0.96423103,1.46459629,252,367,558,146,214,360,0.38383574,0.56311711,0.94451225,0.18426077,0.28336606,0.39232389
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-25 00:00:00.000000,0.63753646,0.94863969,1.46942757,243,361,560,142,212,347,0.37384443,0.55637311,0.91064346,0.16934190,0.26150436,0.36896449
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-26 00:00:00.000000,0.60817429,0.93523359,1.44650223,231,356,551,137,211,336,0.35988541,0.55485669,0.88344415,0.16240850,0.22867395,0.35379633
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-27 00:00:00.000000,0.57635130,0.90354297,1.40233747,219,344,534,131,208,337,0.34360081,0.54579390,0.88616616,0.15433473,0.20309829,0.33944305
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-28 00:00:00.000000,0.54389585,0.85060359,1.35532539,207,324,516,123,201,337,0.32452230,0.52926747,0.88539818,0.13219488,0.18864628,0.30382105
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-29 00:00:00.000000,0.50910458,0.79889297,1.30619591,194,304,498,115,192,335,0.30359510,0.50377985,0.88054389,0.12510276,0.18198369,0.27444259
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-30 00:00:00.000000,0.47160397,0.75848156,1.25419203,179,289,478,107,180,331,0.28219014,0.47320225,0.87018562,0.12155532,0.17899582,0.24950145
0,0,Liechtenstein,,,2021-01-05 03:17:07.117442,2020-03-31 00:00:00.000000,0.43654707,0.71024286,1.17072729,166,270,446,99,172,321,0.26105170,0.45283919,0.84194005,0.11800801,0.17104887,0.24140806
