FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-09 00:00:00.000000,0.00318213,0.00586770,0.01349457,86,159,367,33,67,113,0.00121469,0.00247205,0.00418755,0.71853618,0.88896793,1.08944548
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-10 00:00:00.000000,0.00376752,0.00691241,0.01488760,102,188,405,42,76,139,0.00155327,0.00280970,0.00511224,0.71853618,0.88896776,1.08944236
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-11 00:00:00.000000,0.00446392,0.00801210,0.01599496,121,218,435,49,88,163,0.00181392,0.00323809,0.00599853,0.71853618,0.88896725,1.08943399
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-12 00:00:00.000000,0.00528569,0.00937522,0.01714317,143,255,466,57,103,179,0.00211828,0.00381092,0.00660615,0.71853617,0.88896569,1.08940885
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-13 00:00:00.000000,0.00627194,0.01104499,0.01834219,170,300,499,69,119,200,0.00255573,0.00440112,0.00737759,0.71853615,0.88896090,1.08932530
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-14 00:00:00.000000,0.00736444,0.01274483,0.02086772,200,346,568,87,138,240,0.00320256,0.00507060,0.00883008,0.71853605,0.88894615,1.08902534
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-15 00:00:00.000000,0.00866858,0.01450152,0.02308381,235,394,628,94,157,287,0.00347611,0.00577742,0.01054874,0.71853563,0.88789084,1.08789728
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-16 00:00:00.000000,0.01027192,0.01682066,0.02573847,279,457,700,106,183,329,0.00391318,0.00672591,0.01210342,0.71853359,0.88121431,1.08367715
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-17 00:00:00.000000,0.01213288,0.01936307,0.03070964,330,527,836,123,210,377,0.00452764,0.00772884,0.01385844,0.71852378,0.87604006,1.08253732
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-18 00:00:00.000000,0.01430663,0.02210816,0.03586621,389,601,976,137,242,431,0.00506436,0.00890883,0.01584871,0.69802995,0.87137822,1.08194619
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-19 00:00:00.000000,0.01569699,0.02457041,0.04069349,427,668,1107,148,282,492,0.00544525,0.01035914,0.01809043,0.68867098,0.86142723,1.07806308
0,0,Lithuania,,,2021-02-03 14:49:14.895009,2020-03-20 00:00:00.000000,0.01788967,0.02818814,0.04465253,487,767,1215,158,321,560,0.00581633,0.01180549,0.02057564,0.66240741,0.82948591,1.07705812
