FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-09 00:00:00.000000,0.00000147,0.00001460,0.00004453,0,2,8,0,1,4,0.00000075,0.00000810,0.00002404,0.45154913,0.56391184,0.73715946
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-10 00:00:00.000000,0.00000169,0.00001644,0.00005073,0,3,9,0,1,4,0.00000080,0.00000837,0.00002513,0.45136051,0.56365791,0.73715942
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-11 00:00:00.000000,0.00000193,0.00001814,0.00005646,0,3,10,0,1,5,0.00000090,0.00000876,0.00002737,0.45102759,0.56328054,0.73715933
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-12 00:00:00.000000,0.00000219,0.00002003,0.00006101,0,3,11,0,1,5,0.00000104,0.00000981,0.00002971,0.45044192,0.56272191,0.73715908
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-13 00:00:00.000000,0.00000249,0.00002191,0.00006588,0,4,12,0,2,6,0.00000119,0.00001059,0.00003219,0.44941741,0.56261844,0.73715849
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-14 00:00:00.000000,0.00000282,0.00002398,0.00007111,0,4,13,0,2,6,0.00000135,0.00001154,0.00003481,0.44647823,0.56261210,0.73715704
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-15 00:00:00.000000,0.00000317,0.00002618,0.00007785,0,5,14,0,2,7,0.00000152,0.00001256,0.00003766,0.43791501,0.56254911,0.73715342
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-16 00:00:00.000000,0.00000744,0.00003477,0.00009206,1,6,17,0,2,7,0.00000170,0.00001385,0.00004133,0.43356348,0.56173336,0.73714402
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-17 00:00:00.000000,0.00001206,0.00004410,0.00010696,2,8,20,0,3,8,0.00000325,0.00001691,0.00004691,0.40738258,0.55914683,0.73711588
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-18 00:00:00.000000,0.00001654,0.00005291,0.00012308,3,10,23,1,3,10,0.00000572,0.00002065,0.00005386,0.38147522,0.54392149,0.73699615
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-19 00:00:00.000000,0.00002189,0.00006252,0.00014018,4,11,26,1,4,12,0.00000799,0.00002535,0.00006306,0.35049617,0.52613451,0.73267649
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-20 00:00:00.000000,0.00002786,0.00007132,0.00015638,5,13,29,2,5,14,0.00001098,0.00003071,0.00007366,0.34646599,0.51073129,0.72232550
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-21 00:00:00.000000,0.00003445,0.00008033,0.00017765,6,15,33,2,6,16,0.00001414,0.00003646,0.00008470,0.34320473,0.49499480,0.67651999
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-22 00:00:00.000000,0.00004041,0.00009072,0.00019679,7,17,37,3,7,18,0.00001726,0.00004115,0.00009607,0.34098877,0.47388530,0.63370287
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-23 00:00:00.000000,0.00004841,0.00010402,0.00021300,9,19,40,3,8,20,0.00002057,0.00004600,0.00010778,0.33924557,0.46007517,0.62449971
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-24 00:00:00.000000,0.00005584,0.00011706,0.00023695,10,22,45,4,10,22,0.00002479,0.00005261,0.00011913,0.33112609,0.44874600,0.60975834
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-25 00:00:00.000000,0.00006304,0.00013105,0.00026313,12,25,50,5,11,25,0.00003004,0.00006096,0.00013216,0.32623556,0.43698298,0.60467923
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-26 00:00:00.000000,0.00007030,0.00014262,0.00029857,13,27,57,6,13,27,0.00003428,0.00006881,0.00014586,0.31566235,0.41951558,0.58853160
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-27 00:00:00.000000,0.00007769,0.00015423,0.00032289,14,29,61,7,14,31,0.00003923,0.00007661,0.00016268,0.30739156,0.40714411,0.53174379
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-28 00:00:00.000000,0.00008503,0.00016570,0.00034414,16,31,65,8,16,34,0.00004430,0.00008410,0.00018060,0.29374055,0.39431503,0.52613008
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-29 00:00:00.000000,0.00009230,0.00018356,0.00036861,17,35,70,9,17,37,0.00004947,0.00009189,0.00019809,0.27676815,0.37572586,0.52194064
0,0,Malawi,,,2021-01-29 15:48:19.611947,2020-03-30 00:00:00.000000,0.00009993,0.00019553,0.00039488,19,37,75,10,18,41,0.00005475,0.00009809,0.00021569,0.26541924,0.36524503,0.51700729
