FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-09 00:00:00.000000,0.01232153,0.02881099,0.04144367,54,127,182,26,60,91,0.00610695,0.01379791,0.02079604,0.48934792,0.68223289,0.94607010
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-10 00:00:00.000000,0.01433038,0.03304758,0.04790936,63,145,211,30,66,96,0.00691027,0.01509705,0.02192786,0.48934792,0.68222989,0.94606923
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-11 00:00:00.000000,0.01665354,0.03666952,0.05535944,73,161,244,36,75,112,0.00831703,0.01707927,0.02551726,0.48934791,0.68222329,0.94606729
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-12 00:00:00.000000,0.01934402,0.04078189,0.06394646,85,180,282,42,84,124,0.00953430,0.01910447,0.02825331,0.48934790,0.68220878,0.94606270
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-13 00:00:00.000000,0.02249568,0.04656151,0.07357188,99,205,324,48,96,146,0.01102167,0.02180671,0.03320988,0.48934786,0.67910265,0.94605075
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-14 00:00:00.000000,0.02612468,0.05196658,0.08434297,115,229,372,56,110,172,0.01277369,0.02512323,0.03910697,0.48934767,0.67736086,0.94601592
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-15 00:00:00.000000,0.03030468,0.05817475,0.09619106,133,256,424,65,127,202,0.01481041,0.02878130,0.04584345,0.48934689,0.67484483,0.94589832
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-16 00:00:00.000000,0.03536321,0.06524361,0.10912436,156,288,481,75,142,235,0.01716575,0.03220770,0.05337574,0.48934366,0.67402488,0.94543556
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-17 00:00:00.000000,0.04114858,0.07379522,0.12360225,181,325,545,88,159,263,0.01995809,0.03609062,0.05972268,0.48933012,0.66850626,0.93479027
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-18 00:00:00.000000,0.04779832,0.08341576,0.13969472,211,368,616,102,184,291,0.02320710,0.04186501,0.06606657,0.48148666,0.65084223,0.90331362
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-19 00:00:00.000000,0.05544012,0.09363552,0.15727737,244,413,694,119,206,322,0.02696209,0.04678658,0.07292716,0.44817513,0.62686527,0.89366621
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-20 00:00:00.000000,0.06371301,0.10253604,0.17546918,281,452,774,136,230,359,0.03091244,0.05222261,0.08147329,0.43659622,0.60713309,0.83668476
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-21 00:00:00.000000,0.07130155,0.11165595,0.19249448,314,493,849,154,255,403,0.03503074,0.05787068,0.09128830,0.42306176,0.56904911,0.82668751
0,0,Malta,,,2021-02-22 15:14:48.943846,2020-03-22 00:00:00.000000,0.07852282,0.11990909,0.21114102,346,529,932,174,284,445,0.03947100,0.06436527,0.10096970,0.40799555,0.53724629,0.79414258
