FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-09 00:00:00.000000,0.00104986,0.00317081,0.00605685,13,40,77,4,16,33,0.00032451,0.00132049,0.00261683,0.77836086,0.92830702,1.08505925
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-10 00:00:00.000000,0.00170572,0.00417838,0.00733173,21,53,93,7,21,42,0.00057952,0.00167952,0.00333182,0.77836060,0.92820612,1.08496323
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-11 00:00:00.000000,0.00259047,0.00527292,0.00883002,32,67,112,12,28,51,0.00101423,0.00220378,0.00403130,0.77836003,0.92804039,1.08477953
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-12 00:00:00.000000,0.00339321,0.00628046,0.01059875,43,79,134,18,36,62,0.00146345,0.00284896,0.00488313,0.77835884,0.92776828,1.08442826
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-13 00:00:00.000000,0.00421249,0.00760123,0.01268935,53,96,161,24,44,74,0.00191984,0.00352958,0.00585428,0.77835638,0.92741127,1.08375731
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-14 00:00:00.000000,0.00510812,0.00922661,0.01513466,64,117,192,30,54,88,0.00237843,0.00431463,0.00697659,0.77835155,0.92738945,1.08247858
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-15 00:00:00.000000,0.00604416,0.01138891,0.01788321,76,144,227,37,67,105,0.00291409,0.00530942,0.00828087,0.77834327,0.92735085,1.08005151
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-16 00:00:00.000000,0.00767186,0.01362337,0.02119958,97,173,269,45,82,129,0.00361691,0.00646296,0.01016400,0.77833561,0.92728201,1.07948785
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-17 00:00:00.000000,0.00947241,0.01619977,0.02506226,120,206,318,56,97,155,0.00442303,0.00769116,0.01222076,0.77842684,0.92546576,1.08002941
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-18 00:00:00.000000,0.01140005,0.01917705,0.02958634,144,243,376,68,116,185,0.00536548,0.00913572,0.01460118,0.78070744,0.91427058,1.08141160
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-19 00:00:00.000000,0.01364578,0.02266820,0.03488475,173,288,443,82,137,221,0.00646250,0.01084318,0.01740716,0.78899848,0.91099845,1.07185861
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-20 00:00:00.000000,0.01629883,0.02658909,0.04078047,207,338,518,98,162,263,0.00773906,0.01275413,0.02072642,0.77815886,0.89691415,1.05819315
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-21 00:00:00.000000,0.01943068,0.03096132,0.04793611,247,393,609,118,190,313,0.00931391,0.01496283,0.02465577,0.73410620,0.87466631,1.04745851
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-22 00:00:00.000000,0.02320506,0.03605556,0.05693125,295,458,724,140,223,372,0.01105091,0.01754131,0.02930829,0.67318680,0.85011722,1.02100164
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-23 00:00:00.000000,0.02729119,0.04128066,0.06628606,347,524,843,167,259,442,0.01320710,0.02044326,0.03481717,0.61285690,0.83127856,0.98604542
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-24 00:00:00.000000,0.03197471,0.04751502,0.07797729,406,604,991,197,301,518,0.01549653,0.02371580,0.04078263,0.59202019,0.78078848,0.96216899
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-25 00:00:00.000000,0.03639519,0.05338645,0.09198985,462,678,1169,224,347,588,0.01767069,0.02730823,0.04627825,0.55167841,0.73318783,0.93033940
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-26 00:00:00.000000,0.04165938,0.05990282,0.10599275,529,761,1347,261,397,674,0.02052471,0.03123283,0.05303610,0.51285280,0.69878401,0.91180104
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-27 00:00:00.000000,0.04740296,0.06674763,0.11601733,602,848,1475,302,447,792,0.02381446,0.03519438,0.06233509,0.46525197,0.66378544,0.88298838
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-28 00:00:00.000000,0.05016145,0.07321379,0.12353643,637,931,1571,340,498,909,0.02678131,0.03919078,0.07153780,0.42708604,0.57510023,0.83238679
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-29 00:00:00.000000,0.05202334,0.07788619,0.12927892,661,990,1644,358,543,991,0.02816784,0.04272734,0.07795376,0.36293951,0.51363269,0.70112080
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-30 00:00:00.000000,0.05538000,0.08124990,0.13568058,704,1033,1725,372,583,1049,0.02927146,0.04584694,0.08249685,0.32277896,0.45552798,0.64149810
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-03-31 00:00:00.000000,0.05771559,0.08485492,0.14464924,734,1079,1839,398,617,1093,0.03134559,0.04858683,0.08599892,0.29359331,0.43155596,0.58013111
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-04-01 00:00:00.000000,0.06062586,0.08824958,0.14977091,771,1122,1904,428,638,1131,0.03371180,0.05019901,0.08896036,0.27649947,0.41561324,0.55810825
0,0,Mauritius,,,2021-02-22 14:39:29.485772,2020-04-02 00:00:00.000000,0.06273562,0.08929504,0.15392178,797,1135,1957,441,655,1179,0.03472942,0.05154183,0.09271694,0.26015615,0.39768881,0.51154588
