FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-09 00:00:00.000000,0.00075010,0.00190525,0.00387236,4,11,24,1,5,12,0.00025298,0.00094777,0.00194662,0.34448626,0.47432058,0.69089513
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-10 00:00:00.000000,0.00096397,0.00237311,0.00444635,6,14,27,1,6,13,0.00031468,0.00101195,0.00209246,0.34448421,0.47431902,0.69072501
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-11 00:00:00.000000,0.00128308,0.00287082,0.00508228,8,18,31,2,7,15,0.00035832,0.00120290,0.00251524,0.34447757,0.47431457,0.69045714
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-12 00:00:00.000000,0.00167720,0.00346197,0.00582719,10,21,36,2,9,19,0.00044437,0.00147437,0.00303456,0.34445374,0.47430169,0.69003569
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-13 00:00:00.000000,0.00195967,0.00409768,0.00703420,12,25,44,3,10,24,0.00055581,0.00172883,0.00397032,0.34436329,0.47426394,0.68937332
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-14 00:00:00.000000,0.00225753,0.00469327,0.00832839,14,29,52,4,12,30,0.00068809,0.00200149,0.00486211,0.34401084,0.47415269,0.68833414
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-15 00:00:00.000000,0.00257252,0.00562680,0.00958031,16,35,60,5,15,35,0.00083387,0.00240575,0.00565119,0.34263283,0.47355882,0.68670832
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-16 00:00:00.000000,0.00316674,0.00640558,0.01091417,19,40,68,6,17,42,0.00099562,0.00280674,0.00677740,0.34139364,0.46496507,0.68417563
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-17 00:00:00.000000,0.00371874,0.00731564,0.01238467,23,45,77,7,21,49,0.00117019,0.00342207,0.00786022,0.33976877,0.45986653,0.68025676
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-18 00:00:00.000000,0.00441193,0.00815913,0.01397529,27,51,87,8,26,56,0.00135891,0.00420360,0.00895849,0.32794732,0.44475672,0.67425650
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-19 00:00:00.000000,0.00497756,0.00937674,0.01566843,31,58,98,9,31,63,0.00156124,0.00505810,0.01015485,0.30550719,0.42660116,0.66522023
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-20 00:00:00.000000,0.00552760,0.01085796,0.01744356,34,68,109,11,37,71,0.00176851,0.00596408,0.01144207,0.27246464,0.41886810,0.65196913
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-21 00:00:00.000000,0.00613705,0.01220406,0.01927962,38,76,121,12,44,80,0.00199122,0.00700571,0.01280822,0.24985106,0.37552932,0.63335209
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-22 00:00:00.000000,0.00672200,0.01367918,0.02111261,42,85,132,13,51,89,0.00222424,0.00820618,0.01423906,0.23476662,0.34671636,0.60878934
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-23 00:00:00.000000,0.00717202,0.01510594,0.02263642,45,94,142,15,57,98,0.00245269,0.00919276,0.01570146,0.21909729,0.32269469,0.57867692
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-24 00:00:00.000000,0.00765753,0.01637413,0.02409691,48,102,151,16,64,107,0.00269134,0.01021132,0.01705206,0.20253862,0.31042190,0.54369462
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-25 00:00:00.000000,0.00817689,0.01773144,0.02618054,51,111,164,18,70,114,0.00293719,0.01126842,0.01824889,0.19444897,0.30304268,0.50091669
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-26 00:00:00.000000,0.00872995,0.01920973,0.02822811,54,120,177,20,78,126,0.00318818,0.01246211,0.02020251,0.16848642,0.28961169,0.47112700
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-27 00:00:00.000000,0.00931410,0.02050387,0.03059697,58,128,192,21,84,138,0.00344257,0.01347794,0.02206214,0.16485564,0.26967169,0.46024959
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-28 00:00:00.000000,0.00993012,0.02154186,0.03327666,62,135,208,23,90,150,0.00369889,0.01442935,0.02395045,0.15351765,0.25430938,0.43923048
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-29 00:00:00.000000,0.01057637,0.02255371,0.03626358,66,141,227,24,96,166,0.00395612,0.01536582,0.02656755,0.14816777,0.23282317,0.41466610
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-30 00:00:00.000000,0.01128794,0.02360301,0.03979399,70,148,249,26,102,180,0.00421369,0.01639301,0.02874232,0.14097586,0.22122766,0.40432808
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-03-31 00:00:00.000000,0.01179737,0.02467296,0.04325747,74,154,271,28,110,193,0.00449933,0.01754997,0.03081674,0.13591716,0.20447365,0.39541190
0,0,Montenegro,,,2021-12-08 07:58:41.335947,2020-04-01 00:00:00.000000,0.01223027,0.02576335,0.04561866,76,161,286,30,116,205,0.00477880,0.01856527,0.03264402,0.12756439,0.19305222,0.35092515
