FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-09 00:00:00.000000,0.00000105,0.00001306,0.00004302,0,3,12,0,1,5,0.00000062,0.00000643,0.00001893,0.40795974,0.67854993,1.10050126
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-10 00:00:00.000000,0.00000114,0.00001420,0.00004368,0,4,12,0,2,5,0.00000074,0.00000723,0.00001920,0.40796074,0.67855216,1.10050120
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-11 00:00:00.000000,0.00000129,0.00001456,0.00004386,0,4,12,0,2,5,0.00000082,0.00000765,0.00001965,0.40796247,0.67855769,1.10050115
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-12 00:00:00.000000,0.00000141,0.00001428,0.00004486,0,4,13,0,2,5,0.00000090,0.00000802,0.00002025,0.40796489,0.67857135,1.10050118
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-13 00:00:00.000000,0.00000152,0.00001568,0.00004641,0,4,13,0,2,6,0.00000098,0.00000831,0.00002100,0.40796573,0.67860509,1.10050154
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-14 00:00:00.000000,0.00000163,0.00001738,0.00004827,0,5,14,0,2,6,0.00000104,0.00000866,0.00002189,0.40795323,0.67868827,1.10050304
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-15 00:00:00.000000,0.00000172,0.00001884,0.00005043,0,5,14,0,2,6,0.00000110,0.00000959,0.00002290,0.40788828,0.67889261,1.10050793
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-16 00:00:00.000000,0.00000431,0.00002419,0.00005705,1,7,16,0,3,7,0.00000116,0.00001061,0.00002404,0.40771598,0.67939060,1.10052264
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-17 00:00:00.000000,0.00000711,0.00002999,0.00006304,2,8,18,0,3,8,0.00000315,0.00001293,0.00002754,0.40755039,0.68058257,1.10056505
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-18 00:00:00.000000,0.00001039,0.00003732,0.00007012,3,10,20,1,4,9,0.00000454,0.00001592,0.00003142,0.40770069,0.68094131,1.10068457
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-19 00:00:00.000000,0.00001291,0.00004526,0.00008233,3,13,23,1,5,10,0.00000605,0.00001966,0.00003537,0.40836030,0.66974643,1.10101530
0,0,Nepal,,,2021-10-27 23:12:22.087510,2020-03-20 00:00:00.000000,0.00001525,0.00005203,0.00009540,4,15,27,2,6,11,0.00000747,0.00002258,0.00003955,0.40974724,0.66113833,1.10190525
