FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-09 00:00:00.000000,0.01854605,0.03201815,0.06086730,3177,5486,10429,1546,2359,3694,0.00902487,0.01376917,0.02156371,0.74229550,0.84061651,1.00881123
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-10 00:00:00.000000,0.02074636,0.03595822,0.06626982,3554,6161,11355,1663,2497,3850,0.00970722,0.01457540,0.02247396,0.74229548,0.84061647,1.00874120
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-11 00:00:00.000000,0.02339003,0.03966407,0.07217089,4007,6796,12366,1781,2639,4129,0.01039970,0.01540542,0.02409832,0.74229539,0.84061633,1.00861543
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-12 00:00:00.000000,0.02635832,0.04401090,0.07863326,4516,7541,13473,1963,2815,4516,0.01145817,0.01643207,0.02635715,0.74229511,0.84072159,1.00839017
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-13 00:00:00.000000,0.02973485,0.04860977,0.08571336,5095,8329,14686,2176,3072,4923,0.01270088,0.01793388,0.02873244,0.74229412,0.84092112,1.00798892
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-14 00:00:00.000000,0.03355951,0.05369921,0.09346488,5750,9201,16015,2420,3335,5355,0.01412502,0.01946430,0.03125789,0.74229069,0.84091729,1.00728108
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-15 00:00:00.000000,0.03779284,0.05996406,0.10194125,6475,10274,17467,2697,3628,5818,0.01573988,0.02117807,0.03395666,0.74227880,0.84090631,1.00605276
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-16 00:00:00.000000,0.04247041,0.06678033,0.11119501,7277,11442,19053,3009,4045,6312,0.01756097,0.02361108,0.03684276,0.74223750,0.84055303,1.00384735
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-17 00:00:00.000000,0.04772621,0.07424195,0.12125083,8177,12721,20776,3360,4435,6840,0.01961383,0.02588390,0.03991908,0.74102733,0.84039813,0.99983798
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-18 00:00:00.000000,0.05362908,0.08266171,0.13206645,9189,14163,22629,3756,4918,7397,0.02192270,0.02870503,0.04316936,0.74017274,0.83988572,0.98456438
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-19 00:00:00.000000,0.06024498,0.09088941,0.14341894,10322,15573,24574,4134,5533,8037,0.02413185,0.03229426,0.04690913,0.73718147,0.83289382,0.98425155
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-20 00:00:00.000000,0.06757661,0.09954142,0.15724872,11579,17056,26944,4509,6255,8811,0.02631664,0.03650836,0.05142275,0.72764844,0.82717717,0.97692416
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-21 00:00:00.000000,0.07508789,0.10905156,0.17305247,12866,18685,29652,4864,6980,9644,0.02839182,0.04073885,0.05628436,0.69914378,0.80609033,0.96257841
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-22 00:00:00.000000,0.08185107,0.11972017,0.19031623,14025,20513,32610,5249,7759,10731,0.03063542,0.04528674,0.06262880,0.63225926,0.77305426,0.94087928
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-23 00:00:00.000000,0.08856050,0.13079356,0.20913092,15174,22411,35834,5664,8518,11688,0.03306000,0.04971191,0.06821197,0.58022483,0.71383943,0.92885254
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-24 00:00:00.000000,0.09565015,0.14244773,0.22491039,16389,24408,38538,6113,9199,12809,0.03567753,0.05368720,0.07475508,0.56292281,0.68712567,0.92727219
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-25 00:00:00.000000,0.10322511,0.15438322,0.23534919,17687,26453,40326,6595,9797,13839,0.03849124,0.05717829,0.08077019,0.54687710,0.66597183,0.90200839
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-26 00:00:00.000000,0.11136500,0.16555910,0.24249009,19082,28368,41550,7163,10461,15165,0.04180428,0.06105536,0.08850378,0.52470515,0.64513276,0.86332776
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-27 00:00:00.000000,0.12120863,0.17717716,0.24786471,20768,30359,42471,7789,11187,16580,0.04546259,0.06528802,0.09676684,0.49671701,0.63365575,0.83893017
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-28 00:00:00.000000,0.13120385,0.18769459,0.25565625,22481,32161,43806,8405,11958,18078,0.04905447,0.06979230,0.10550449,0.46619476,0.60245124,0.79990651
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-29 00:00:00.000000,0.13937233,0.19696349,0.27539957,23881,33749,47189,8914,12718,19577,0.05202321,0.07422619,0.11425758,0.44067938,0.59303903,0.72946737
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-30 00:00:00.000000,0.14649376,0.20646366,0.29177523,25101,35377,49995,9416,13342,20901,0.05495731,0.07786475,0.12198233,0.43140821,0.57508651,0.69994970
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-03-31 00:00:00.000000,0.15370093,0.21108315,0.30463323,26336,36168,52198,9916,14177,21902,0.05787308,0.08274134,0.12782226,0.41945708,0.55705548,0.67957782
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-01 00:00:00.000000,0.16638494,0.21625775,0.31496439,28509,37055,53968,10335,15120,22712,0.06031943,0.08824224,0.13254967,0.41259773,0.51110477,0.65645417
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-02 00:00:00.000000,0.17027270,0.22156519,0.32250027,29176,37964,55260,10773,15692,23653,0.06287656,0.09158111,0.13804148,0.41113769,0.47336383,0.64152671
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-03 00:00:00.000000,0.17423968,0.22322666,0.32708065,29855,38249,56044,11091,16202,24219,0.06473252,0.09456009,0.14134804,0.37993695,0.44500661,0.62931753
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-04 00:00:00.000000,0.17727877,0.22910399,0.33639452,30376,39256,57640,11504,16594,24747,0.06714349,0.09684653,0.14442790,0.34454853,0.43370091,0.60582451
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-05 00:00:00.000000,0.17913199,0.23410894,0.34216486,30694,40114,58629,11756,16880,25252,0.06861110,0.09851311,0.14737284,0.33106118,0.42875537,0.55423312
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-06 00:00:00.000000,0.18191742,0.23753877,0.34266126,31171,40701,58714,11929,17255,25734,0.06961981,0.10070173,0.15018775,0.31408467,0.42321098,0.53196564
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-07 00:00:00.000000,0.18226904,0.23913196,0.34284981,31231,40974,58746,12034,17490,26190,0.07023510,0.10207675,0.15284901,0.31055931,0.41299983,0.52853397
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-08 00:00:00.000000,0.18167003,0.23736411,0.34275411,31128,40672,58730,12085,17831,26604,0.07053062,0.10406295,0.15526585,0.28165581,0.39741943,0.46828422
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-09 00:00:00.000000,0.18472133,0.23372253,0.34218838,31651,40048,58633,12090,17988,26963,0.07056023,0.10498366,0.15735988,0.27582848,0.38432860,0.45356692
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-10 00:00:00.000000,0.18652974,0.23422035,0.33653987,31961,40133,57665,12065,17886,27211,0.07041407,0.10438519,0.15880766,0.26192460,0.36219372,0.44965717
0,0,Netherlands,,,2021-10-27 22:47:29.783789,2020-04-11 00:00:00.000000,0.18144973,0.23379347,0.32504597,31091,40060,55696,11987,17671,27286,0.06995879,0.10313140,0.15924304,0.25291619,0.34382550,0.44501165
