FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-09 00:00:00.000000,0.00003120,0.00010136,0.00026349,2,6,17,0,2,7,0.00000602,0.00003937,0.00011839,0.38907467,0.60102536,0.85035534
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-10 00:00:00.000000,0.00005216,0.00012836,0.00032056,3,8,21,0,2,8,0.00001052,0.00004112,0.00012511,0.38907621,0.60102494,0.85035232
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-11 00:00:00.000000,0.00007386,0.00015975,0.00038759,4,10,25,1,3,8,0.00001530,0.00004991,0.00013583,0.38907895,0.60102332,0.85035102
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-12 00:00:00.000000,0.00009129,0.00019278,0.00045278,6,12,29,1,3,10,0.00002151,0.00005953,0.00015131,0.38908355,0.60101867,0.85033842
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-13 00:00:00.000000,0.00010620,0.00022753,0.00051301,7,15,33,1,4,11,0.00002878,0.00007191,0.00016990,0.38908925,0.60100682,0.84849595
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-14 00:00:00.000000,0.00012191,0.00025787,0.00058593,8,17,38,2,5,14,0.00003697,0.00008758,0.00021357,0.38908345,0.60097858,0.84589637
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-15 00:00:00.000000,0.00013851,0.00029401,0.00066428,9,19,44,2,6,17,0.00004444,0.00009927,0.00026236,0.39007616,0.60091416,0.84225652
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-16 00:00:00.000000,0.00017235,0.00034077,0.00073892,11,22,48,3,7,19,0.00005362,0.00011641,0.00030077,0.39218731,0.60077278,0.83721151
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-17 00:00:00.000000,0.00020408,0.00039828,0.00082008,13,26,54,4,8,22,0.00006551,0.00013563,0.00034016,0.38289284,0.60047535,0.80735540
0,0,Nicaragua,,,2021-12-08 08:08:03.911124,2020-03-18 00:00:00.000000,0.00023402,0.00044995,0.00090766,15,29,60,4,10,25,0.00007497,0.00016327,0.00038139,0.36125443,0.59054800,0.79831103
