FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-09 00:00:00.000000,0.00010746,0.00028640,0.00061407,17,47,102,6,21,47,0.00003789,0.00013069,0.00028336,0.55081120,0.72038581,0.86414118
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-10 00:00:00.000000,0.00014161,0.00032470,0.00068622,23,54,114,9,24,56,0.00005709,0.00014390,0.00033843,0.55080170,0.72035904,0.86408788
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-11 00:00:00.000000,0.00019316,0.00038701,0.00076239,32,64,127,12,28,65,0.00007271,0.00016908,0.00039080,0.55078374,0.72017041,0.86399586
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-12 00:00:00.000000,0.00024968,0.00044311,0.00084465,41,74,141,15,33,74,0.00009344,0.00020058,0.00044590,0.55074992,0.71976694,0.86383153
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-13 00:00:00.000000,0.00029522,0.00050886,0.00093446,49,85,156,20,39,84,0.00012488,0.00023747,0.00050425,0.55068659,0.71885987,0.86351208
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-14 00:00:00.000000,0.00034700,0.00058081,0.00103284,58,97,172,26,46,93,0.00015983,0.00027583,0.00055910,0.55056924,0.71846022,0.86277241
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-15 00:00:00.000000,0.00040410,0.00066029,0.00114060,67,110,190,31,52,103,0.00018665,0.00031122,0.00061906,0.55035607,0.71798805,0.86058237
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-16 00:00:00.000000,0.00046327,0.00073490,0.00127386,77,123,213,35,60,114,0.00021325,0.00035841,0.00068468,0.54998219,0.71691560,0.85599056
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-17 00:00:00.000000,0.00051317,0.00082157,0.00142932,85,137,239,40,69,127,0.00024082,0.00041225,0.00076146,0.54936470,0.71177166,0.85287794
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-18 00:00:00.000000,0.00056134,0.00094167,0.00161864,93,157,271,45,79,141,0.00027009,0.00047223,0.00084641,0.54843709,0.70823103,0.85234491
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-19 00:00:00.000000,0.00061231,0.00105256,0.00180872,102,176,302,51,90,156,0.00030892,0.00053757,0.00093655,0.52422027,0.69439558,0.85125620
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-20 00:00:00.000000,0.00068833,0.00118040,0.00202022,115,197,338,59,103,176,0.00035418,0.00061708,0.00105199,0.46187245,0.67679686,0.84763883
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-21 00:00:00.000000,0.00075641,0.00133001,0.00227793,126,222,381,64,116,199,0.00038533,0.00069574,0.00119359,0.44103207,0.64420345,0.83065617
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-22 00:00:00.000000,0.00082492,0.00150711,0.00264128,138,252,442,70,127,228,0.00041945,0.00076058,0.00136437,0.43722861,0.61737853,0.82875273
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-23 00:00:00.000000,0.00091252,0.00163770,0.00300296,152,274,502,79,140,259,0.00047435,0.00083857,0.00155178,0.43606536,0.59164589,0.81277553
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-24 00:00:00.000000,0.00101040,0.00180731,0.00333335,169,302,558,85,159,293,0.00051021,0.00095086,0.00175166,0.43474793,0.56643810,0.76809880
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-25 00:00:00.000000,0.00106592,0.00198065,0.00368234,178,331,616,91,174,328,0.00054723,0.00104260,0.00196036,0.43243302,0.55592741,0.73947940
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-26 00:00:00.000000,0.00111209,0.00211408,0.00405097,186,353,678,98,186,363,0.00058659,0.00111278,0.00217315,0.41530429,0.52862397,0.70167830
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-27 00:00:00.000000,0.00115944,0.00224967,0.00443484,194,376,742,108,197,399,0.00064570,0.00118136,0.00238499,0.40343438,0.49972684,0.68316167
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-28 00:00:00.000000,0.00124372,0.00237414,0.00476743,208,397,798,118,213,434,0.00070507,0.00127708,0.00259225,0.39086028,0.48741105,0.66668897
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-29 00:00:00.000000,0.00133001,0.00250267,0.00508335,222,419,851,123,228,467,0.00073945,0.00136325,0.00279374,0.38855930,0.48745200,0.65844710
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-30 00:00:00.000000,0.00140077,0.00264652,0.00561737,234,443,940,130,241,500,0.00077664,0.00143993,0.00299047,0.38106558,0.47196094,0.65466757
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-03-31 00:00:00.000000,0.00146254,0.00277970,0.00620799,244,465,1039,137,254,532,0.00082134,0.00151925,0.00318106,0.36974695,0.46656709,0.65282886
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-01 00:00:00.000000,0.00151593,0.00292656,0.00674829,253,490,1129,143,268,586,0.00085989,0.00160096,0.00350081,0.36940873,0.45702172,0.65180761
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-02 00:00:00.000000,0.00156559,0.00308411,0.00723691,262,516,1211,149,283,647,0.00089333,0.00169562,0.00386661,0.36027103,0.45108860,0.64919629
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-03 00:00:00.000000,0.00164404,0.00336398,0.00764012,275,563,1279,154,303,714,0.00092354,0.00181076,0.00426973,0.36045132,0.44783132,0.63241174
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-04 00:00:00.000000,0.00173097,0.00356227,0.00796510,289,596,1333,160,322,789,0.00095916,0.00192596,0.00471287,0.36946803,0.45429793,0.60143901
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-05 00:00:00.000000,0.00182962,0.00375488,0.00826174,306,628,1383,168,343,839,0.00100896,0.00204933,0.00501381,0.35835804,0.44920075,0.58063646
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-06 00:00:00.000000,0.00195671,0.00390551,0.00860172,327,653,1440,178,364,890,0.00106463,0.00217884,0.00531704,0.35515825,0.45281849,0.57244592
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-07 00:00:00.000000,0.00209706,0.00404680,0.00896608,351,677,1501,189,388,944,0.00113173,0.00231962,0.00564015,0.35300486,0.45502379,0.56884385
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-08 00:00:00.000000,0.00225217,0.00416683,0.00959895,377,697,1607,198,413,984,0.00118329,0.00247099,0.00588227,0.35359609,0.46027225,0.56847495
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-09 00:00:00.000000,0.00239665,0.00430322,0.01027483,401,720,1720,207,434,1024,0.00124119,0.00259726,0.00611730,0.35754699,0.46896891,0.56879221
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-10 00:00:00.000000,0.00252041,0.00455802,0.01100094,422,763,1841,219,451,1065,0.00130974,0.00269472,0.00636562,0.36558465,0.48149733,0.58417626
0,0,Senegal,,,2021-11-10 02:26:35.799335,2020-04-11 00:00:00.000000,0.00266424,0.00495636,0.01178819,446,829,1973,234,473,1112,0.00140071,0.00282549,0.00664182,0.37407253,0.48612728,0.62051837
