FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-09 00:00:00.000000,0.00016495,0.00043161,0.00136195,139,364,1148,75,190,674,0.00008946,0.00022624,0.00079930,0.57112445,0.77703873,1.02544639
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-10 00:00:00.000000,0.00019732,0.00050386,0.00149739,166,424,1262,93,234,733,0.00011049,0.00027776,0.00086997,0.57113694,0.77703864,1.02543061
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-11 00:00:00.000000,0.00023050,0.00059374,0.00178809,194,500,1508,110,278,838,0.00013080,0.00033034,0.00099392,0.57117487,0.77703840,1.02540875
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-12 00:00:00.000000,0.00026910,0.00070496,0.00213259,226,594,1798,130,338,1006,0.00015440,0.00040083,0.00119362,0.57129000,0.77703762,1.02537838
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-13 00:00:00.000000,0.00031386,0.00084297,0.00254105,264,710,2143,153,399,1207,0.00018148,0.00047313,0.00143200,0.57163897,0.77703472,1.02533602
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-14 00:00:00.000000,0.00036558,0.00099888,0.00302586,308,842,2551,179,487,1447,0.00021257,0.00057757,0.00171645,0.57269210,0.77702269,1.02527653
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-15 00:00:00.000000,0.00042537,0.00120042,0.00360176,358,1012,3037,209,594,1733,0.00024833,0.00070521,0.00205525,0.57582810,0.77696974,1.02519213
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-16 00:00:00.000000,0.00049222,0.00145025,0.00428945,415,1223,3617,244,729,2071,0.00028954,0.00086508,0.00245670,0.58480756,0.77673085,1.02507016
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-17 00:00:00.000000,0.00058349,0.00175216,0.00510664,492,1477,4306,284,887,2467,0.00033768,0.00105254,0.00292512,0.59837963,0.77716320,1.02488765
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-18 00:00:00.000000,0.00069531,0.00212638,0.00607956,586,1793,5127,339,1070,2918,0.00040271,0.00126981,0.00346073,0.59862068,0.77550464,1.02459349
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-19 00:00:00.000000,0.00082840,0.00259448,0.00723881,698,2188,6105,404,1278,3416,0.00048003,0.00151616,0.00405138,0.59985199,0.77300710,1.02403592
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-20 00:00:00.000000,0.00098705,0.00307514,0.00861930,832,2593,7269,482,1528,3948,0.00057203,0.00181186,0.00468179,0.60227410,0.76801892,1.02262406
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-21 00:00:00.000000,0.00117637,0.00370419,0.01025911,992,3124,8652,574,1816,4683,0.00068165,0.00215351,0.00555357,0.61348616,0.75411878,1.06189485
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-22 00:00:00.000000,0.00140238,0.00442409,0.01220581,1182,3731,10294,685,2177,5574,0.00081242,0.00258236,0.00660934,0.57170874,0.76058958,1.02685716
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-23 00:00:00.000000,0.00167231,0.00521861,0.01451739,1410,4401,12243,816,2610,6632,0.00096849,0.00309478,0.00786443,0.54855858,0.77393070,1.00411758
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-24 00:00:00.000000,0.00199423,0.00610500,0.01726517,1681,5148,14561,973,3132,7890,0.00115483,0.00371408,0.00935517,0.54026001,0.77856407,0.98750028
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-25 00:00:00.000000,0.00238014,0.00719207,0.02052852,2007,6065,17313,1161,3621,9384,0.00137713,0.00429340,0.01112667,0.53426016,0.78319092,0.95185456
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-26 00:00:00.000000,0.00285402,0.00847829,0.02440113,2407,7150,20579,1386,4246,11158,0.00164341,0.00503464,0.01323095,0.51592008,0.76618514,0.94428852
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-27 00:00:00.000000,0.00346014,0.01003010,0.02753196,2918,8459,23220,1660,4996,13265,0.00196920,0.00592484,0.01572877,0.50204791,0.74325847,0.93838024
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-28 00:00:00.000000,0.00422131,0.01171213,0.03030185,3560,9877,25556,2010,5847,15199,0.00238352,0.00693275,0.01802245,0.48846907,0.72330644,0.92536604
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-29 00:00:00.000000,0.00515195,0.01364284,0.03334792,4345,11506,28125,2450,6890,16906,0.00290566,0.00816960,0.02004642,0.45946567,0.68342631,0.91445450
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-30 00:00:00.000000,0.00591430,0.01587331,0.03749039,4988,13387,31619,2870,8156,18953,0.00340305,0.00967097,0.02247313,0.45643181,0.67320808,0.91146579
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-03-31 00:00:00.000000,0.00673638,0.01832865,0.04459760,5681,15458,37613,3293,9591,22702,0.00390503,0.01137262,0.02691777,0.42615047,0.66358126,0.89443191
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-04-01 00:00:00.000000,0.00766780,0.02081930,0.05041064,6466,17558,42515,3758,11122,25386,0.00445700,0.01318809,0.03010038,0.43153293,0.63724213,0.85894917
0,0,Turkey,,,2021-01-20 14:38:34.545593,2020-04-02 00:00:00.000000,0.00872182,0.02345093,0.05591641,7355,19778,47159,4282,12628,29031,0.00507772,0.01497328,0.03442251,0.43731522,0.62233237,0.82003609
