FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-09 00:00:00.000000,0.00175598,0.01329547,0.05380134,0,1,6,0,0,3,0.00094687,0.00735888,0.02881692,0.35962978,0.48088792,0.63955501
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-10 00:00:00.000000,0.00197170,0.01492521,0.05885793,0,1,7,0,0,3,0.00093902,0.00747555,0.02730572,0.35962142,0.48088750,0.63954765
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-11 00:00:00.000000,0.00219583,0.01660403,0.06352440,0,2,7,0,0,3,0.00103572,0.00786607,0.03014755,0.35960212,0.48088672,0.63952693
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-12 00:00:00.000000,0.00238583,0.01837732,0.06835484,0,2,8,0,1,4,0.00115760,0.00850813,0.03319702,0.35955752,0.48088532,0.63946850
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-13 00:00:00.000000,0.00260827,0.02027737,0.07351863,0,2,8,0,1,4,0.00130267,0.00917167,0.03650744,0.35945457,0.48088279,0.63930343
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-14 00:00:00.000000,0.00296041,0.02232881,0.08210799,0,2,9,0,1,4,0.00147140,0.01003694,0.04012542,0.35921729,0.48087162,0.63883718
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-15 00:00:00.000000,0.00336060,0.02420330,0.08979543,0,2,10,0,1,5,0.00166562,0.01117749,0.04409408,0.35499672,0.48063325,0.63752451
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-16 00:00:00.000000,0.01039314,0.03283377,0.10603910,1,3,12,0,1,5,0.00188783,0.01220026,0.04847758,0.33781074,0.48014433,0.63387081
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-17 00:00:00.000000,0.01732144,0.04057455,0.12269011,2,4,14,0,1,6,0.00387875,0.01483170,0.05469668,0.32874860,0.47190498,0.62753485
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-18 00:00:00.000000,0.02327378,0.04937092,0.14032053,2,5,16,0,2,7,0.00698317,0.01797737,0.06277789,0.31248736,0.46380377,0.60490214
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-19 00:00:00.000000,0.02852167,0.06125411,0.15895121,3,7,19,1,2,8,0.00934245,0.02198008,0.07210322,0.29694100,0.43409439,0.58072359
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-20 00:00:00.000000,0.03314462,0.07414606,0.17816730,3,8,21,1,3,9,0.01241848,0.02620274,0.08250825,0.27794574,0.41562919,0.57005271
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-21 00:00:00.000000,0.03583411,0.08505223,0.19931583,4,10,24,1,3,11,0.01506901,0.03116021,0.09342356,0.26305444,0.39326663,0.53794574
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-22 00:00:00.000000,0.04069814,0.09444766,0.21507201,4,11,25,2,4,12,0.01759497,0.03799518,0.10427545,0.25444950,0.36427122,0.53106115
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-23 00:00:00.000000,0.05578994,0.10831478,0.23292909,6,13,28,2,5,13,0.02017544,0.04347672,0.11493263,0.24294114,0.33384973,0.51291545
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-24 00:00:00.000000,0.06180057,0.12347702,0.24986237,7,14,30,3,5,15,0.02508044,0.04901299,0.12494147,0.23717493,0.32094047,0.49214109
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-25 00:00:00.000000,0.07217923,0.13631823,0.26531218,8,16,32,3,6,16,0.02930689,0.05526636,0.13456669,0.22449748,0.30919539,0.47167373
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-26 00:00:00.000000,0.08366646,0.15288228,0.27986977,10,18,33,4,7,17,0.03524496,0.06522969,0.14400181,0.20422427,0.30252081,0.44232708
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-27 00:00:00.000000,0.09292081,0.16581319,0.29558460,11,20,35,4,9,18,0.03891028,0.07524964,0.15336764,0.18901678,0.29393739,0.42012643
1035,0,USAlabamaConecuh,Alabama,Conecuh,2021-09-02 13:41:43.095864,2020-03-28 00:00:00.000000,0.09973094,0.17958953,0.30896900,12,21,37,5,9,19,0.04265397,0.08186406,0.16270724,0.18682429,0.28119374,0.39208226
