FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-09 00:00:00.000000,0.00440220,0.03650892,0.09055202,0,2,7,0,1,4,0.00251702,0.01883359,0.05242028,0.42320616,0.52631897,0.76846750
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-10 00:00:00.000000,0.00479871,0.04113281,0.09962644,0,3,8,0,1,3,0.00235409,0.01946376,0.04920466,0.42320616,0.52631653,0.76846697
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-11 00:00:00.000000,0.00519511,0.04550509,0.10705181,0,3,8,0,1,4,0.00238250,0.02078182,0.05157858,0.42320616,0.52631072,0.76846468
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-12 00:00:00.000000,0.00560185,0.04871399,0.11701824,0,3,9,0,1,4,0.00251654,0.02277366,0.05505152,0.42320616,0.52629687,0.76845494
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-13 00:00:00.000000,0.00602588,0.05287220,0.13156037,0,4,10,0,2,5,0.00270997,0.02578844,0.06170939,0.42320616,0.52626383,0.76841348
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-14 00:00:00.000000,0.00647219,0.05835830,0.14375013,0,4,11,0,2,5,0.00293847,0.02854693,0.06945047,0.42320609,0.52033603,0.76823699
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-15 00:00:00.000000,0.00694467,0.06532598,0.15932666,0,5,12,0,2,6,0.00318976,0.03096859,0.07593702,0.42320519,0.52033011,0.76748784
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-16 00:00:00.000000,0.02716647,0.08986664,0.19166914,2,7,15,0,2,6,0.00345817,0.03371820,0.08442422,0.42319326,0.51919719,0.76434327
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-17 00:00:00.000000,0.04377824,0.11339479,0.22432271,3,9,18,0,3,7,0.00963188,0.04123223,0.09673314,0.42160888,0.51516206,0.75174044
1063,0,USAlabamaGreene,Alabama,Greene,2021-11-27 11:58:25.231321,2020-03-18 00:00:00.000000,0.06141602,0.13570996,0.25945570,4,11,21,1,4,8,0.01615706,0.05216117,0.11059866,0.40855021,0.51511621,0.74552951
