FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-09 00:00:00.000000,0.00052204,0.00218586,0.00668696,0,2,6,0,1,4,0.00026437,0.00118595,0.00435595,0.34181759,0.47730749,0.65458599
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-10 00:00:00.000000,0.00054456,0.00238336,0.00718297,0,2,7,0,1,4,0.00029091,0.00127677,0.00442170,0.34180858,0.47727917,0.65457671
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-11 00:00:00.000000,0.00057448,0.00262441,0.00777309,0,2,7,0,1,4,0.00031476,0.00139332,0.00471359,0.34178436,0.47722353,0.65454960
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-12 00:00:00.000000,0.00060945,0.00289560,0.00843352,0,2,8,0,1,5,0.00034431,0.00153132,0.00511816,0.34171929,0.47690883,0.65447011
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-13 00:00:00.000000,0.00064833,0.00327991,0.00944527,0,3,9,0,1,5,0.00037619,0.00170064,0.00559188,0.34154495,0.47184413,0.65423688
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-14 00:00:00.000000,0.00069012,0.00370420,0.01060745,0,3,10,0,1,6,0.00040504,0.00192796,0.00611904,0.34108085,0.47062111,0.65355401
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-15 00:00:00.000000,0.00072296,0.00414289,0.01190033,0,4,11,0,2,6,0.00042244,0.00217610,0.00669448,0.33986681,0.46680525,0.65157368
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-16 00:00:00.000000,0.00212818,0.00577076,0.01463716,2,5,14,0,2,7,0.00043981,0.00249933,0.00731610,0.31790614,0.46139062,0.64599785
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-17 00:00:00.000000,0.00285228,0.00736730,0.01804948,2,7,17,0,3,8,0.00099855,0.00331601,0.00862885,0.30379000,0.45101843,0.64231607
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-18 00:00:00.000000,0.00383878,0.00943802,0.02195022,3,9,21,1,4,9,0.00146902,0.00421687,0.01006923,0.27933559,0.44071121,0.63920431
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-19 00:00:00.000000,0.00486820,0.01102125,0.02584025,4,10,25,1,5,12,0.00196651,0.00510650,0.01314240,0.25263631,0.42121992,0.62574609
1083,0,USAlabamaLimestone,Alabama,Limestone,2021-10-29 03:58:41.876536,2020-03-20 00:00:00.000000,0.00576575,0.01262264,0.03041124,5,12,30,2,5,15,0.00254867,0.00599641,0.01594032,0.24317141,0.39955940,0.57631206
