FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-09 00:00:00.000000,0.00476338,0.01573598,0.04928937,0,2,9,0,1,5,0.00232443,0.00862525,0.02930872,0.37824123,0.55818449,0.67586863
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-10 00:00:00.000000,0.00525033,0.01721746,0.05324235,0,3,10,0,1,5,0.00254729,0.00895208,0.02858410,0.37823878,0.55818601,0.67583333
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-11 00:00:00.000000,0.00573765,0.01883853,0.05740038,1,3,10,0,1,5,0.00282891,0.00943235,0.02966800,0.37823292,0.55818795,0.67578283
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-12 00:00:00.000000,0.00625618,0.02057862,0.06177129,1,3,11,0,1,6,0.00313068,0.01011331,0.03202272,0.37821889,0.55819029,0.67571015
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-13 00:00:00.000000,0.00682145,0.02216732,0.06533510,1,4,12,0,2,6,0.00344193,0.01088774,0.03465395,0.37818533,0.55819268,0.67560434
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-14 00:00:00.000000,0.00743640,0.02372361,0.06996154,1,4,13,0,2,7,0.00376364,0.01195878,0.03747011,0.37810508,0.55819307,0.67544690
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-15 00:00:00.000000,0.00810390,0.02554279,0.07525104,1,4,14,0,2,7,0.00420492,0.01258731,0.04016101,0.37791355,0.55141959,0.67520340
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-16 00:00:00.000000,0.01158487,0.03364779,0.08456069,2,6,15,0,2,8,0.00468398,0.01353817,0.04357900,0.37745880,0.54800762,0.67263498
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-17 00:00:00.000000,0.01458641,0.04450352,0.10407488,2,8,19,1,3,8,0.00578643,0.01638435,0.04767903,0.36461941,0.54485376,0.66674066
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-18 00:00:00.000000,0.01790089,0.05527211,0.12200639,3,10,23,1,4,10,0.00724356,0.02140845,0.05383280,0.35555294,0.53889943,0.66357851
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-19 00:00:00.000000,0.02154286,0.06612935,0.13962187,4,12,26,1,5,12,0.00896681,0.02740325,0.06622456,0.34133110,0.52364351,0.65438982
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-20 00:00:00.000000,0.02546211,0.07643077,0.15396540,4,14,29,2,6,14,0.01091929,0.03332615,0.07947797,0.32969736,0.49927007,0.65421953
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-21 00:00:00.000000,0.02874263,0.08734012,0.17060650,5,16,32,2,7,16,0.01308321,0.04078598,0.08910587,0.32605526,0.47415608,0.65369967
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-22 00:00:00.000000,0.03213699,0.09849258,0.18437321,6,18,34,2,9,18,0.01543476,0.04801926,0.09765741,0.30604216,0.45327058,0.62711235
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-23 00:00:00.000000,0.04585557,0.11164245,0.20605207,8,21,38,3,10,19,0.01792906,0.05621294,0.10465759,0.30183750,0.43992217,0.60625525
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-24 00:00:00.000000,0.05516987,0.12514830,0.23256468,10,23,43,4,11,21,0.02277602,0.06215713,0.11403844,0.30131855,0.42309776,0.58502872
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-25 00:00:00.000000,0.06749837,0.13695858,0.25566821,12,25,48,5,13,23,0.02958260,0.07060661,0.12675543,0.28866023,0.41487336,0.56923940
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-26 00:00:00.000000,0.07461702,0.15127780,0.27775918,14,28,52,6,14,26,0.03573221,0.07951262,0.14015278,0.27120796,0.40901236,0.54945700
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-27 00:00:00.000000,0.07960334,0.16873499,0.29925575,15,31,56,7,16,29,0.04076978,0.08676138,0.15432175,0.26955375,0.39261272,0.53752273
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-28 00:00:00.000000,0.08801201,0.18864851,0.32204658,16,35,60,8,17,31,0.04603777,0.09524501,0.16902773,0.25360831,0.37805169,0.52334968
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-29 00:00:00.000000,0.09736035,0.19926792,0.35087990,18,37,66,9,19,35,0.05154444,0.10367322,0.18627714,0.24466799,0.36344414,0.51104367
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-30 00:00:00.000000,0.11927778,0.21418167,0.36331069,22,40,68,10,21,38,0.05720381,0.11266655,0.20444315,0.24787768,0.35549790,0.50044699
1091,0,USAlabamaMarengo,Alabama,Marengo,2021-02-17 19:17:00.541078,2020-03-31 00:00:00.000000,0.12828276,0.22876388,0.38087970,24,43,71,11,22,40,0.06294463,0.12095477,0.21713796,0.24359790,0.34749873,0.49079970
