FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-09 00:00:00.000000,0.00544953,0.03260498,0.07928696,0,5,12,0,2,6,0.00154782,0.01490076,0.04110361,0.35707096,0.47964340,0.68605164
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-10 00:00:00.000000,0.00801208,0.04186611,0.09163467,1,6,14,0,2,7,0.00262155,0.01725252,0.04490245,0.35706562,0.47926359,0.68603297
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-11 00:00:00.000000,0.01087960,0.05189640,0.10982252,1,8,17,0,3,8,0.00452172,0.02180679,0.04948885,0.35705494,0.47863949,0.68598820
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-12 00:00:00.000000,0.01436458,0.06331326,0.12909911,2,10,21,1,4,9,0.00666872,0.02655795,0.05641785,0.35703269,0.47761684,0.68588088
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-13 00:00:00.000000,0.01827500,0.07523431,0.14969429,2,12,24,1,5,10,0.00902559,0.03165053,0.06691106,0.35698453,0.47594976,0.68562373
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-14 00:00:00.000000,0.02254643,0.08764115,0.17166469,3,14,28,1,6,12,0.01159988,0.03783413,0.07810948,0.35687641,0.47325630,0.68500852
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-15 00:00:00.000000,0.02721042,0.09767832,0.19032722,4,15,31,2,7,14,0.01440968,0.04476171,0.09012173,0.35662795,0.46828140,0.68354193
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-16 00:00:00.000000,0.04010508,0.10778096,0.20305696,6,17,33,2,8,16,0.01747664,0.05127510,0.10294905,0.34753632,0.46161434,0.68007528
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-17 00:00:00.000000,0.04929613,0.12082142,0.21611732,8,19,35,3,9,18,0.02120274,0.05739447,0.11420697,0.33309471,0.46054969,0.67204394
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-18 00:00:00.000000,0.05438632,0.13728003,0.22936492,8,22,37,4,10,20,0.02737164,0.06392608,0.12410012,0.32255102,0.45460246,0.65411414
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-19 00:00:00.000000,0.05935693,0.14857759,0.25771650,9,24,42,5,11,21,0.03131958,0.07249923,0.13198370,0.30348893,0.43572758,0.60351593
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-20 00:00:00.000000,0.06350633,0.15996866,0.28740494,10,26,46,5,13,23,0.03424561,0.08101434,0.14389039,0.27507863,0.41572535,0.56532788
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-21 00:00:00.000000,0.06652278,0.17050058,0.31073907,10,27,50,5,14,26,0.03672849,0.08815645,0.16012862,0.24732127,0.39059621,0.54543881
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-22 00:00:00.000000,0.06897279,0.18190184,0.33572463,11,29,54,6,15,28,0.03862062,0.09466446,0.17620960,0.23872123,0.36775995,0.51612302
1129,0,USAlabamaWashington,Alabama,Washington,2021-01-06 04:44:50.904682,2020-03-23 00:00:00.000000,0.08067792,0.19563440,0.36416761,13,31,59,6,16,31,0.04015680,0.10137835,0.19173860,0.23123596,0.35563431,0.50573876
