FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-09 00:00:00.000000,0.00916252,0.07257294,0.28430574,0,1,7,0,1,4,0.00516064,0.04049092,0.16920875,0.40640174,0.52958889,0.70507176
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-10 00:00:00.000000,0.01000957,0.08059484,0.29892028,0,2,7,0,1,4,0.00569887,0.04020372,0.16021436,0.40640142,0.52959012,0.70506699
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-11 00:00:00.000000,0.01126717,0.08713003,0.31389947,0,2,7,0,1,4,0.00612362,0.04229260,0.15854132,0.40640076,0.52959719,0.70505869
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-12 00:00:00.000000,0.01259992,0.09388616,0.33289845,0,2,8,0,1,4,0.00647341,0.04506505,0.17014862,0.40525812,0.52962030,0.70504422
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-13 00:00:00.000000,0.01403990,0.10162528,0.36107458,0,2,9,0,1,4,0.00690771,0.04824320,0.17775450,0.40264822,0.52968502,0.70501887
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-14 00:00:00.000000,0.01561227,0.11190969,0.38982292,0,2,9,0,1,4,0.00740380,0.05170141,0.18707731,0.39746732,0.52985419,0.70497384
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-15 00:00:00.000000,0.01733906,0.11939634,0.41149662,0,3,10,0,1,4,0.00794990,0.05595923,0.19706132,0.38939427,0.52821036,0.70489126
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-16 00:00:00.000000,0.01924124,0.12897321,0.43378488,0,3,10,0,1,5,0.00853890,0.06054709,0.20587434,0.38917001,0.52463668,0.70458168
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-17 00:00:00.000000,0.02133955,0.13862133,0.45636847,0,3,11,0,1,5,0.00916435,0.06528203,0.21495862,0.38406595,0.51626804,0.70376191
2100,0,USAlaskaHaines,Alaska,Haines,2021-03-05 00:36:42.062522,2020-03-18 00:00:00.000000,0.02365403,0.15065734,0.48136711,0,3,12,0,1,5,0.01012111,0.06992576,0.22426643,0.37199272,0.49482519,0.70063603
