FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-09 00:00:00.000000,0.00265844,0.00897855,0.02559994,1,5,15,0,2,7,0.00075718,0.00350786,0.01244669,0.37799972,0.50138942,0.71905217
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-10 00:00:00.000000,0.00422625,0.01197602,0.03332712,2,7,19,0,2,7,0.00112128,0.00393970,0.01315764,0.37789965,0.50138727,0.71903283
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-11 00:00:00.000000,0.00548920,0.01440683,0.04190280,3,8,24,0,3,9,0.00156811,0.00515562,0.01544486,0.37773274,0.50138334,0.71898656
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-12 00:00:00.000000,0.00657981,0.01727834,0.05090618,3,10,29,1,3,11,0.00218511,0.00616881,0.01913987,0.37745492,0.50137605,0.71887534
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-13 00:00:00.000000,0.00746614,0.02056902,0.06035506,4,12,35,1,4,13,0.00267058,0.00759981,0.02334565,0.37699405,0.50135772,0.71860728
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-14 00:00:00.000000,0.00843549,0.02410623,0.07010591,4,14,41,1,5,16,0.00331916,0.00892836,0.02781268,0.37476525,0.50062007,0.71796112
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-15 00:00:00.000000,0.00935648,0.02700871,0.07997808,5,15,46,2,6,19,0.00368467,0.01053233,0.03238290,0.36636245,0.49907520,0.71640898
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-16 00:00:00.000000,0.01034073,0.03108489,0.08394616,6,18,49,2,7,21,0.00407972,0.01252521,0.03693549,0.36540124,0.49330335,0.71272127
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-17 00:00:00.000000,0.01129989,0.03501121,0.08786627,6,20,51,2,8,24,0.00447693,0.01429042,0.04101604,0.35627090,0.49316609,0.70419901
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-18 00:00:00.000000,0.01305024,0.03979338,0.09146071,7,23,53,2,9,26,0.00502011,0.01612436,0.04507030,0.34394407,0.49230888,0.68572587
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-19 00:00:00.000000,0.01541713,0.04385725,0.09883922,9,25,58,3,10,28,0.00572951,0.01864158,0.04883409,0.30290230,0.46927253,0.65613784
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-20 00:00:00.000000,0.01744242,0.04750361,0.10854011,10,27,63,3,12,30,0.00665506,0.02114474,0.05232715,0.28346473,0.44602146,0.61601032
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-21 00:00:00.000000,0.01922976,0.05075195,0.11910244,11,29,69,4,13,32,0.00744187,0.02312637,0.05550583,0.28133383,0.41549218,0.58810330
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-22 00:00:00.000000,0.02100835,0.05514105,0.12287174,12,32,72,4,14,34,0.00825810,0.02520133,0.05832612,0.26363440,0.38864812,0.58762727
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-23 00:00:00.000000,0.02505394,0.05824567,0.12652754,14,34,74,5,16,35,0.00908700,0.02741555,0.06039584,0.24911481,0.36257481,0.54792007
2122,0,USAlaskaKenaiPeninsula,Alaska,Kenai Peninsula,2021-02-23 04:44:54.676680,2020-03-24 00:00:00.000000,0.02881882,0.06203202,0.12985418,16,36,76,6,17,36,0.01043219,0.03006585,0.06260901,0.23269658,0.34819891,0.53558108
