FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-09 00:00:00.000000,0.00136165,0.01302179,0.05711768,0,1,8,0,1,3,0.00072391,0.00749701,0.02654149,0.38014125,0.52284484,0.67540002
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-10 00:00:00.000000,0.00149176,0.01417073,0.06162141,0,2,8,0,1,3,0.00079974,0.00703322,0.02567393,0.38013294,0.52277861,0.67538357
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-11 00:00:00.000000,0.00162007,0.01577456,0.06538384,0,2,9,0,1,4,0.00082217,0.00699609,0.02823780,0.38010782,0.52264106,0.67535872
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-12 00:00:00.000000,0.00180170,0.01737927,0.06910125,0,2,10,0,1,4,0.00084151,0.00728541,0.03133160,0.38003043,0.52235146,0.67532124
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-13 00:00:00.000000,0.00198773,0.01892229,0.07283083,0,2,10,0,1,5,0.00088014,0.00778911,0.03482176,0.37978979,0.52172794,0.67526465
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-14 00:00:00.000000,0.00218154,0.02052228,0.07660873,0,2,11,0,1,5,0.00093158,0.00851435,0.03623578,0.37885835,0.51928172,0.67517662
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-15 00:00:00.000000,0.00238578,0.02222758,0.08044117,0,3,11,0,1,5,0.00100561,0.00928433,0.03750735,0.37457139,0.51470024,0.67501517
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-16 00:00:00.000000,0.00260266,0.02394284,0.08425646,0,3,12,0,1,5,0.00110423,0.00987571,0.03903164,0.36732541,0.51103435,0.67452370
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-17 00:00:00.000000,0.00283404,0.02552212,0.08775585,0,3,12,0,1,5,0.00121096,0.01075405,0.04072680,0.34670668,0.50367617,0.67052210
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-18 00:00:00.000000,0.00308141,0.02722228,0.09026607,0,3,13,0,1,6,0.00132567,0.01159403,0.04248894,0.31693281,0.48620955,0.66057223
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-19 00:00:00.000000,0.00334539,0.02865789,0.09139455,0,4,13,0,1,6,0.00144859,0.01239563,0.04413883,0.27684390,0.46313819,0.65463327
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-20 00:00:00.000000,0.00362443,0.02987641,0.09164015,0,4,13,0,1,6,0.00157997,0.01326143,0.04548759,0.25576887,0.44482886,0.63763348
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-21 00:00:00.000000,0.00391234,0.03147958,0.09149426,0,4,13,0,2,6,0.00171975,0.01415073,0.04648107,0.24058424,0.43512580,0.61462879
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-22 00:00:00.000000,0.00419722,0.03342189,0.09214062,0,4,13,0,2,6,0.00186684,0.01518703,0.04716121,0.23398313,0.42294714,0.58581282
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-23 00:00:00.000000,0.01262479,0.04103870,0.10712702,1,5,15,0,2,6,0.00201839,0.01617560,0.04758820,0.23014723,0.40398836,0.55084085
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-24 00:00:00.000000,0.01753065,0.04899789,0.12229655,2,7,17,0,2,7,0.00402084,0.01815851,0.05124174,0.21235969,0.39200393,0.53601434
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-25 00:00:00.000000,0.02260936,0.05672520,0.13781785,3,8,20,0,2,8,0.00520307,0.02058062,0.05623232,0.21048132,0.37447033,0.52031161
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-26 00:00:00.000000,0.02723751,0.06646149,0.15306951,3,9,22,1,3,9,0.00699162,0.02361189,0.06188031,0.20858934,0.36106802,0.48732074
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-27 00:00:00.000000,0.03332434,0.07804860,0.16731384,4,11,24,1,3,9,0.00929913,0.02708623,0.06793716,0.19687540,0.34635430,0.46238763
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-28 00:00:00.000000,0.03900839,0.08644171,0.18066827,5,12,26,1,4,10,0.01150150,0.03131630,0.07421490,0.18552874,0.32552057,0.45673514
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-29 00:00:00.000000,0.04492431,0.09508857,0.19357207,6,13,28,2,5,11,0.01392217,0.03605327,0.08057802,0.18038636,0.30294402,0.41987635
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-30 00:00:00.000000,0.05514373,0.10358808,0.19945549,8,15,29,2,5,12,0.01615861,0.04063326,0.08693511,0.17927116,0.29137900,0.40676402
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-03-31 00:00:00.000000,0.06249090,0.11231183,0.21143005,9,16,30,2,6,13,0.01846008,0.04594214,0.09378970,0.16632443,0.28128225,0.40565494
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-04-01 00:00:00.000000,0.07006909,0.12201917,0.22727447,10,17,33,3,7,14,0.02196994,0.05112125,0.10107889,0.15778476,0.27574920,0.40397289
5021,0,USArkansasClay,Arkansas,Clay,2021-01-30 00:56:58.802373,2020-04-02 00:00:00.000000,0.07778906,0.13256797,0.24335649,11,19,35,3,8,15,0.02603673,0.05582113,0.10971402,0.15100260,0.26296970,0.38737415
