FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-09 00:00:00.000000,0.00213633,0.01184263,0.05082915,0,2,10,0,1,5,0.00119687,0.00604085,0.02567336,0.36042380,0.48398322,0.66615426
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-10 00:00:00.000000,0.00238265,0.01242320,0.05499539,0,2,11,0,1,5,0.00113384,0.00586801,0.02565264,0.36042196,0.48398264,0.66615360
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-11 00:00:00.000000,0.00262855,0.01330395,0.05944817,0,2,12,0,1,5,0.00116081,0.00620920,0.02659325,0.36041698,0.48398133,0.66615164
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-12 00:00:00.000000,0.00288316,0.01450100,0.06057982,0,3,12,0,1,5,0.00122945,0.00674063,0.02728438,0.36040422,0.48397836,0.66614581
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-13 00:00:00.000000,0.00315269,0.01590868,0.06304819,0,3,13,0,1,5,0.00131088,0.00720234,0.02856028,0.36037236,0.48397147,0.66612843
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-14 00:00:00.000000,0.00344168,0.01754772,0.06637947,0,3,13,0,1,6,0.00140940,0.00771735,0.02999759,0.36029434,0.48384909,0.66607666
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-15 00:00:00.000000,0.00375378,0.01930177,0.06982675,0,4,14,0,1,6,0.00151983,0.00830255,0.03155293,0.36010609,0.48108371,0.66592255
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-16 00:00:00.000000,0.00863605,0.02796962,0.07592143,1,5,15,0,1,6,0.00163955,0.00907772,0.03320225,0.35965857,0.48020229,0.66546452
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-17 00:00:00.000000,0.01216016,0.03339079,0.08487227,2,6,17,0,2,7,0.00267005,0.01095447,0.03541125,0.35861770,0.47562377,0.66411030
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-18 00:00:00.000000,0.01624637,0.03988334,0.09619147,3,8,20,0,2,7,0.00421096,0.01354997,0.03800601,0.35629501,0.46444002,0.66016757
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-19 00:00:00.000000,0.01963434,0.04955519,0.11443989,4,10,23,1,3,8,0.00601840,0.01632992,0.04284124,0.34622049,0.45450905,0.65462228
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-20 00:00:00.000000,0.02293103,0.06058054,0.13080218,4,12,27,1,4,10,0.00735168,0.02002979,0.05185199,0.30489338,0.43457848,0.65318641
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-21 00:00:00.000000,0.02624010,0.06789250,0.14598862,5,14,30,1,4,12,0.00875376,0.02389643,0.06099530,0.28468097,0.41044418,0.63708775
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-22 00:00:00.000000,0.02958398,0.07688159,0.16094966,6,16,33,2,5,14,0.01095455,0.02817580,0.06992757,0.26316159,0.39570121,0.58564326
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-23 00:00:00.000000,0.03405464,0.08477970,0.16600961,7,17,34,2,6,16,0.01279976,0.03220813,0.07867254,0.24316558,0.37525050,0.55781564
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-24 00:00:00.000000,0.03855426,0.09436160,0.18266001,8,19,38,3,7,18,0.01442268,0.03633630,0.08852895,0.23010716,0.36601527,0.52445090
5029,0,USArkansasConway,Arkansas,Conway,2021-02-17 18:55:31.865203,2020-03-25 00:00:00.000000,0.04507476,0.10318938,0.20158379,9,21,42,3,8,20,0.01608348,0.04062665,0.09872194,0.22179567,0.35129455,0.49951342
