FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-09 00:00:00.000000,0.00320999,0.01414062,0.05549519,0,2,10,0,1,6,0.00156866,0.00855905,0.03315712,0.34859495,0.49330861,0.67944829
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-10 00:00:00.000000,0.00369153,0.01550933,0.05888427,0,2,10,0,1,5,0.00155719,0.00824992,0.03076202,0.34859346,0.49330158,0.67944753
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-11 00:00:00.000000,0.00415452,0.01664118,0.06200497,0,3,11,0,1,5,0.00166689,0.00820434,0.03046168,0.34858992,0.49328709,0.67944506
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-12 00:00:00.000000,0.00461505,0.01783384,0.06533786,0,3,11,0,1,5,0.00185357,0.00832043,0.03135414,0.34858152,0.49325723,0.67943693
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-13 00:00:00.000000,0.00508169,0.01954158,0.06888171,0,3,12,0,1,5,0.00208783,0.00879678,0.03249758,0.34856156,0.49319557,0.67940970
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-14 00:00:00.000000,0.00555286,0.02115883,0.07262130,1,3,13,0,1,6,0.00235329,0.00959640,0.03395741,0.34851403,0.49306822,0.67931771
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-15 00:00:00.000000,0.00602613,0.02301232,0.07650892,1,4,13,0,1,6,0.00264053,0.01036603,0.03560454,0.34840045,0.49280535,0.67900533
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-16 00:00:00.000000,0.01046485,0.03063452,0.08271775,1,5,15,0,2,6,0.00290607,0.01128750,0.03697275,0.34812785,0.48644343,0.67794300
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-17 00:00:00.000000,0.01377572,0.03883868,0.08910980,2,7,16,0,2,7,0.00407433,0.01343039,0.03902576,0.34429330,0.47671578,0.67435781
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-18 00:00:00.000000,0.01734814,0.04753443,0.09742013,3,8,17,1,3,7,0.00575483,0.01645721,0.04316082,0.33269999,0.45946105,0.66276612
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-19 00:00:00.000000,0.02120638,0.05483269,0.10884762,3,10,19,1,3,8,0.00770041,0.02000467,0.04844328,0.31353162,0.43476604,0.63359773
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-20 00:00:00.000000,0.02528122,0.06354510,0.12070920,4,11,22,1,4,9,0.00961237,0.02420131,0.05426473,0.27514472,0.40435435,0.61886374
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-21 00:00:00.000000,0.02940865,0.07162776,0.13268512,5,13,24,2,5,11,0.01173747,0.02842072,0.06052077,0.24909847,0.38425931,0.56752450
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-22 00:00:00.000000,0.03349390,0.07949248,0.14961894,6,14,27,2,5,12,0.01401092,0.03218039,0.06707854,0.23842672,0.35441560,0.54576694
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-23 00:00:00.000000,0.04271396,0.08745986,0.16130689,7,15,29,2,6,13,0.01609021,0.03618120,0.07306146,0.23017091,0.33580994,0.50606811
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-24 00:00:00.000000,0.05199150,0.09347922,0.17514361,9,17,31,3,7,14,0.01876214,0.04041773,0.08147101,0.20154489,0.32134816,0.48792447
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-25 00:00:00.000000,0.05890281,0.10335276,0.18992024,10,18,34,4,8,16,0.02191381,0.04443920,0.08959397,0.18821623,0.30161766,0.45773337
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-26 00:00:00.000000,0.06622175,0.11365304,0.20434864,12,20,37,4,8,17,0.02578372,0.04844570,0.09708135,0.17849419,0.28720088,0.43898674
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-27 00:00:00.000000,0.07491262,0.12022935,0.22366211,13,21,40,5,9,19,0.03056703,0.05300487,0.10456325,0.17656792,0.27419371,0.42463435
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-28 00:00:00.000000,0.07832687,0.12936064,0.24755821,14,23,45,6,10,20,0.03369426,0.05812776,0.11219357,0.16474525,0.26442981,0.40384206
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-29 00:00:00.000000,0.07874675,0.13632234,0.26285171,14,24,48,6,11,22,0.03674094,0.06276018,0.12263700,0.15235735,0.24592908,0.37213365
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-30 00:00:00.000000,0.08541390,0.14389958,0.26802175,15,26,48,7,12,24,0.03982294,0.06776555,0.13234141,0.15223040,0.23278289,0.35310979
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-03-31 00:00:00.000000,0.09115117,0.15450316,0.26867451,16,28,49,7,13,25,0.04265992,0.07214210,0.13777335,0.15220150,0.22677493,0.34072477
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-01 00:00:00.000000,0.09714376,0.15910394,0.26943121,17,29,49,8,14,25,0.04492352,0.07666204,0.14203262,0.14817741,0.21437700,0.33741797
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-02 00:00:00.000000,0.10300084,0.16546803,0.26863093,18,30,49,8,14,26,0.04747463,0.08180189,0.14596512,0.14268410,0.20514779,0.32491651
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-03 00:00:00.000000,0.10457804,0.17498098,0.26578103,19,31,48,9,15,26,0.05076464,0.08682256,0.14563018,0.13234386,0.20224491,0.32318830
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-04 00:00:00.000000,0.10482711,0.18368344,0.26746064,19,33,48,9,16,27,0.05386983,0.09131131,0.15027881,0.12971083,0.19080938,0.31069585
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-05 00:00:00.000000,0.10803355,0.18816082,0.27310178,19,34,49,10,17,28,0.05680610,0.09445299,0.15431724,0.12724645,0.18234413,0.30343800
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-06 00:00:00.000000,0.11220219,0.19549975,0.29096966,20,35,53,10,18,28,0.05748199,0.09888745,0.15616826,0.11387439,0.17276725,0.29384818
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-07 00:00:00.000000,0.11829466,0.19537951,0.30016048,21,35,54,10,18,29,0.05953554,0.10395841,0.15893569,0.11031817,0.16640660,0.28359094
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-08 00:00:00.000000,0.11888034,0.19851464,0.31384089,21,36,57,11,19,29,0.06276381,0.10777642,0.16214800,0.10622882,0.16183956,0.28028831
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-09 00:00:00.000000,0.12002018,0.20677517,0.32655063,21,37,59,12,19,30,0.06634903,0.10845657,0.16738205,0.10136078,0.15636865,0.26817147
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-10 00:00:00.000000,0.12164323,0.20940807,0.32825436,22,38,59,12,20,32,0.06597546,0.11048961,0.17574664,0.09606864,0.15284749,0.26302793
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-11 00:00:00.000000,0.12006288,0.20944916,0.32604264,21,38,59,11,20,32,0.06510685,0.11336797,0.17816164,0.09207027,0.14898717,0.25475959
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-12 00:00:00.000000,0.11801617,0.20829966,0.32636511,21,38,59,11,20,32,0.06408698,0.11357106,0.17966890,0.08703596,0.14956119,0.23905875
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-13 00:00:00.000000,0.12131677,0.20778068,0.32548789,22,37,59,11,20,32,0.06286981,0.11331215,0.18019028,0.08430814,0.14319338,0.23403162
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-14 00:00:00.000000,0.11914073,0.20619543,0.32440301,21,37,59,11,20,33,0.06488904,0.11316964,0.18324903,0.08265402,0.13946766,0.23313741
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-15 00:00:00.000000,0.11909675,0.20486925,0.32311265,21,37,59,11,20,33,0.06563669,0.11235960,0.18487997,0.08170160,0.13439891,0.21700679
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-16 00:00:00.000000,0.12118632,0.20029770,0.32711525,22,36,59,11,20,33,0.06524264,0.11381172,0.18526154,0.08079016,0.13353753,0.20863716
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-17 00:00:00.000000,0.11919530,0.19812886,0.34013154,21,36,62,11,20,34,0.06514602,0.11465471,0.18637617,0.08095145,0.13315501,0.19806212
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-18 00:00:00.000000,0.11279350,0.19801802,0.33650259,20,36,61,11,20,34,0.06524007,0.11447878,0.19106456,0.07969304,0.13066621,0.19378034
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-19 00:00:00.000000,0.11072108,0.19970302,0.32849115,20,36,59,11,20,34,0.06481663,0.11496877,0.18805556,0.07698333,0.12763748,0.18231802
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-20 00:00:00.000000,0.11176169,0.19708779,0.32682274,20,35,59,11,20,34,0.06488736,0.11336657,0.18943856,0.07820810,0.12408038,0.18078063
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-21 00:00:00.000000,0.11294732,0.19766584,0.32451476,20,36,59,11,20,35,0.06557078,0.11283734,0.19386158,0.07713348,0.12227368,0.17975071
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-22 00:00:00.000000,0.11419784,0.19640397,0.32153811,20,35,58,11,20,35,0.06525896,0.11284542,0.19671341,0.07920627,0.12075817,0.17891651
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-23 00:00:00.000000,0.11523875,0.19735852,0.32302054,21,36,58,11,20,36,0.06484726,0.11126308,0.19848220,0.07948400,0.11820738,0.17798748
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-24 00:00:00.000000,0.11609842,0.19557758,0.32448100,21,35,59,11,20,36,0.06433519,0.11081464,0.19792538,0.07833146,0.11594041,0.17925070
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-25 00:00:00.000000,0.11754670,0.19328918,0.32588320,21,35,59,11,20,35,0.06374471,0.11024011,0.19616457,0.07524846,0.11415385,0.17861841
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-26 00:00:00.000000,0.11641882,0.19250038,0.32712822,21,35,59,11,20,35,0.06562347,0.11001461,0.19396979,0.07108206,0.11058815,0.17857215
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-27 00:00:00.000000,0.11730302,0.19417090,0.32433799,21,35,59,12,19,35,0.06777567,0.10900432,0.19171727,0.06868715,0.10869364,0.18129995
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-28 00:00:00.000000,0.11752061,0.19418172,0.32075173,21,35,58,12,19,35,0.06756284,0.10800266,0.19202528,0.06713391,0.10708769,0.17876094
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-29 00:00:00.000000,0.11756395,0.19190116,0.31788608,21,35,58,12,19,35,0.06653595,0.10765161,0.19220439,0.06645462,0.10608402,0.17931362
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-04-30 00:00:00.000000,0.11574741,0.19449789,0.31712612,21,35,57,11,19,35,0.06520859,0.10820421,0.19224928,0.06618570,0.10559422,0.18048130
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-05-01 00:00:00.000000,0.11365848,0.19585607,0.31575976,20,35,57,11,19,35,0.06371456,0.10829558,0.19212864,0.06057110,0.10402802,0.18184940
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-05-02 00:00:00.000000,0.11119969,0.19565350,0.31360867,20,35,57,11,19,35,0.06352460,0.10674359,0.19177584,0.05789278,0.10293537,0.17808602
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-05-03 00:00:00.000000,0.10866495,0.19121355,0.31069062,19,34,56,11,19,34,0.06254561,0.10731674,0.19110990,0.05622088,0.10079250,0.17569094
5053,0,USArkansasGrant,Arkansas,Grant,2021-09-16 12:33:42.144099,2020-05-04 00:00:00.000000,0.11064428,0.18776710,0.31085367,20,34,56,11,19,34,0.06125895,0.10760294,0.19007982,0.05636855,0.09800195,0.17451920
