FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-09 00:00:00.000000,0.00117632,0.00423755,0.01862032,0,1,6,0,0,3,0.00070348,0.00254368,0.01183653,0.32928106,0.45946358,0.63301829
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-10 00:00:00.000000,0.00131891,0.00465702,0.02018958,0,1,6,0,0,3,0.00074998,0.00262725,0.01148057,0.32928105,0.45916216,0.63263960
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-11 00:00:00.000000,0.00147587,0.00514433,0.02188684,0,1,7,0,0,4,0.00083166,0.00277285,0.01191878,0.32928098,0.45861879,0.63188258
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-12 00:00:00.000000,0.00163726,0.00559658,0.02372959,0,1,8,0,1,4,0.00091497,0.00301873,0.01277579,0.32928058,0.45751778,0.63037434
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-13 00:00:00.000000,0.00175465,0.00605913,0.02572973,0,2,8,0,1,4,0.00095684,0.00328317,0.01387149,0.32927800,0.45574870,0.62739392
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-14 00:00:00.000000,0.00187913,0.00663699,0.02789051,0,2,9,0,1,5,0.00100830,0.00364824,0.01512486,0.32926139,0.45363188,0.62160593
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-15 00:00:00.000000,0.00201137,0.00718878,0.03019132,0,2,10,0,1,5,0.00106755,0.00407185,0.01650000,0.32915445,0.44696296,0.61074701
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-16 00:00:00.000000,0.00404631,0.00997901,0.03389037,1,3,11,0,1,6,0.00113366,0.00449704,0.01797541,0.32734822,0.44310774,0.59165202
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-17 00:00:00.000000,0.00602460,0.01311375,0.03744994,2,4,12,0,1,6,0.00199140,0.00567184,0.01991006,0.32355921,0.43929041,0.58183973
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-18 00:00:00.000000,0.00781613,0.01655900,0.04073769,2,5,13,1,2,7,0.00336104,0.00716131,0.02206380,0.30254225,0.42174971,0.58150784
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-19 00:00:00.000000,0.00976333,0.01952944,0.04372773,3,6,14,1,3,8,0.00447190,0.00917525,0.02424781,0.26108270,0.41217116,0.58082823
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-20 00:00:00.000000,0.01184495,0.02311949,0.05003218,4,7,16,1,3,9,0.00569936,0.01116239,0.02675026,0.23113455,0.39783676,0.56685458
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-21 00:00:00.000000,0.01402055,0.02673457,0.05795906,4,9,19,2,4,10,0.00704550,0.01325240,0.03167757,0.21140722,0.36707298,0.54691940
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-22 00:00:00.000000,0.01591191,0.03046834,0.06715884,5,10,22,2,5,12,0.00835566,0.01526183,0.03681959,0.20316576,0.33190432,0.51547252
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-23 00:00:00.000000,0.01893618,0.03560822,0.07369587,6,12,24,3,5,14,0.00973644,0.01768028,0.04216368,0.19824560,0.31163369,0.46992390
5059,0,USArkansasHotSpring,Arkansas,Hot Spring,2021-10-29 01:32:14.758870,2020-03-24 00:00:00.000000,0.02184705,0.04068873,0.08247744,7,13,27,3,6,16,0.01145906,0.02055735,0.04790236,0.18981339,0.29544639,0.45973306
