FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-09 00:00:00.000000,0.00116129,0.01093902,0.03674459,0,1,6,0,0,3,0.00060095,0.00592860,0.02245750,0.37192532,0.49901270,0.67000953
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-10 00:00:00.000000,0.00130005,0.01211482,0.04039433,0,2,6,0,1,3,0.00063641,0.00602453,0.02229558,0.37189949,0.49824929,0.67000795
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-11 00:00:00.000000,0.00145050,0.01318587,0.04409501,0,2,7,0,1,3,0.00069305,0.00638025,0.02290460,0.37186473,0.49708158,0.67000473
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-12 00:00:00.000000,0.00158346,0.01426468,0.04789453,0,2,7,0,1,3,0.00075478,0.00672508,0.02391717,0.37181796,0.49631436,0.66999812
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-13 00:00:00.000000,0.00167662,0.01540864,0.05183342,0,2,8,0,1,4,0.00079733,0.00713372,0.02516099,0.37175504,0.49519325,0.66998454
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-14 00:00:00.000000,0.00177569,0.01669858,0.05456929,0,2,9,0,1,4,0.00084325,0.00774322,0.02656061,0.37167029,0.49297737,0.66995645
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-15 00:00:00.000000,0.00196489,0.01774710,0.05729094,0,2,9,0,1,4,0.00097183,0.00844081,0.02808228,0.37155464,0.48983988,0.66989730
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-16 00:00:00.000000,0.00223324,0.01881168,0.06003246,0,3,10,0,1,4,0.00111800,0.00922410,0.02969300,0.37137902,0.48310918,0.66976636
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-17 00:00:00.000000,0.00253282,0.01984054,0.06278416,0,3,10,0,1,5,0.00128028,0.00991126,0.03130676,0.37090450,0.47704167,0.66943981
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-18 00:00:00.000000,0.00286542,0.02075212,0.06551834,0,3,10,0,1,5,0.00143267,0.01058862,0.03323880,0.36123203,0.47076004,0.66844187
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-19 00:00:00.000000,0.00323078,0.02183035,0.06974687,0,3,11,0,1,5,0.00158683,0.01122717,0.03507732,0.33213978,0.45543286,0.64366480
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-20 00:00:00.000000,0.00358030,0.02344328,0.07737853,0,3,12,0,1,6,0.00175204,0.01192205,0.03711629,0.28487073,0.44160009,0.63171370
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-21 00:00:00.000000,0.00366317,0.02480536,0.07979292,0,4,13,0,2,6,0.00182921,0.01274411,0.04132705,0.28001553,0.41918175,0.61409468
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-22 00:00:00.000000,0.00372685,0.02564320,0.08203614,0,4,13,0,2,7,0.00187969,0.01353403,0.04505188,0.26663520,0.39251980,0.58990529
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-23 00:00:00.000000,0.00798424,0.03267610,0.09453886,1,5,15,0,2,8,0.00192096,0.01403278,0.04798496,0.24772422,0.36787935,0.54643158
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-24 00:00:00.000000,0.01146104,0.03857042,0.10689349,1,6,17,0,2,8,0.00335575,0.01584968,0.05193362,0.23275031,0.34572483,0.51558380
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-25 00:00:00.000000,0.01506296,0.04451335,0.11978055,2,7,19,0,3,9,0.00526688,0.01911241,0.05605608,0.22001706,0.33723518,0.48964397
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-26 00:00:00.000000,0.01881646,0.05202893,0.12748738,3,8,21,1,3,10,0.00716934,0.02315822,0.05998333,0.21009779,0.33158046,0.47323966
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-27 00:00:00.000000,0.02273610,0.05874682,0.13312715,3,9,22,1,4,10,0.00925347,0.02662174,0.06360827,0.20326062,0.32274208,0.44416929
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-28 00:00:00.000000,0.02661910,0.06725885,0.14129317,4,11,23,1,4,11,0.01145117,0.02907621,0.06695514,0.19885217,0.31143340,0.41947633
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-29 00:00:00.000000,0.03042693,0.07356052,0.15430446,5,12,25,2,5,11,0.01372276,0.03249146,0.07008551,0.19611420,0.29373760,0.42192004
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-30 00:00:00.000000,0.04117495,0.08026569,0.16162579,6,13,26,2,6,12,0.01604182,0.03667964,0.07693986,0.18416194,0.28286218,0.41562354
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-03-31 00:00:00.000000,0.05109320,0.08817079,0.16768246,8,14,27,3,6,13,0.01905869,0.04083539,0.08256636,0.17734465,0.27768274,0.38992015
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-01 00:00:00.000000,0.05613601,0.09940519,0.17204079,9,16,28,3,7,15,0.02321957,0.04463116,0.09014481,0.16760766,0.26563179,0.38581133
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-02 00:00:00.000000,0.06297556,0.10732667,0.17738173,10,17,29,4,8,16,0.02854903,0.05072080,0.09769202,0.15533353,0.24892085,0.38214070
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-03 00:00:00.000000,0.06867451,0.11587791,0.18991302,11,19,31,5,9,17,0.03364783,0.05695297,0.10447799,0.14701397,0.23614387,0.37535637
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-04 00:00:00.000000,0.07116892,0.12166850,0.19379026,11,20,32,6,10,18,0.03609684,0.06080952,0.11005277,0.14120575,0.22599693,0.37158311
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-05 00:00:00.000000,0.07354731,0.12832880,0.19740942,12,21,32,6,11,18,0.03859940,0.06654145,0.11272398,0.13727277,0.21837567,0.36714554
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-06 00:00:00.000000,0.07191495,0.12758887,0.19740701,12,21,32,6,11,19,0.04036384,0.06940648,0.11804268,0.13277976,0.21105917,0.35507925
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-07 00:00:00.000000,0.07009661,0.12519607,0.20341588,11,20,33,7,11,20,0.04211680,0.07184955,0.12058603,0.12713185,0.20693776,0.32472501
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-08 00:00:00.000000,0.06908701,0.12291591,0.20101355,11,20,33,7,12,19,0.04237983,0.07243530,0.11859137,0.12199523,0.19883818,0.31378520
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-09 00:00:00.000000,0.06792821,0.12043606,0.18835937,11,20,31,6,12,19,0.04172401,0.07225004,0.11670251,0.11742062,0.19247592,0.29703684
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-10 00:00:00.000000,0.06658822,0.11893859,0.18962390,11,19,31,6,12,19,0.04158490,0.07226915,0.11827429,0.11520210,0.18592073,0.29972244
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-11 00:00:00.000000,0.06455439,0.11636513,0.18470182,10,19,30,6,11,18,0.04064161,0.07100523,0.11300465,0.11428140,0.18187009,0.29241072
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-12 00:00:00.000000,0.06034852,0.11407924,0.18196659,10,19,30,6,11,18,0.03895676,0.06937684,0.11244481,0.11389509,0.17923660,0.27218773
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-13 00:00:00.000000,0.05796126,0.11206266,0.17841485,9,18,29,6,11,18,0.03754135,0.06738364,0.11067953,0.11317597,0.17627504,0.27384205
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-14 00:00:00.000000,0.05585499,0.10891386,0.17379434,9,18,29,6,10,18,0.03598223,0.06554736,0.10805249,0.10822531,0.17234280,0.27463685
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-15 00:00:00.000000,0.05379448,0.10385688,0.16841060,8,17,28,5,10,17,0.03445900,0.06428490,0.10540778,0.10584358,0.16987944,0.27411236
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-16 00:00:00.000000,0.05129456,0.09862585,0.16738107,8,16,27,5,10,17,0.03298225,0.06205652,0.10451829,0.10378167,0.16207303,0.27091213
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-17 00:00:00.000000,0.04734705,0.09500113,0.16469511,7,15,27,5,9,17,0.03155436,0.05979945,0.10423780,0.10184771,0.16080702,0.25557752
5089,0,USArkansasMarion,Arkansas,Marion,2021-09-16 11:52:33.539856,2020-04-18 00:00:00.000000,0.04390484,0.09134010,0.16182538,7,15,27,5,9,17,0.03017333,0.05847367,0.10355131,0.09634334,0.15803663,0.25389412
